Timestep,L_ASIS,L_Ankle_Lat,L_Heel,L_Knee_Lat,L_PSIS,L_Shank_Front,L_Shank_Rear,L_Shank_Upper,L_Thigh_Front,L_Thigh_Rear,L_Thigh_Upper,L_Toe_Lat,L_Toe_Med,L_Toe_Tip,R_ASIS,R_Ankle_Lat,R_Heel,R_Knee_Lat,R_PSIS,R_Shank_Front,R_Shank_Rear,R_Shank_Upper,R_Thigh_Front,R_Thigh_Rear,R_Thigh_Upper,R_Toe_Lat,R_Toe_Med,R_Toe_Tip
782,0.00905778,0.0031559,0.00279404,0.00487583,0.00735672,0.00526886,0.00500557,0.00655012,0.00709846,0.00613027,0.00598779,0.000838767,0.00313252,0.00336481,0.0111921,0.00300144,0.00167147,0.00386385,0.0323625,0.00436686,0.00387842,0.0042291,0.0080503,0.00350534,0.00593207,0.00145136,0,0.00314883
783,0.00648934,0.00302391,0.00289281,0.00520954,0.00754107,0.00460395,0.00512367,0.00654058,0.0077584,0.00604234,0.0063758,0.000845086,0.00326765,0.0034055,0.0114473,0.00325906,0.00186474,0.00373533,0.0331698,0.00434246,0.00384176,0.00427089,0.00862814,0.00350585,0.00577412,0.00167362,0,0.00318677
784,0.0069601,0.00282598,0.00263522,0.00477134,0.00640832,0.00390217,0.00509798,0.0066283,0.00821722,0.0060055,0.00675306,0.000841239,0.00332761,0.00345402,0.0110691,0.00337329,0.00196787,0.00384944,0.0338551,0.00432576,0.00382987,0.00433845,0.0086658,0.00341568,0.00552464,0.00184751,0,0.00318457
785,0.00805033,0.00276999,0.00229904,0.0041506,0.00576821,0.00346042,0.00494485,0.00709678,0.00823553,0.00608993,0.00694421,0.000793653,0.00315969,0.00344964,0.0108189,0.00335987,0.00200134,0.00386701,0.0339568,0.00437722,0.00378646,0.00439455,0.00854567,0.00332822,0.00539539,0.00174039,0,0.00320926
786,0.00813036,0.00276152,0.00227053,0.00406438,0.00573107,0.00335613,0.0049084,0.00634433,0.00792467,0.00607247,0.00681636,0.000840172,0.00315817,0.00338904,0.010953,0.00336329,0.00204984,0.00367101,0.0339105,0.00478374,0.00376793,0.00449517,0.00848139,0.00325597,0.00532744,0.00167634,0,0.00320095
787,0.00753193,0.00276006,0.00222242,0.00421868,0.00569947,0.00373725,0.00495573,0.00579125,0.00786443,0.00612721,0.00673925,0.000869086,0.00333343,0.0033624,0.01123,0.00337732,0.00204159,0.00343445,0.0340026,0.00475003,0.00375268,0.00476011,0.00850153,0.00307521,0.00510437,0.0017838,0,0.00316744
788,0.00627008,0.00293131,0.00217699,0.00388401,0.00562173,0.00435749,0.005049,0.00573848,0.00812813,0.00638502,0.00696885,0.000854474,0.00324881,0.00328717,0.0116457,0.00343164,0.00202518,0.00360632,0.0342018,0.00479849,0.00357798,0.00470668,0.00861772,0.00276389,0.00479814,0.00198393,0,0.00306532
789,0.00587276,0.00299587,0.00203855,0.00352575,0.00553965,0.00469634,0.00508125,0.00595379,0.00811939,0.00649009,0.00712406,0.000927317,0.00304914,0.00319311,0.0118478,0.00346648,0.00208845,0.00381907,0.0342608,0.0045942,0.00351612,0.00457433,0.00840346,0.0027027,0.00489764,0.00201528,0,0.00306668
790,0.00652525,0.00282201,0.00175177,0.0034012,0.00536472,0.00425022,0.00498095,0.00588753,0.00783124,0.00627743,0.0068784,0.00117941,0.00280934,0.0031299,0.0118005,0.00351442,0.0022585,0.00413316,0.0342196,0.00434305,0.00345981,0.00416392,0.00828982,0.00270732,0.00504865,0.00167329,0,0.00345957
791,0.00749061,0.00259153,0.00157257,0.00332167,0.00515385,0.0036273,0.00483308,0.0054679,0.00750454,0.00601148,0.00663226,0.00143681,0.00271415,0.00309388,0.0116698,0.00411514,0.00352804,0.00425282,0.034165,0.00406907,0.00326955,0.00381911,0.00840911,0.00264724,0.00470831,0.000432905,0.00289045,0.00275426
