Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0194828,0.0073171,0.00697953,0.0063232,0.0114693,0,0.00980184,0.00486771,0.00716283,0.00564759,0.0098915,0.00632827,0,0,0.0150919,0.0188111,0.0148506,0.00877358,0.0181975,0.0192282,0.0184113,0.0223574,0.00608468,0.00422157,0.00753923,0.0133887,0,0.0153546,0.00526749,0.00949726,0.00679831,0,0,0.00724516,0.0108871,0.00577992,0.00645419,0.00832831,0.00876116,0.00552519,0.014172,0.0129902,0.0223887,0.0231706,0.0101457,0.0293374,0.0189003,0.0197191,0.0281437,0.0453809,0.00827558,0
0,0.0171115,0.00981657,0.0129264,0.00734007,0.0100196,0,0.00929313,0.00446499,0.00833426,0.00318425,0.00575369,0.0016624,0,0,0.0141252,0.0192645,0.0193363,0.00642299,0.0238906,0.0219595,0.0179134,0.017705,0.00823927,0.00249045,0.00361387,0.0122144,0,0.0201005,0.00567742,0.00943465,0.010167,0,0,0.007361,0.0113063,0.00597665,0.00733249,0.00392677,0.00918855,0.00443912,0.0179012,0.0108412,0.0270347,0.024649,0.0094006,0.0281865,0.0154378,0.0178729,0.0298291,0.0223826,0.00686832,0
1,0.0172003,0.0096885,0.0118068,0.00708136,0.011372,0,0.00986785,0.0046559,0.0084358,0.00329968,0.00580267,0.00172516,0,0,0.012807,0.0182305,0.0186405,0.0071497,0.0236423,0.0217632,0.0182704,0.0176567,0.00808862,0.00254516,0.00367136,0.0130573,0,0.0189349,0.00618566,0.00938378,0.01009,0,0,0.00741044,0.011374,0.00447824,0.00647299,0.00496211,0.00873035,0.00352214,0.017316,0.0117196,0.0268383,0.02518,0.00940806,0.0300005,0.0162301,0,0.0308579,0.0740303,0.00777701,0
2,0.0170686,0.00950745,0.0114572,0.00668587,0.012123,0,0.0102573,0.00478762,0.00849452,0.0037174,0.00574049,0.00219507,0,0,0.0118943,0.0176142,0.018211,0.00749523,0.0232711,0.0216881,0.0182216,0.017542,0.00792389,0.00247989,0.00357751,0.0130274,0,0.0185469,0.00646884,0.00933477,0.0101759,0,0,0.00734215,0.0112801,0.00350903,0.00657239,0.00602651,0.00831183,0.00331659,0.0170042,0.0126504,0.0268091,0.0256943,0.00962283,0.0307884,0.0164306,0,0.0310142,0,0.00838422,0
3,0.0170349,0.00932304,0.0113147,0.00631173,0.0125119,0,0.010537,0.00477656,0.00855356,0.0042002,0.00578265,0.00275159,0,0,0.0111754,0.0172062,0.0179898,0.00782928,0.0228317,0.021591,0.0179796,0.0173761,0.00780243,0.00245498,0.00352884,0.0126437,0,0.0183867,0.00650307,0.00927902,0.0102189,0,0,0.00728884,0.0111767,0.00299096,0.00685936,0.00689702,0.00805382,0.00360511,0.0165521,0.0132367,0.0265692,0.0259393,0.00957438,0.0307915,0.0160169,0,0.0305365,0,0.00875613,0
4,0.0168795,0.00919014,0.0111978,0.00598226,0.0126886,0,0.010751,0.00478407,0.00860815,0.00463178,0.00593406,0.00346617,0,0,0.0104629,0.016895,0.0179099,0.0082534,0.0222462,0.0213078,0.0175893,0.0171064,0.00771836,0.00243773,0.00351273,0.0118091,0,0.0183455,0.0064969,0.00922466,0.0102261,0,0,0.00724388,0.0110714,0.00319594,0.00712682,0.00739406,0.00782264,0.00433308,0.0164239,0.0139567,0.0268804,0.0263428,0.0101206,0.0302867,0.0156011,0.0421118,0.0297645,0,0.00877513,0
5,0.0170523,0.00900951,0.0107358,0.0056856,0.0129691,0,0.0108337,0.00460967,0.00856629,0.00483193,0.00612083,0.00368311,0,0,0.0094751,0.0162568,0.0176032,0.00890748,0.0217361,0.0208608,0.0172674,0.0167943,0.00755809,0.00257888,0.00364587,0.0121834,0,0.0181889,0.00627726,0.00914218,0.0100147,0,0,0.00731842,0.0110777,0.00256677,0.00715179,0.00767175,0.00789127,0.00447489,0.0156402,0.0138661,0.0263773,0.0262796,0.00968943,0.0301698,0.015111,0.0141308,0.0295262,0.0217815,0.00887666,0
6,0.0172588,0.00874342,0.0100402,0.00518957,0.0132084,0,0.0108048,0.00440485,0.00831843,0.00488371,0.00630299,0.0037237,0,0,0.00834142,0.0153693,0.017001,0.00933885,0.0210782,0.0201636,0.0168367,0.0163202,0.00723294,0.00277449,0.00384949,0.012883,0,0.0179877,0.00601796,0.00904836,0.0096555,0,0,0.00746794,0.0111493,0.00182714,0.00696972,0.00789826,0.00819052,0.00443236,0.0146605,0.0139453,0.0259597,0.0264366,0.00964562,0.0306799,0.0152492,0,0.0299397,0.0702192,0.00897871,0
7,0.0171861,0.00840432,0.00930395,0.00450632,0.0133639,0,0.0107414,0.00429809,0.00791974,0.00489865,0.00655608,0.00398186,0,0,0.00690263,0.0142368,0.0161597,0.0096129,0.0201808,0.0192008,0.0162723,0.0156554,0.00668438,0.00290062,0.00406257,0.0130917,0,0.0178246,0.00584763,0.00894742,0.00919967,0,0,0.00764505,0.0112381,0.00153677,0.00667526,0.00794047,0.00839775,0.00436366,0.0140024,0.0144665,0.0263156,0.0271068,0.0102574,0.0311837,0.0158234,0,0.0302335,0,0.00893695,0
8,0.0171505,0.00785739,0.00853647,0.00362905,0.0134562,0,0.0106088,0.00414903,0.00736385,0.00489955,0.0067985,0.00408241,0,0,0.00521198,0.012805,0.0150261,0.00972973,0.0190599,0.0181027,0.0155612,0.0148564,0.00582156,0.0030458,0.00433768,0.0130248,0,0.0175987,0.00563509,0.0088496,0.00858007,0,0,0.00788313,0.0113849,0.00159826,0.00611709,0.00792315,0.00852654,0.00423936,0.0135217,0.0148425,0.0266986,0.0277629,0.0106855,0.0313829,0.0161217,0,0.0301009,0,0.00888074,0
