Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
46,0.0158498,0.00202371,0.00887528,0.0102313,0.010012,0,0.00349528,0.00827295,0.0105937,0.011343,0.00381187,0.00284811,0,0,0.0114985,0.0183873,0.0166522,0.00757401,0.00404111,0.00904059,0.00597199,0.0105584,0.0122394,0.00230442,0.0023238,0.00969281,0,0.00723384,0.00779109,0.00681444,0.00584396,0,0,0.00374929,0.00420379,0.00404464,0.00813752,0.00614362,0.00816229,0.0130619,0.0159471,0.00656996,0.0177917,0.0162414,0.0025254,0.00601725,0.00388379,0.00764863,0.00690367,0.00782591,0.00838702
47,0.0162517,0.00167859,0.00894729,0.0102348,0.00997245,0,0.00301937,0.00784935,0.0105855,0.0118086,0.00331726,0.00238286,0,0,0.0116934,0.019022,0.0170887,0.00784369,0.00430593,0.00895299,0.00600347,0.0105669,0.0123977,0.00232572,0.00218136,0.00989571,0,0.00662044,0.00768423,0.00676801,0.00565584,0,0,0.00365729,0.00418884,0.00343778,0.00838919,0.00617682,0.0079441,0.0126628,0.0158829,0.00699113,0.0178335,0.0164453,0.00276867,0.00573343,0.00409003,0.00748047,0.00660803,0.00767266,0.00842667
48,0.0165567,0.0012289,0.00914833,0.0102814,0.0100427,0,0.00266013,0.00743893,0.0105525,0.0119516,0.0031626,0.00213465,0,0,0.0117326,0.0196158,0.0174305,0.00815372,0.00432119,0.00901034,0.00597048,0.0101892,0.0124545,0.00216686,0.00195758,0.0100445,0,0.00602256,0.00753963,0.00665558,0.00535861,0,0,0.00353385,0.00412592,0.00282702,0.00868864,0.00618343,0.00774844,0.0122687,0.015716,0.00742525,0.0176858,0.0165489,0.00323098,0.00549837,0.00463417,0.00733354,0.00628478,0.00749594,0.00851682
49,0.0167597,0.000794736,0.00944513,0.0104602,0.01014,0,0.0028079,0.00708744,0.0105479,0.0117259,0.0031741,0.0019628,0,0,0.0119206,0.0199094,0.0178802,0.00847732,0.00391692,0.00922391,0.00577691,0.00995135,0.0124867,0.00199501,0.00173144,0.0101655,0,0.00542971,0.00714688,0.00646965,0.00491864,0,0,0.00345784,0.00401742,0.0022119,0.00901891,0.00619648,0.00759287,0.0118979,0.0156381,0.00783418,0.0175651,0.0166955,0.00379883,0.00517841,0.00505838,0.00721415,0.00588327,0.00733602,0.00858401
50,0.0170036,0.000720189,0.00981135,0.0106606,0.0101755,0,0.003435,0.0067199,0.0105679,0.011657,0.00309922,0.0018501,0,0,0.0122593,0.0201513,0.0185458,0.008816,0.00363429,0.00946607,0.00550946,0.0101021,0.0126041,0.0019737,0.00165898,0.0103394,0,0.00479278,0.00662006,0.00628571,0.00449741,0,0,0.00340621,0.0038678,0.00168101,0.00936648,0.00622128,0.00752098,0.0115997,0.0157144,0.0082681,0.0176537,0.0169941,0.00429667,0.00489768,0.00518575,0.00703731,0.00545362,0.00721796,0.00861469
51,0.0172967,0.00118485,0.0102525,0.0107766,0.0102008,0,0.00423887,0.00623443,0.0105864,0.0118693,0.00303987,0.00206954,0,0,0.0125356,0.0206394,0.0191703,0.00917746,0.00357364,0.00964645,0.00536393,0.010388,0.0127609,0.00204346,0.00167984,0.0105784,0,0.0041159,0.00614569,0.00619152,0.00411871,0,0,0.00329001,0.00375415,0.00157482,0.00979337,0.0062364,0.0075297,0.0113813,0.0157378,0.00873214,0.0178292,0.017398,0.00479551,0.00477021,0.00527591,0.00677075,0.00508293,0.007181,0.00863807
52,0.0175452,0.00176633,0.0107895,0.0109183,0.0102937,0,0.00512877,0.00572708,0.0106442,0.0118263,0.00316603,0.00248508,0,0,0.0127022,0.0212093,0.019597,0.00955425,0.00362583,0.0098133,0.00534015,0.0106298,0.012823,0.00209022,0.0016068,0.0108071,0,0.00339168,0.00581704,0.0061305,0.00370478,0,0,0.0031387,0.00371653,0.00202371,0.010324,0.00626047,0.00756187,0.0111658,0.0155869,0.00909113,0.0179365,0.0177802,0.00538258,0.00463914,0.00552562,0.00655563,0.00481165,0.00721815,0.00863442
53,0.0177562,0.00233472,0.0114825,0.011136,0.0104415,0,0.00616469,0.005366,0.0107589,0.0114826,0.00330611,0.00285632,0,0,0.0128299,0.021667,0.0200678,0.00994204,0.00397805,0.0100451,0.00523986,0.0108942,0.0127855,0.00210325,0.00145621,0.011008,0,0.00261034,0.00566837,0.00598702,0.0033004,0,0,0.00300222,0.00360139,0.00273258,0.0108517,0.00631778,0.00758568,0.010915,0.0154021,0.00933408,0.0180475,0.0180008,0.0059301,0.00446534,0.00588166,0.00649935,0.00462547,0.00730318,0.00857577
54,0.0179622,0.00294999,0.0123255,0.0112799,0.0105991,0,0.00722769,0.0051346,0.0108434,0.0114516,0.00342135,0.00329879,0,0,0.0129705,0.022141,0.0207191,0.0103612,0.00443588,0.0102976,0.00516237,0.0111793,0.0128285,0.00205432,0.00139231,0.0112443,0,0.00181971,0.00550068,0.00580712,0.00296411,0,0,0.00281889,0.00332389,0.00353572,0.0113497,0.00635534,0.00756931,0.0106681,0.0152409,0.00963846,0.0182863,0.0180966,0.00633382,0.00443497,0.00619858,0.00654867,0.00453504,0.00745207,0.00849571
55,0.0181179,0.00352648,0.0131124,0.0113379,0.0107414,0,0.00805025,0.00493513,0.0108863,0.0117827,0.00371558,0.00380209,0,0,0.0131411,0.022654,0.0213282,0.0107195,0.0045617,0.0104309,0.00547567,0.0113839,0.0130827,0.00193531,0.00138376,0.0114669,0,0.00112608,0.0051747,0.00567683,0.00267049,0,0,0.00259262,0.00306172,0.00426668,0.0119264,0.00634313,0.00746301,0.0104373,0.0149354,0.0100157,0.018571,0.0181925,0.00661513,0.00450939,0.00638357,0.00661798,0.00459972,0.00773169,0.00845424
56,0.0181916,0.00393351,0.0136502,0.0114635,0.0108479,0,0.0086199,0.00477625,0.0109907,0.0119083,0.00410283,0.00417938,0,0,0.0132911,0.0229941,0.0217379,0.0108523,0.00446835,0.0103943,0.00613399,0.0115427,0.0134034,0.00181256,0.00128935,0.0115528,0,0.000821123,0.00494166,0.00557122,0.00243338,0,0,0.00239177,0.00291808,0.00480968,0.0125707,0.00636234,0.00724729,0.0101867,0.0146267,0.0102895,0.0187177,0.0184643,0.00683261,0.00452104,0.00650462,0.00668021,0.00484151,0.0081927,0.00845341
57,0.0181633,0.00416662,0.0140079,0.0116122,0.0109148,0,0.00921932,0.00469283,0.011129,0.0117222,0.004328,0.00441539,0,0,0.0133396,0.0231372,0.0220575,0.010887,0.00444724,0.0102816,0.00673212,0.0118039,0.0135276,0.00171671,0.00111739,0.0115064,0,0.00109187,0.00495162,0.00544163,0.00226148,0,0,0.00225465,0.0028007,0.00527402,0.0130782,0.00644775,0.00696645,0.00987505,0.0146756,0.0104579,0.0187448,0.018874,0.00710037,0.00444409,0.00666988,0.00672127,0.00513823,0.00876106,0.00841663
58,0.0179622,0.00438774,0.0143601,0.0116009,0.0109524,0,0.0099465,0.0046895,0.0111948,0.0115532,0.00436682,0.00455192,0,0,0.0132866,0.0232917,0.0223867,0.0111013,0.00445886,0.0101912,0.00724396,0.0121363,0.0133682,0.00164889,0.000941043,0.0114131,0,0.00160215,0.00503807,0.00526051,0.00210699,0,0,0.00216175,0.00264652,0.00571154,0.0133319,0.00651736,0.00673269,0.00947608,0.0149234,0.0106919,0.0188027,0.0192507,0.00745348,0.00428765,0.00683568,0.00674767,0.00544512,0.00927676,0.00829831
59,0.0175639,0.00473604,0.0147406,0.0114717,0.0109572,0,0.0106139,0.00479587,0.0112382,0.0113524,0.00435612,0.00456176,0,0,0.0132517,0.0235063,0.0226629,0.0114073,0.00451481,0.0101446,0.00796688,0.0123333,0.0130297,0.00161594,0.000757031,0.0113584,0,0.0021753,0.00514473,0.00509343,0.00201411,0,0,0.00202506,0.00242468,0.00604136,0.013532,0.00654214,0.00659031,0.00899937,0.0147884,0.0110243,0.018856,0.0195281,0.00778927,0.00410438,0.00694492,0.00683943,0.00581733,0.00964656,0.00813957
60,0.0170663,0.00511141,0.0150774,0.0114031,0.0109466,0,0.0111229,0.00498823,0.0113195,0.0108714,0.00436634,0.00449067,0,0,0.0133289,0.0235775,0.0228096,0.0115469,0.00472213,0.010129,0.00889874,0.012361,0.0126461,0.00157993,0.000603893,0.0113988,0,0.00269858,0.0053555,0.00510241,0.00217377,0,0,0.00173839,0.00209089,0.00625249,0.0139688,0.00654893,0.00643665,0.00848038,0.0142329,0.0112976,0.01876,0.0196573,0.0080816,0.00405803,0.00704307,0.00700085,0.00616387,0.00985527,0.00794235
61,0.0165947,0.00533258,0.0153355,0.0113528,0.0109677,0,0.0115249,0.00517046,0.0113453,0.0102705,0.00439583,0.00440021,0,0,0.0134039,0.0233836,0.0229039,0.0116849,0.00496013,0.0100851,0.00968167,0.0123784,0.0122252,0.00152204,0.000583975,0.0114539,0,0.00311305,0.00561183,0.00525932,0.00262079,0,0,0.00137333,0.0017463,0.00647348,0.0145579,0.00647674,0.00622386,0.00793963,0.0138296,0.0114057,0.0185524,0.0196265,0.00836526,0.00411047,0.00715523,0.00702044,0.00638718,0.00992385,0.0076602
62,0.016171,0.00542826,0.0155589,0.0111144,0.0110109,0,0.0118102,0.00533043,0.0112734,0.0098413,0.00439719,0.00421923,0,0,0.0133372,0.0230492,0.0230364,0.0121564,0.00507975,0.00991872,0.0101284,0.0123799,0.0116468,0.00147176,0.000686518,0.0113935,0,0.00343553,0.00581842,0.00529976,0.00291572,0,0,0.00115105,0.00155751,0.00673212,0.0149028,0.00628902,0.00603664,0.0073476,0.0137389,0.0113924,0.0183384,0.0194556,0.00860523,0.00406286,0.0072131,0.00678628,0.00651904,0.00993553,0.00734126
63,0.0156905,0.00555577,0.0158022,0.0107094,0.0110281,0,0.0119781,0.00557724,0.0111972,0.00953812,0.00434715,0.00399,0,0,0.0131987,0.0227496,0.0230905,0.0126386,0.00515568,0.00970088,0.010416,0.0121421,0.0109585,0.00136089,0.000705308,0.0112715,0,0.00369232,0.00603973,0.00513775,0.0029098,0,0,0.00111222,0.0014667,0.00692588,0.014931,0.00610241,0.00590271,0.00665198,0.0134833,0.0113021,0.0180247,0.0191689,0.00876972,0.00393843,0.00718506,0.00651166,0.00654667,0.00990359,0.007057
64,0.0150713,0.00569477,0.016025,0.010369,0.0110252,0,0.0121538,0.0059664,0.0111722,0.00921335,0.00419879,0.003808,0,0,0.0130647,0.0225469,0.022905,0.01247,0.00527378,0.00960167,0.0106974,0.0116846,0.010413,0.00124846,0.000657058,0.0112233,0,0.00391971,0.00636324,0.00494578,0.00290183,0,0,0.00113681,0.001355,0.00703539,0.0149724,0.00599359,0.00577258,0.00590334,0.0128824,0.0111606,0.0175157,0.0187397,0.00882576,0.00387016,0.00712948,0.00638398,0.00647793,0.00967117,0.00675751
