Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
146,0.0160488,0.00508406,0.00836589,0.00485768,0.00468829,0,0.0145626,0.0155325,0.00870648,0.00340974,0.00535988,0.00624346,0,0,0.0103391,0.01038,0.0118284,0.0107122,0.0126616,0.00933068,0.01392,0.0111365,0.00500426,0.000941757,0.00321579,0.00945674,0,0.00724615,0.0124399,0.0100505,0.0119637,0,0,0.00268502,0.00412888,0.00691392,0.00981787,0.0121967,0.0140825,0.0101177,0.0125431,0.00551415,0.0212941,0.0223576,0.00589608,0.0267936,0.0164006,0.0240654,0.0346772,0.0294028,0.0177678
147,0.023758,0.00610916,0.0065417,0.00576052,0.00173109,0,0.00924146,0.0162366,0.00927617,0.00382567,0.00378269,0.00476144,0,0,0.00922128,0.0111945,0.0129665,0.0104776,0.0096521,0.00675977,0.010207,0.00850854,0.00525132,0.000959315,0.00271327,0.00763746,0,0.00578021,0.0129523,0.00728279,0.00905111,0,0,0.00187359,0.00395968,0.00819434,0.00867144,0.0128811,0.0150061,0.0116909,0.0137786,0.00638034,0.0236463,0.0252483,0.00708486,0.0250674,0.0145329,0.021475,0.0326207,0.0277436,0.0198893
148,0.0312519,0.00842271,0.00766738,0.006288,0.00241955,0,0.00533291,0.0170124,0.00980217,0.00452265,0.00229534,0.00362826,0,0,0.00894699,0.0122125,0.0148119,0.0100777,0.00736582,0.00531186,0.00727937,0.00664192,0.00596296,0.00239567,0.00214151,0.00685391,0,0.00559745,0.0135801,0.00485403,0.00658345,0,0,0.00118118,0.00390707,0.0100162,0.00978533,0.0139072,0.0156333,0.013344,0.0150192,0.00728952,0.0257111,0.027781,0.00829453,0.0232078,0.0128058,0.0186974,0.0304941,0.0261908,0.021904
149,0.0347305,0.010456,0.0102754,0.00680569,0.0046624,0,0.00354213,0.0176657,0.0104462,0.00588184,0.00229736,0.00316677,0,0,0.00934163,0.0139337,0.0167754,0.0100864,0.00602766,0.00586719,0.00533016,0.00643959,0.00750154,0.00363742,0.00161387,0.00691188,0,0.00631224,0.0142163,0.00235621,0.00385935,0,0,0.000660232,0.00366157,0.0111844,0.0115552,0.0151309,0.0161034,0.0148512,0.0159351,0.00800085,0.0273815,0.0294562,0.00920467,0.0214917,0.0118387,0.0167605,0.0288671,0.0251656,0.0236173
150,0.0377787,0.0120303,0.013398,0.00781249,0.00647313,0,0.00385404,0.0183747,0.0112937,0.00743087,0.00367322,0.00336553,0,0,0.00987334,0.0158928,0.0187534,0.0110677,0.00600748,0.00718495,0.00434768,0.00728099,0.00932336,0.00458462,0.00157471,0.00715896,0,0.00783897,0.0149508,0.00127805,0.00167697,0,0,0.0013432,0.00337161,0.011762,0.0134238,0.0163394,0.0166974,0.0160488,0.0164757,0.00891057,0.0285845,0.0308036,0.0101441,0.0204524,0.0109376,0.0158558,0.0278805,0.0245953,0.0249738
151,0.0406566,0.0129338,0.0163471,0.00906721,0.00776982,0,0.00444539,0.0189773,0.0121716,0.00852044,0.00498444,0.00347103,0,0,0.0103727,0.0177293,0.0210034,0.0126285,0.00708181,0.00824252,0.00440042,0.0079253,0.0109227,0.00510077,0.00174832,0.00733024,0,0.00938532,0.0155353,0.00296686,0.00168055,0,0,0.00203699,0.00328702,0.0118048,0.0152151,0.0173565,0.0172576,0.0168786,0.0166611,0.0100244,0.0292458,0.0320937,0.0112749,0.0204479,0.0105999,0.0155964,0.0275597,0.0244477,0.0259151
152,0.04107,0.01323,0.0185278,0.0101062,0.00847587,0,0.00477411,0.0192351,0.0129552,0.00883041,0.0057933,0.00370568,0,0,0.0108937,0.0195711,0.0234369,0.0140382,0.00826583,0.00875933,0.00486504,0.00799914,0.0119788,0.00521993,0.00188123,0.00723094,0,0.0106459,0.0158973,0.00461212,0.00306794,0,0,0.00235914,0.00342531,0.0112069,0.0163027,0.0180609,0.0175736,0.0173343,0.0165873,0.0107942,0.0296311,0.0330298,0.0122135,0.0210331,0.0117005,0.0159279,0.0279546,0.0249599,0.0264295
153,0.0438446,0.0137759,0.0200548,0.0108355,0.00911052,0,0.00505755,0.0196726,0.0136769,0.00885545,0.00536996,0.00382177,0,0,0.0116825,0.0216774,0.025596,0.0151112,0.00953191,0.00905083,0.0058606,0.00824686,0.0127521,0.00524694,0.00186878,0.00701146,0,0.0116654,0.0162288,0.00554577,0.00439017,0,0,0.00239628,0.00367596,0.0106428,0.0165575,0.0185083,0.0177585,0.0175528,0.0165129,0.0111312,0.0302711,0.0336447,0.0128152,0.0216576,0.0128171,0.0166975,0.0288157,0.0260049,0.0267252
154,0.0479408,0.0140959,0.020498,0.0113756,0.00932909,0,0.00540772,0.0201196,0.0142603,0.00907355,0.00409057,0.00321617,0,0,0.0127321,0.0236868,0.0267845,0.0156656,0.0109963,0.00957099,0.00807956,0.0094105,0.0134778,0.0051024,0.0017678,0.00662903,0,0.0124903,0.016251,0.00567494,0.00496295,0,0,0.00230718,0.003942,0.00997538,0.0159724,0.0187877,0.0179044,0.0176425,0.0164834,0.0113614,0.0310677,0.034115,0.0133093,0.0225417,0.0128313,0.0175598,0.0300564,0.0271096,0.0268732
155,0.0406365,0.0122641,0.0185615,0.0117181,0.00763669,0,0.0053729,0.0190567,0.0145382,0.00942645,0.00411232,0.00312811,0,0,0.0135015,0.024647,0.0267487,0.015653,0.0125332,0.0102105,0.0122012,0.0114837,0.0140508,0.00423439,0.00199055,0.0058109,0,0.0131081,0.0154687,0.00577826,0.0051398,0,0,0.00234841,0.00406351,0.00768681,0.0139449,0.0187498,0.0179243,0.0174753,0.0162212,0.0115002,0.0312742,0.0342115,0.0136936,0.02412,0.0130004,0.0187252,0.0320826,0.0281902,0.0266944
156,0.0242313,0.00897054,0.0147357,0.0121175,0.00472474,0,0.00556181,0.0166368,0.014614,0.00995585,0.00505294,0.00486623,0,0,0.0135016,0.0242649,0.0263027,0.0154235,0.0145179,0.0107994,0.0170837,0.0138705,0.0146173,0.00291412,0.00282579,0.00623458,0,0.0132623,0.0141228,0.006074,0.00531882,0,0,0.00256389,0.00394045,0.00467812,0.0110757,0.0183753,0.0178336,0.0170317,0.0157656,0.0114683,0.0308684,0.0339558,0.0138113,0.0261077,0.0141635,0.020371,0.0345623,0.0292939,0.0263094
157,0.0164434,0.00666149,0.0114093,0.0129122,0.00334,0,0.00679123,0.0151471,0.0147661,0.0108808,0.00523407,0.0056199,0,0,0.0129829,0.0234287,0.0264166,0.0153543,0.0167364,0.0115833,0.0207439,0.0157653,0.0155078,0.00214994,0.00348324,0.00778689,0,0.0126496,0.0131512,0.00581753,0.00527022,0,0,0.00268402,0.00373998,0.00378229,0.00917212,0.0181553,0.0177809,0.0166392,0.01548,0.0114082,0.0305813,0.0338135,0.0138383,0.0276393,0.0153999,0.0218674,0.0363514,0.0300673,0.0260446
158,0.0149748,0.00529392,0.00936407,0.0137842,0.00320836,0,0.00812518,0.0149718,0.014997,0.0119298,0.00502194,0.00487321,0,0,0.0125553,0.0229504,0.026855,0.0154574,0.0185866,0.012563,0.0230421,0.0169638,0.0165302,0.0022682,0.00344054,0.00873539,0,0.01128,0.0127728,0.00503755,0.0051116,0,0,0.00264895,0.00366845,0.00371652,0.00833934,0.0184584,0.0178153,0.016492,0.0153455,0.0112655,0.0303146,0.0337473,0.0138911,0.0285112,0.015867,0.02284,0.0375229,0.0305787,0.0257876
159,0.0134333,0.00384835,0.00782066,0.0141202,0.00344446,0,0.00850648,0.0143612,0.0150971,0.0125384,0.00494018,0.00349505,0,0,0.0123508,0.0229022,0.0270419,0.0156314,0.0198262,0.0132926,0.0248864,0.0177708,0.0172125,0.00284903,0.00290946,0.00960244,0,0.00924036,0.0120875,0.00447274,0.00520785,0,0,0.00264374,0.00362128,0.00420407,0.0077319,0.0189575,0.0178419,0.016394,0.0150812,0.0108459,0.0294833,0.0333332,0.0135085,0.0292701,0.0161616,0.0237181,0.0390382,0.0314109,0.025317
160,0.014226,0.00244647,0.00643951,0.0138917,0.00421816,0,0.0080625,0.0130411,0.0150171,0.0126688,0.00501926,0.00257647,0,0,0.0122149,0.0231867,0.0272744,0.0159238,0.020281,0.0134086,0.0261581,0.0183497,0.0174488,0.0034293,0.00226665,0.0107067,0,0.00662899,0.0108346,0.00406294,0.00542057,0,0,0.00267748,0.00339508,0.00548547,0.00717582,0.0190103,0.0177634,0.0160981,0.0146767,0.0102673,0.0283176,0.0325869,0.0124219,0.0302647,0.0168338,0.0248242,0.0408077,0.032577,0.0247949
161,0.0180629,0.00192994,0.00490005,0.0134336,0.00550796,0,0.00707466,0.011773,0.014815,0.0125525,0.00524453,0.00269959,0,0,0.0119817,0.0235403,0.0277656,0.0164727,0.0198423,0.0128309,0.0263343,0.0186691,0.017274,0.00379686,0.00197605,0.0120789,0,0.0042044,0.0099186,0.00330414,0.00547961,0,0,0.00275267,0.00307957,0.00670395,0.00689731,0.0184953,0.0176354,0.0155531,0.0142728,0.00967413,0.0271492,0.031557,0.0113966,0.0316361,0.0180033,0.0261877,0.0424555,0.0338006,0.0242904
162,0.0257788,0.00328024,0.00385879,0.0128153,0.00773447,0,0.00623225,0.0106039,0.0145045,0.0121931,0.00560731,0.00292027,0,0,0.011602,0.0237133,0.0279883,0.0169489,0.0186784,0.0115787,0.0256086,0.018473,0.0166304,0.00390029,0.00183316,0.0142891,0,0.00420285,0.00997718,0.0021649,0.00513428,0,0,0.00274949,0.00278858,0.00841831,0.00802452,0.0178327,0.0176467,0.0148513,0.0139673,0.00898937,0.0258379,0.0302795,0.011205,0.0335583,0.0195164,0.0278425,0.0444332,0.0351223,0.023648
163,0.0340372,0.00544519,0.00556844,0.0120538,0.0102785,0,0.00661423,0.00961747,0.0141436,0.0116685,0.00638962,0.00351529,0,0,0.0112222,0.0234024,0.0273874,0.0168647,0.0168608,0.00988003,0.0240842,0.017471,0.0156501,0.00414864,0.00176638,0.0167435,0,0.00638675,0.0104559,0.001174,0.00410806,0,0,0.00257955,0.0025846,0.0101207,0.0108886,0.0173072,0.017751,0.0142062,0.0138897,0.00822204,0.0242265,0.0289084,0.0112803,0.0354189,0.0208417,0.0293581,0.0465056,0.0362818,0.022969
164,0.0383136,0.0072583,0.00838344,0.0112097,0.012361,0,0.00857738,0.00888614,0.0137711,0.0110417,0.00749877,0.0045637,0,0,0.0108671,0.0223902,0.0259839,0.0163044,0.0146627,0.00799913,0.022121,0.0159369,0.0144786,0.0043446,0.00193343,0.0187272,0,0.0083298,0.0106986,0.00179488,0.00277746,0,0,0.00222915,0.00264143,0.0114014,0.0139468,0.0167579,0.0175183,0.0136838,0.013964,0.00760687,0.0227384,0.0274555,0.0108105,0.0366174,0.0218171,0.0304291,0.0480347,0.0369742,0.0223808
165,0.0415895,0.00880499,0.0113288,0.0103588,0.0141646,0,0.0118021,0.00828485,0.0132687,0.0101349,0.0083465,0.00406715,0,0,0.0105165,0.0206586,0.023987,0.0158297,0.0127364,0.00634852,0.0203614,0.0144318,0.0131294,0.00399067,0.00193651,0.0204326,0,0.00985774,0.0107876,0.00288627,0.00168718,0,0,0.00179121,0.00290874,0.0125783,0.0168176,0.016034,0.0168506,0.0132108,0.0140728,0.0072154,0.0214168,0.0258069,0.0100961,0.0374863,0.0226065,0.0313873,0.049021,0.0374831,0.0217684
166,0.0443125,0.0100729,0.0141138,0.0097041,0.0156806,0,0.0157816,0.00750961,0.0126299,0.00904145,0.00877361,0.00285326,0,0,0.0102288,0.0184715,0.0217608,0.015393,0.0112982,0.00520398,0.0188645,0.0131249,0.0117901,0.00343151,0.00189694,0.0219336,0,0.0109893,0.010475,0.00379619,0.00131062,0,0,0.00149424,0.00298096,0.0137556,0.0194279,0.0153057,0.0162539,0.0127544,0.0142259,0.00687874,0.0195685,0.0241704,0.0096505,0.038259,0.0231615,0.0322487,0.0495339,0.0378946,0.0210645
167,0.0427739,0.0107802,0.0162409,0.00937614,0.0164988,0,0.0202245,0.00596204,0.0120544,0.00809183,0.00881885,0.00260354,0,0,0.00995691,0.0163602,0.0197081,0.0146391,0.010069,0.00448035,0.0173483,0.012096,0.0106516,0.00335944,0.00185535,0.0229138,0,0.0118347,0.00946854,0.00481915,0.00179723,0,0,0.00152799,0.00263545,0.0146598,0.0212918,0.0147179,0.0160147,0.0122957,0.0144432,0.00651033,0.0172553,0.0226773,0.00932381,0.0383753,0.0233482,0.0323894,0.0492211,0.0377401,0.0203376
168,0.0403288,0.0113036,0.0180338,0.00931026,0.0170577,0,0.0254401,0.00404589,0.0115334,0.00711914,0.00880431,0.00271042,0,0,0.0095724,0.0145882,0.0178301,0.0137289,0.00935999,0.00407582,0.0161679,0.0115076,0.00943121,0.00361369,0.00177709,0.0235946,0,0.0132073,0.00829959,0.00564853,0.00248487,0,0,0.00174213,0.00226399,0.0153583,0.0227678,0.0140987,0.0158021,0.011739,0.0146663,0.00628141,0.0155811,0.0211022,0.00898971,0.0377455,0.023209,0.0318996,0.0482957,0.0371073,0.0195533
169,0.0427074,0.0122121,0.0199435,0.00966492,0.0180097,0,0.0313004,0.00265725,0.0108558,0.00575767,0.00908837,0.00245049,0,0,0.00914186,0.0129831,0.0159876,0.0129121,0.00956389,0.00415726,0.015788,0.0112468,0.00782838,0.00363266,0.00180133,0.0243963,0,0.0153614,0.00732824,0.00604397,0.00212218,0,0,0.00169151,0.00222904,0.0161965,0.0244631,0.0132933,0.0152748,0.0110029,0.0148022,0.00640312,0.0148066,0.0194294,0.00895057,0.0369251,0.0228668,0.0315596,0.0474545,0.0365626,0.0185805
170,0.0468603,0.0133733,0.0216957,0.00946451,0.0190412,0,0.0368458,0.00199207,0.0099358,0.00485971,0.00921108,0.0023601,0,0,0.00895103,0.0113748,0.0143951,0.0122544,0.010209,0.00496131,0.0159937,0.0112417,0.00695916,0.00355707,0.00186537,0.0252099,0,0.0183034,0.00602898,0.00661995,0.00114303,0,0,0.00135577,0.00234174,0.0172908,0.0261109,0.0124746,0.0144865,0.0101272,0.0148594,0.00682373,0.0140142,0.0178635,0.00927039,0.0360482,0.0225214,0.0313412,0.046681,0.0360634,0.0174055
171,0.0477021,0.0142478,0.0228749,0.00902556,0.0195627,0,0.0416113,0.00134771,0.0089882,0.00432742,0.00864673,0.00243405,0,0,0.00892696,0.0101047,0.0131483,0.0120955,0.0107031,0.00616487,0.016259,0.0114391,0.00645965,0.0037467,0.00193398,0.0257353,0,0.0218851,0.00393,0.00711495,0.000554011,0,0,0.00125093,0.00227346,0.0183068,0.0272327,0.0118813,0.0137241,0.00910753,0.0149346,0.00736892,0.0125845,0.0163076,0.00963625,0.0349534,0.0222925,0.030701,0.0455035,0.0352372,0.0161328
