Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0183032,0.00968076,0.0105214,0.0107823,0.0137131,0,0.036454,0.0154651,0.0123561,0.0135718,0.0136208,0.0140423,0,0,0.0174889,0.024986,0.0238395,0.0129651,0.0157166,0.0133668,0.0173372,0.0152785,0.0125458,0.00498911,0.00742378,0.0152621,0,0.0343209,0.0134587,0.0146873,0.0126885,0,0,0.00414528,0.00569953,0.00988684,0.0115538,0.0122166,0.0126608,0.0125005,0.015923,0.0159243,0.0270276,0.0296611,0.0144872,0.0268446,0.0172418,0.0196331,0.0301342,0.0237417,0.0142286
0,0.0177054,0.00811026,0.00864328,0.00807778,0.0131463,0,0.00629274,0.00477002,0.00574331,0.00387441,0.0105586,0.0102802,0,0,0.0183507,0.020226,0.011181,0.0156365,0.0154505,0.0242345,0.0169888,0.0172044,0.00692225,0.00179643,0.00556373,0.0134572,0,0.011447,0.00739468,0.0148322,0.0112021,0,0,0.00227919,0.00521725,0.00646902,0.00895149,0.010524,0.0096071,0.00851421,0.0212928,0.00508176,0.0259069,0.0227232,0.00552013,0.0133366,0.00647307,0.0156092,0.0166834,0.018431,0.0106062
1,0.0177096,0.00815997,0.00867183,0.00809249,0.0131107,0,0.00625963,0.00493301,0.0058037,0.00384663,0.0107786,0.0103587,0,0,0.0188267,0.0201461,0.011084,0.0155366,0.0156962,0.0243104,0.0169064,0.0171545,0.00704026,0.00177204,0.00546359,0.0134754,0,0.0115314,0.00740325,0.0148229,0.0111915,0,0,0.00230719,0.00520869,0.00638546,0.0090067,0.0104939,0.00972893,0.00854002,0.0213319,0.00484161,0.0259621,0.0227246,0.00542652,0.0130517,0.00646416,0.0155112,0.0166793,0.0183843,0.0106193
2,0.0176429,0.00812303,0.00866873,0.00808829,0.0131195,0,0.00626987,0.00508601,0.00580052,0.0038253,0.0108417,0.0103311,0,0,0.0184982,0.0201134,0.0110691,0.0154585,0.0158413,0.0244176,0.0168648,0.0171696,0.00702846,0.00173072,0.00540117,0.0134812,0,0.0116316,0.0073803,0.0147523,0.0110376,0,0,0.00238533,0.00514911,0.00633658,0.00899556,0.0104641,0.00977928,0.00851219,0.0212348,0.0047852,0.0257179,0.0226878,0.00526114,0.0129383,0.00640174,0.0153351,0.0166274,0.0182402,0.0106223
3,0.0175602,0.00805334,0.00864491,0.00805829,0.0131354,0,0.00628559,0.00521739,0.0056918,0.00383963,0.0106747,0.0101899,0,0,0.017786,0.0200869,0.0111267,0.0153818,0.0159796,0.0246021,0.0168805,0.0172156,0.00692721,0.0017001,0.00541379,0.0134495,0,0.0117309,0.00734781,0.0146733,0.0108703,0,0,0.00242997,0.00507442,0.00630656,0.00894461,0.0104348,0.0097727,0.00845148,0.0210297,0.00488903,0.0254153,0.0226478,0.0050785,0.0128953,0.00630548,0.0151668,0.0165887,0.0180089,0.0106085
4,0.0175189,0.00805002,0.00859892,0.00803463,0.0130617,0,0.00631831,0.00526258,0.0055165,0.00389182,0.0104845,0.0101236,0,0,0.0177439,0.020045,0.0111829,0.0152375,0.0160727,0.0246998,0.0168604,0.0171918,0.00692053,0.00173519,0.00549489,0.0134094,0,0.0118177,0.00734402,0.0146947,0.010854,0,0,0.00241423,0.00506767,0.00625211,0.00892967,0.0104351,0.0098203,0.00841729,0.0208907,0.00501326,0.0254122,0.0227033,0.00489877,0.012941,0.00622121,0.0150749,0.0166699,0.0178268,0.0106158
5,0.0174852,0.00810841,0.00851507,0.00804894,0.0128958,0,0.00640522,0.00524644,0.00538016,0.00395276,0.0105102,0.0102088,0,0,0.0184655,0.0200356,0.011208,0.01505,0.0159774,0.0245746,0.0167312,0.0171196,0.00706799,0.00180344,0.00558687,0.0134038,0,0.0118943,0.00737898,0.0147839,0.010881,0,0,0.00243786,0.00511531,0.00616931,0.00895566,0.0105119,0.00998099,0.00842068,0.0208502,0.00513091,0.025472,0.0228517,0.00461951,0.0133011,0.00614302,0.0150146,0.0168335,0.0177764,0.010688
6,0.0174113,0.00815302,0.00840078,0.00810633,0.0127388,0,0.00645251,0.00528867,0.00533908,0.00396544,0.0106286,0.0102259,0,0,0.0190272,0.0199703,0.0112072,0.0148882,0.015768,0.0243331,0.0165612,0.0170935,0.00723577,0.00180935,0.00561719,0.0134241,0,0.0119348,0.00742237,0.0148226,0.0107743,0,0,0.00253306,0.00514552,0.00608518,0.00896122,0.0106501,0.0101459,0.0084115,0.0206689,0.00528392,0.0252315,0.0229595,0.00426202,0.0138875,0.00604125,0.0149426,0.01694,0.0177891,0.0108023
7,0.0173204,0.00815843,0.00826773,0.00818678,0.0126456,0,0.00634198,0.00534238,0.00533982,0.00389937,0.0106334,0.0100346,0,0,0.0189789,0.0197001,0.0111863,0.0147249,0.0156213,0.0240964,0.0164453,0.0170877,0.00732279,0.00172292,0.0055614,0.0134498,0,0.0119081,0.00741942,0.0148495,0.0106007,0,0,0.00263601,0.0051882,0.00600672,0.00890457,0.0107554,0.0102205,0.00834964,0.0202212,0.0054329,0.024978,0.023002,0.0039525,0.0142584,0.00595196,0.0148474,0.0169402,0.0177835,0.0108783
8,0.0172474,0.00816009,0.00811141,0.00826906,0.0125816,0,0.0061562,0.00530575,0.00532485,0.00379883,0.0105848,0.0098,0,0,0.0187519,0.0193646,0.0111608,0.0144716,0.0155231,0.0238441,0.0163485,0.0170328,0.00738076,0.00162093,0.00548821,0.0134911,0,0.0118596,0.00735697,0.0149509,0.0104772,0,0,0.00272197,0.00528213,0.00592873,0.00878943,0.0107888,0.0103011,0.00825715,0.0197768,0.00555719,0.0249894,0.0231354,0.00363317,0.0143578,0.00590522,0.0147504,0.016929,0.0178108,0.0108857
