Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
105,0.0198753,0.0107348,0.00944239,0.00493133,0.00929185,0,0.00813808,0.00613168,0.00437233,0.00268572,0.010245,0.00670807,0,0,0.0178802,0.0177012,0.0111,0.0121456,0.0194317,0.0221153,0.0178047,0.0161692,0.00610775,0.0034493,0.00589137,0.0163447,0,0.0175434,0.0063897,0.00963747,0.00876229,0,0,0.00762779,0.0124852,0.00679043,0.00851895,0.00320574,0.0105271,0.0125524,0.0212185,0.0104508,0.0261975,0.0242133,0.0100057,0.0403985,0.0282914,0.0303848,0.0464149,0,0.00767044,0
106,0.0199731,0.0106618,0.00976226,0.00509073,0.00951385,0,0.0082014,0.00634127,0.00446992,0.00254706,0.0103226,0.00672126,0,0,0.0180088,0.017901,0.0112478,0.011674,0.0198446,0.0223303,0.0180307,0.0164456,0.00623651,0.00344517,0.00602464,0.0165818,0,0.0176615,0.00665004,0.00968595,0.00903253,0,0,0.00748967,0.0123298,0.00666587,0.00862662,0.00318971,0.010665,0.0125025,0.0218926,0.00982292,0.0270565,0.0248067,0.00929437,0.0399652,0.0274449,0.0295408,0.0462287,0,0.00788564,0
107,0.0200619,0.0105641,0.00998294,0.00528562,0.00973017,0,0.00826197,0.00651204,0.00457781,0.00246923,0.0103556,0.00668625,0,0,0.0181207,0.0181085,0.0114907,0.0110462,0.0201716,0.0224642,0.0181977,0.0166809,0.00641018,0.00347553,0.00611018,0.0166606,0,0.0177656,0.00688581,0.00971772,0.0092547,0,0,0.00739166,0.0122329,0.00648548,0.00875408,0.00316479,0.0106818,0.0123901,0.0225144,0.00925334,0.0279303,0.0254169,0.00875559,0.0391886,0.0262839,0.0284173,0.0454156,0,0.00796781,0
108,0.0201387,0.0104456,0.0100918,0.0054984,0.00992903,0,0.00831001,0.0066343,0.0047011,0.00246748,0.0103372,0.00661276,0,0,0.0181919,0.0183168,0.0118437,0.0102761,0.0204391,0.0225125,0.0183159,0.0168667,0.00662801,0.00353372,0.00612163,0.0165808,0,0.0178497,0.00708384,0.00972377,0.00941331,0,0,0.00733928,0.0121982,0.00628194,0.00887918,0.00314521,0.0106101,0.0122459,0.0230048,0.00877504,0.0287231,0.0259833,0.00838714,0.0381002,0.0248559,0.0271339,0.0440876,0,0.00792967,0
109,0.0201927,0.0103071,0.0100906,0.0058555,0.0101152,0,0.00833652,0.00670833,0.00491696,0.00254538,0.0102692,0.00650419,0,0,0.0180925,0.0185517,0.0123987,0.00918284,0.0206323,0.0222173,0.0183743,0.0169994,0.00696105,0.00361684,0.00604466,0.0163324,0,0.0179136,0.00723482,0.00970484,0.00950463,0,0,0.00732741,0.0122044,0.00607292,0.00896312,0.00313157,0.0104557,0.0120716,0.0232993,0.00838907,0.0292927,0.0263793,0.00818182,0.0366769,0.0231937,0.025749,0.0423103,0,0.00780116,0
110,0.020217,0.0100509,0.00996939,0.00721232,0.0104066,0,0.00834167,0.00674706,0.0058268,0.00272906,0.0101383,0.00634832,0,0,0.0170437,0.0189544,0.0138777,0.00665375,0.0208236,0.0202438,0.0185833,0.0171217,0.00790674,0.00371844,0.00588796,0.0158173,0,0.0179882,0.00733153,0.00967119,0.00953286,0,0,0.0074026,0.0121992,0.00580631,0.0089401,0.00305772,0.0101074,0.0118535,0.0234286,0.00796584,0.0294122,0.0263024,0.0081848,0.0345864,0.0211088,0.0240917,0.0397357,0,0.00754311,0
111,0.0201848,0.00992588,0.00983443,0.00693283,0.01051,0,0.00828809,0.00676425,0.00579857,0.00288817,0.0100058,0.00615443,0,0,0.0171008,0.0191121,0.0143232,0.00616329,0.0211529,0.0207157,0.018658,0.0171791,0.00790553,0.00383213,0.0056761,0.0154469,0,0.0179916,0.00741195,0.00962623,0.0095252,0,0,0.00735254,0.0122119,0.00572857,0.00890104,0.00311661,0.00993109,0.0114265,0.0230925,0.00786967,0.0293488,0.0263298,0.00810641,0.0331352,0.0196881,0.0228965,0.0379772,0,0.0075464,0
112,0.0200896,0.00978315,0.00967463,0.00676846,0.0106235,0,0.0082049,0.00677931,0.00588145,0.00306434,0.00982372,0.00588515,0,0,0.0168997,0.0192876,0.014957,0.00546997,0.0215077,0.0208753,0.0187792,0.0172516,0.00796043,0.00393552,0.00545181,0.0149939,0,0.0180059,0.00746988,0.00958346,0.0094846,0,0,0.00735053,0.012178,0.00563314,0.00876249,0.00320485,0.00968192,0.0107628,0.0225129,0.00788501,0.0289211,0.0260674,0.00806112,0.0316057,0.0183946,0.0216797,0.0361416,0,0.00764622,0
113,0.0199247,0.00958858,0.00951032,0.00679688,0.0107804,0,0.00810655,0.0068148,0.00616383,0.0032446,0.0096037,0.00553748,0,0,0.0163145,0.0194449,0.0158439,0.0045429,0.021909,0.0206773,0.0190142,0.0173643,0.00809679,0.00401293,0.00525535,0.0144587,0,0.0180189,0.00754139,0.00954772,0.0094494,0,0,0.00734014,0.0121134,0.00548037,0.00854552,0.00340407,0.00934447,0.00981219,0.0217737,0.00809455,0.0282147,0.0255665,0.00805031,0.0300353,0.0172473,0.0203896,0.0342107,0,0.00785181,0
114,0.019696,0.00934616,0.00936671,0.00680473,0.0109797,0,0.00802068,0.0068849,0.00650669,0.00342062,0.00933781,0.00509882,0,0,0.0155487,0.019516,0.0167713,0.00377611,0.0223349,0.0204888,0.0193343,0.0175241,0.00818141,0.00405466,0.00510892,0.0138816,0,0.0180307,0.00764614,0.00952078,0.00945129,0,0,0.00730784,0.0120344,0.00526688,0.00829702,0.00383832,0.0089379,0.00857117,0.0209742,0.00859664,0.027389,0.0249706,0.0080802,0.0284991,0.0162454,0.0190197,0.0322474,0,0.00815923,0
115,0.0194261,0.00904229,0.00926408,0.00688574,0.0112356,0,0.00798828,0.00698456,0.00698754,0.00362831,0.00902661,0.00456872,0,0,0.0145362,0.0194731,0.0177835,0.00344659,0.0228212,0.0202964,0.0197874,0.0177274,0.00826237,0.00406608,0.0050123,0.0132305,0,0.0180452,0.0077745,0.0095048,0.0095101,0,0,0.00725508,0.0119561,0.00497661,0.00805311,0.00448781,0.00845034,0.0071398,0.0202573,0.00932309,0.0265785,0.0243747,0.00817434,0.0268773,0.0152319,0.0175022,0.0301101,0,0.00848989,0
