Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
120,0.0158589,0.00827546,0.0103454,0.0101989,0.0136641,0,0.00917132,0.00716318,0.011859,0.0069232,0.00531986,0.00169098,0,0,0.0163865,0.0236504,0.0227475,0.00412062,0.0232616,0.022769,0.0196075,0.0189609,0.0141245,0.00393198,0.00475269,0.0103976,0,0.0173828,0.00798585,0.0104107,0.0108903,0,0,0.00668484,0.0109533,0.0032902,0.00703698,0.00919941,0.00826443,0.0044449,0.0164114,0.0120313,0.0233465,0.023345,0.00785092,0.0128696,0.00607692,0.00798944,0.0151699,0,0.00983305,0
121,0.0160481,0.0078774,0.00977912,0.0104049,0.0140326,0,0.00922375,0.00690599,0.0123773,0.0073391,0.00520558,0.00203086,0,0,0.0151738,0.0233835,0.0230536,0.00565377,0.0229111,0.0220086,0.0193348,0.0184594,0.0145487,0.0040333,0.00475064,0.0103386,0,0.0173348,0.0077303,0.010366,0.0106315,0,0,0.00683974,0.0110564,0.00315529,0.00685303,0.00943453,0.00847235,0.00437663,0.0157384,0.0128661,0.0238613,0.0245954,0.00858764,0.0130536,0.00550655,0.00750657,0.0151961,0,0.00988075,0
122,0.0162236,0.00756141,0.00908963,0.0102146,0.0142112,0,0.00923857,0.00662711,0.0125467,0.00752993,0.0051898,0.00221164,0,0,0.0142823,0.0229592,0.0229845,0.00653108,0.0221605,0.0211434,0.0185745,0.0177002,0.0146025,0.00416102,0.0047778,0.0103963,0,0.0172276,0.00745622,0.0102789,0.0102673,0,0,0.00695953,0.0112092,0.00301332,0.00659193,0.00959659,0.00863153,0.00424308,0.0151427,0.0135953,0.024544,0.0259169,0.00922542,0.0135348,0.00499389,0.00739097,0.0157083,0,0.00992494,0
123,0.0163932,0.00712915,0.00834785,0.00997213,0.0143402,0,0.00916881,0.00632181,0.0126578,0.007496,0.00520806,0.0022902,0,0,0.0129589,0.0221437,0.0226758,0.00746617,0.0211318,0.0199525,0.017615,0.0167034,0.0143691,0.00431061,0.00483269,0.0104476,0,0.0170993,0.00714734,0.0101681,0.00978279,0,0,0.0071605,0.0113682,0.00290605,0.00626288,0.00969997,0.00871124,0.00405139,0.0146075,0.0143017,0.0252736,0.0271763,0.00983374,0.0143303,0.00473106,0.00757882,0.0165426,0,0.00996838,0
124,0.0165492,0.00661107,0.00762094,0.00946866,0.0143971,0,0.00905695,0.00599562,0.0126071,0.00728601,0.00523727,0.00229456,0,0,0.0114002,0.0210136,0.0220699,0.00829509,0.0197244,0.0184886,0.0163737,0.0155046,0.0137334,0.00447954,0.00491545,0.0104613,0,0.0169546,0.00681563,0.0100447,0.00920322,0,0,0.00740019,0.0115316,0.0029205,0.00588444,0.00977274,0.00871201,0.00387648,0.0141607,0.0149915,0.0259584,0.0282676,0.0104095,0.0152998,0.00479641,0.00803192,0.0175466,0,0.0100162,0
125,0.0166887,0.00601663,0.00694301,0.00856504,0.0144008,0,0.00893236,0.00566278,0.0123262,0.00699754,0.00526582,0.00226593,0,0,0.00980224,0.0196514,0.0211641,0.00897377,0.0179256,0.0168075,0.0148713,0.0141919,0.0126782,0.00464937,0.00502379,0.0104406,0,0.0167996,0.00647847,0.00992006,0.00855482,0,0,0.0076553,0.0116844,0.0030495,0.0054989,0.00984446,0.00864549,0.00375532,0.0138074,0.0156196,0.026497,0.0290935,0.0109201,0.0163119,0.00511276,0.00859001,0.0185838,0,0.0100721,0
126,0.0168015,0.00539195,0.0063855,0.00735856,0.0143197,0,0.00882465,0.00532026,0.0118442,0.00671617,0.00529782,0.00222085,0,0,0.00828146,0.0181539,0.0200459,0.00967078,0.0158658,0.0150557,0.0132494,0.0129359,0.0112752,0.00479856,0.00515215,0.010347,0,0.0166329,0.0061385,0.00979584,0.00786101,0,0,0.00790911,0.0118149,0.00334441,0.00513306,0.00993177,0.00852436,0.00370046,0.0135509,0.0160903,0.0268021,0.0295664,0.0112825,0.0171947,0.00547282,0.00907171,0.019469,0,0.0101361,0
127,0.0168765,0.00476637,0.00594585,0.00596443,0.0141546,0,0.00874999,0.00498667,0.0111922,0.00651386,0.00534131,0.00219895,0,0,0.0070924,0.0166248,0.0187814,0.0103438,0.0137237,0.01339,0.0117165,0.0119067,0.00966644,0.00490287,0.00529389,0.0101968,0,0.0164529,0.0058199,0.00968042,0.00716125,0,0,0.00813672,0.0118997,0.00376115,0.00483482,0.0100634,0.00837395,0.00370348,0.0133875,0.016314,0.0268148,0.0296404,0.0114083,0.0178723,0.0057502,0.0093806,0.0201258,0,0.0102187,0
128,0.0169084,0.00419274,0.00561022,0.00459545,0.0138918,0,0.00871778,0.00467549,0.010462,0.00640749,0.00541021,0.00223695,0,0,0.00641066,0.0151418,0.0174304,0.0109053,0.0117077,0.0119539,0.01051,0.0112038,0.00804246,0.00494933,0.00544195,0.00999827,0,0.0162574,0.0055401,0.00958161,0.00650026,0,0,0.00831536,0.0119182,0.0042826,0.00462547,0.0102612,0.00822521,0.00376525,0.0133144,0.0162409,0.0265337,0.0293276,0.01124,0.0183228,0.00590128,0.00952618,0.0205357,0,0.0103323,0
129,0.0169074,0.00372571,0.00534781,0.00346126,0.0135339,0,0.00872777,0.00439659,0.00975871,0.00634126,0.00552025,0.00237021,0,0,0.00621782,0.0137248,0.0160098,0.0112466,0.0100199,0.0108485,0.00981173,0.010806,0.00659286,0.00493809,0.00559033,0.00976178,0,0.0160455,0.00530649,0.00950659,0.00592028,0,0,0.008429,0.0118604,0.00489126,0.00450564,0.0105322,0.00811005,0.00389539,0.013327,0.0158824,0.0260211,0.028707,0.0107823,0.0185837,0.00594311,0.00958704,0.0207364,0,0.0104846,0
130,0.0168972,0.00341593,0.00512382,0.00267459,0.0131042,0,0.00877136,0.00415489,0.00914755,0.00622183,0.00568386,0.0026203,0,0,0.00633833,0.01236,0.0145051,0.0113017,0.00882773,0.0101333,0.00965329,0.0106207,0.0054412,0.00488105,0.00573534,0.00950136,0,0.0158192,0.0051132,0.0094585,0.0054517,0,0,0.00847388,0.0117335,0.00556306,0.0044656,0.0108634,0.0080531,0.00410062,0.0134128,0.015307,0.0253905,0.0279118,0.0101032,0.0187216,0.00591056,0.00965854,0.0207874,0,0.0106723,0
131,0.0169037,0.00329562,0.00491489,0.00223031,0.0126413,0,0.00883515,0.00395275,0.00863228,0.00600149,0.0059036,0.0029816,0,0,0.00659618,0.0110517,0.0129117,0.011083,0.00822167,0.00982427,0.00990824,0.0105745,0.00459926,0.00479883,0.0058778,0.00923543,0,0.015584,0.00494551,0.00943486,0.00510819,0,0,0.00845962,0.0115604,0.00626461,0.00449622,0.0112238,0.00806319,0.00437036,0.0135508,0.0146171,0.0247748,0.0270974,0.00930965,0.0187946,0.00582942,0.0098092,0.0207363,0,0.0108803,0
132,0.0169404,0.00335124,0.00470712,0.00204613,0.0121788,0,0.00889221,0.0037901,0.00817216,0.0057192,0.00616432,0.00342148,0,0,0.00689184,0.00984171,0.0112628,0.0106417,0.00816356,0.00987545,0.0103861,0.0106337,0.0039831,0.0047257,0.00602156,0.00903388,0,0.0153579,0.00478238,0.00944452,0.00487542,0,0,0.0084301,0.0113542,0.00690867,0.00459405,0.0116816,0.00823387,0.00469449,0.0135275,0.0141142,0.024273,0.0265034,0.0086977,0.019122,0.00600921,0.010033,0.0208419,0,0.0111558,0
133,0.0170073,0.00354889,0.00457788,0.0021892,0.0117754,0,0.00896064,0.00367883,0.00775218,0.00544081,0.00645576,0.00386442,0,0,0.00717431,0.00888082,0.00973226,0.010203,0.00850351,0.0101593,0.0109377,0.0108358,0.00345236,0.00466533,0.00619092,0.00877301,0,0.0151257,0.00463933,0.00943781,0.00477557,0,0,0.00833371,0.0111788,0.00760102,0.00474277,0.0118944,0.0082589,0.00497116,0.013872,0.0133541,0.0240151,0.0259563,0.00784447,0.0188505,0.00561255,0.0103838,0.0204377,0,0.0112829,0
134,0.0170848,0.00380583,0.00452587,0.00250043,0.0114791,0,0.00900466,0.00362111,0.00732245,0.00525787,0.00674063,0.00426837,0,0,0.00746034,0.00817857,0.00840124,0.00970237,0.00906528,0.0105707,0.0114176,0.0110635,0.00293751,0.00466,0.00639562,0.00860079,0,0.014912,0.00451335,0.00945212,0.00475867,0,0,0.00823954,0.0110082,0.00815051,0.00494263,0.0120881,0.00835398,0.00519719,0.0141396,0.0128401,0.0239882,0.0257308,0.00723725,0.0186418,0.0053371,0.0107551,0.0200811,0,0.0114136,0
135,0.0171522,0.00405663,0.00461971,0.00301414,0.0113073,0,0.00902499,0.00361427,0.0068778,0.00521383,0.00700015,0.00457474,0,0,0.00780279,0.00782052,0.00744983,0.00926721,0.0097274,0.0110234,0.0117944,0.0112761,0.00238654,0.00471196,0.00664935,0.00851657,0,0.0147135,0.00442002,0.00947465,0.00480949,0,0,0.00813484,0.0108527,0.00855777,0.00517079,0.0122201,0.008477,0.00533022,0.0143835,0.0125461,0.0241805,0.0257965,0.00684618,0.0183901,0.00512194,0.0110992,0.0196954,0,0.0115296,0
136,0.0171992,0.0042918,0.00487424,0.00367672,0.0113062,0,0.00902241,0.00364482,0.00640203,0.0053398,0.00721889,0.00476077,0,0,0.00832627,0.00783506,0.00698904,0.0089575,0.0104729,0.0115189,0.01207,0.0114218,0.00181187,0.00480809,0.00695053,0.00855723,0,0.0145226,0.00435826,0.00950475,0.00489931,0,0,0.00801495,0.0107053,0.00879635,0.00538717,0.0122754,0.00860106,0.00534808,0.014633,0.0124309,0.0245517,0.0260952,0.00664625,0.0180774,0.00495158,0.0113912,0.019279,0,0.0116292,0
137,0.0172315,0.00464104,0.00518717,0.00444873,0.0115656,0,0.00899792,0.00366834,0.00588761,0.00565576,0.0073845,0.00483237,0,0,0.00923366,0.00825593,0.00706473,0.00886086,0.0114505,0.0121886,0.0123394,0.0115426,0.00126743,0.00490818,0.00727953,0.00885723,0,0.0143208,0.00429146,0.00954175,0.00498312,0,0,0.00787632,0.0105581,0.0088047,0.00546954,0.0122539,0.00870493,0.00525272,0.0148959,0.0124417,0.0250465,0.0265493,0.00661427,0.0178023,0.00485959,0.0116436,0.018951,0,0.0117164,0
138,0.0172396,0.00569171,0.00518292,0.00537415,0.0123731,0,0.008951,0.00356379,0.0053675,0.00619217,0.00747525,0.00480581,0,0,0.0108685,0.00918279,0.00765823,0.00915579,0.0132615,0.0135126,0.0129801,0.0119224,0.000985312,0.00495434,0.00760509,0.00996394,0,0.0140709,0.00411315,0.00959046,0.00496721,0,0,0.0077319,0.0104212,0.00843231,0.00499724,0.0121601,0.00876758,0.00505438,0.015144,0.0125445,0.0256082,0.0270819,0.00674859,0.0179609,0.00503462,0.0119304,0.0191851,0,0.0117989,0
