Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
1657,0.00639828,0.00197398,0.00191463,0.00969924,0.00878161,0,0.00126981,0.0140066,0.0102542,0.00775429,0.00455664,0.00669112,0,0,0.00796046,0.0147903,0.0167038,0.00828927,0.0060883,0.00174678,0.00818006,0.00724722,0.0094407,0.00270536,0.00269272,0.00823454,0,0.00410649,0.0140061,0.00647025,0.0078432,0,0,0.0049445,0.00283969,0.00305332,0.0033126,0.0118446,0.0084552,0.00811041,0.0113897,0.00993596,0.0164764,0.0188279,0.00755924,0.00708176,0.00308364,0.00629673,0.0126616,0.0104168,0.0095163
1658,0.00696821,0.00224688,0.00157933,0.00987767,0.008506,0,0.00103433,0.0135721,0.0102745,0.00795356,0.00416524,0.00670919,0,0,0.00791945,0.0146137,0.0167282,0.00846468,0.00590128,0.00202184,0.00811109,0.00726368,0.00954515,0.00269667,0.00270217,0.00791766,0,0.00373907,0.0135372,0.00595764,0.00808131,0,0,0.00514288,0.00315634,0.00316203,0.00308369,0.0121934,0.00833533,0.00826006,0.0113077,0.0100691,0.0166458,0.0190689,0.0078943,0.00712521,0.00334494,0.00645078,0.0128079,0.0105419,0.00958952
1659,0.00782804,0.00243434,0.00127403,0.00989255,0.00822299,0,0.000891392,0.0129428,0.010383,0.00818783,0.00406399,0.00600667,0,0,0.00792871,0.0145589,0.0167668,0.00865207,0.0056849,0.00234891,0.00804629,0.007153,0.00933123,0.00238817,0.00229144,0.00767645,0,0.00352912,0.0128226,0.00584988,0.00747169,0,0,0.00504172,0.00307062,0.00312487,0.00276927,0.0119863,0.00829979,0.00829318,0.0110454,0.0101191,0.0166321,0.0188962,0.00816128,0.00682584,0.00361213,0.00661387,0.0127717,0.0106396,0.00928635
1660,0.00873093,0.00246863,0.00142707,0.00989184,0.00801859,0,0.000739683,0.012252,0.0105377,0.00833337,0.00389536,0.00542711,0,0,0.00800235,0.0145483,0.0167463,0.00879195,0.00555283,0.00264764,0.00806866,0.00714865,0.00906282,0.00217247,0.00187258,0.00770681,0,0.00377292,0.0120957,0.00575472,0.00704047,0,0,0.00487411,0.00292445,0.00319536,0.00298847,0.011803,0.00835908,0.00843176,0.0108605,0.0101335,0.0165878,0.0186559,0.00819748,0.00662534,0.00379208,0.00678903,0.0124952,0.0105934,0.00897283
1661,0.00952375,0.00262619,0.00213719,0.0100612,0.00795489,0,0.00101853,0.011601,0.0106475,0.00831189,0.00350914,0.00507949,0,0,0.00821731,0.0145498,0.016638,0.00873728,0.00570547,0.00292407,0.00826491,0.00730637,0.00918711,0.00209377,0.00155545,0.00814104,0,0.00435988,0.0114198,0.00541115,0.00751557,0,0,0.00479479,0.00301225,0.00393958,0.00374303,0.0118729,0.00845885,0.00862153,0.0110104,0.0100713,0.0167852,0.0187289,0.00807623,0.00854323,0.00368917,0.00669647,0.0120334,0.010394,0.00888959
1662,0.0102875,0.00299541,0.00248933,0.010369,0.00796859,0,0.00151604,0.0109174,0.0106892,0.00820612,0.00309965,0.00459449,0,0,0.00851736,0.0146039,0.0165407,0.00859435,0.00613321,0.00315581,0.00857559,0.00752712,0.009614,0.0019465,0.00124297,0.0086587,0,0.0049969,0.0107304,0.00507739,0.00803802,0,0,0.00471439,0.00313161,0.005047,0.00417815,0.0119037,0.00852035,0.00857566,0.0113138,0.00993304,0.0171078,0.0189076,0.00788304,0.0134605,0.00357918,0.00641705,0.0117366,0.0102202,0.00890527
1663,0.0111867,0.00364073,0.00233957,0.0106641,0.00774358,0,0.00201795,0.010102,0.0107672,0.00822952,0.00273527,0.00384767,0,0,0.00871194,0.0146998,0.0165753,0.00857488,0.00643513,0.00339987,0.00885034,0.00777688,0.00993839,0.00161665,0.00098774,0.00846696,0,0.00549735,0.010009,0.00472913,0.00753091,0,0,0.00446248,0.00295653,0.0053832,0.00393977,0.0118251,0.00852873,0.00845746,0.0112981,0.0098968,0.017077,0.0188139,0.00776611,0.0130438,0.00394616,0.00642193,0.0117493,0.0102852,0.008894
1664,0.012148,0.00411064,0.002593,0.0108887,0.00724107,0,0.00257916,0.00937037,0.0109339,0.00838299,0.00232747,0.00319702,0,0,0.00880337,0.0147093,0.0166994,0.00866797,0.00669296,0.00380064,0.00918807,0.00812868,0.0100779,0.00131095,0.000884177,0.00770372,0,0.0059322,0.00933717,0.00430966,0.00628288,0,0,0.00405717,0.00257372,0.0049538,0.00363727,0.0118294,0.00858144,0.00857506,0.0108978,0.0100279,0.0166365,0.0184965,0.00791335,0.0082379,0.00445217,0.00689808,0.0119114,0.0106144,0.00890402
1665,0.0129815,0.00442631,0.00353591,0.0110718,0.00677147,0,0.00327543,0.00897826,0.0111223,0.00844189,0.00201662,0.00289011,0,0,0.00897228,0.0146019,0.0168008,0.00873816,0.00725651,0.00430767,0.00975247,0.00857636,0.0101709,0.00111788,0.000827567,0.0070771,0,0.0064177,0.00893767,0.00394708,0.00499865,0,0,0.00362477,0.00217626,0.00445278,0.00392691,0.011978,0.0086963,0.00876312,0.0105987,0.0101072,0.0161883,0.0181933,0.00817873,0.00661955,0.00441797,0.00745376,0.0121396,0.0110045,0.00902729
1666,0.013706,0.00483582,0.00465796,0.0111727,0.00632548,0,0.00400567,0.00882658,0.0112909,0.00837394,0.00197272,0.00254123,0,0,0.00919841,0.0145252,0.0168674,0.00874108,0.00792376,0.00472879,0.0103383,0.00897553,0.0102411,0.000902228,0.000712427,0.00657773,0,0.00686086,0.00903459,0.00375829,0.00376287,0,0,0.00319457,0.00182285,0.00423006,0.00464375,0.0121699,0.0087394,0.00876539,0.0106577,0.0100058,0.0159048,0.0179171,0.00827758,0.00681544,0.00408354,0.00776173,0.0124459,0.0112459,0.00924072
1667,0.0143281,0.00524958,0.00597871,0.011176,0.00575494,0,0.0045616,0.00872018,0.0114387,0.00831694,0.00204477,0.00209678,0,0,0.00929715,0.0145438,0.0169126,0.00869854,0.00835991,0.00503374,0.0107742,0.00920965,0.0102662,0.000696485,0.000650958,0.00590887,0,0.00719623,0.00939117,0.00373512,0.00281331,0,0,0.00285665,0.00161463,0.00400061,0.00553316,0.0122259,0.00868315,0.0086293,0.0106995,0.00987842,0.0156464,0.0176211,0.00829105,0.00697913,0.00372473,0.00791782,0.0127479,0.011327,0.00932438
1668,0.014645,0.00545078,0.007519,0.0111118,0.00519698,0,0.00479652,0.00870977,0.0115185,0.0082542,0.0021987,0.00215606,0,0,0.00927751,0.0145344,0.0168932,0.00866302,0.00860774,0.00529895,0.0111549,0.00932746,0.0102643,0.000559669,0.000624809,0.00531771,0,0.00758578,0.00946653,0.00371589,0.00252383,0,0,0.00261084,0.00144658,0.00364263,0.00649868,0.0120147,0.00862357,0.00848787,0.0104821,0.00986556,0.0153724,0.0173591,0.00834936,0.00720104,0.00345439,0.00800557,0.0128813,0.0113397,0.00911572
1669,0.0146371,0.00540167,0.00899113,0.0110053,0.00481782,0,0.00491204,0.00896662,0.011512,0.00810733,0.00249944,0.00248171,0,0,0.00929122,0.0144284,0.0167832,0.00867101,0.00877973,0.00546971,0.0115142,0.00943814,0.0102352,0.000597741,0.000656565,0.00500586,0,0.00799831,0.00929244,0.00360866,0.00237933,0,0,0.00249618,0.00131937,0.00338699,0.00752113,0.0117049,0.00859287,0.00836529,0.0103515,0.00995749,0.0151686,0.0171262,0.00835558,0.00745179,0.00364147,0.00795952,0.0128858,0.0113066,0.00881864
1670,0.0145694,0.0053452,0.0101789,0.0108952,0.00455748,0,0.00519329,0.00941534,0.0114844,0.00795921,0.00286249,0.00275805,0,0,0.00933159,0.0143124,0.0166192,0.00866958,0.00889007,0.00541542,0.0117148,0.00955442,0.0101755,0.000755044,0.000758908,0.00484909,0,0.00822911,0.00921751,0.00351695,0.0019262,0,0,0.00241898,0.00128808,0.00353992,0.00854073,0.0115277,0.00854402,0.00832114,0.0104665,0.0100301,0.0150173,0.0168249,0.00826622,0.00780713,0.00428779,0.00775838,0.0128752,0.011158,0.00866177
1671,0.0145498,0.00537224,0.0109619,0.0108222,0.00432693,0,0.00560256,0.00961796,0.0114983,0.00790019,0.0031936,0.00289726,0,0,0.00928293,0.0142626,0.0164635,0.00859235,0.00893462,0.0052617,0.0117173,0.00957215,0.0101108,0.000876378,0.000824483,0.00469772,0,0.00835779,0.0092241,0.00359389,0.00154856,0,0,0.00228848,0.00129285,0.00369157,0.00923503,0.0114436,0.00846676,0.0083497,0.0105429,0.00994393,0.0148172,0.0164282,0.00815026,0.00779071,0.00457361,0.00754816,0.0127956,0.0108933,0.00855983
1672,0.0144943,0.00540466,0.0112953,0.0107744,0.00420828,0,0.00601828,0.00931297,0.0115389,0.00789235,0.0034876,0.00280767,0,0,0.00915656,0.0142446,0.016374,0.00850167,0.00887696,0.0051466,0.0116161,0.00939953,0.0100646,0.000882845,0.000794832,0.00462738,0,0.0085843,0.00919087,0.00376305,0.0016057,0,0,0.00209303,0.00111715,0.00357133,0.00945521,0.0113133,0.00838895,0.00835432,0.0104157,0.00973555,0.0145545,0.0159904,0.00806413,0.0075649,0.0042078,0.00750595,0.012601,0.0106954,0.0083856
1673,0.0144201,0.0054371,0.0113652,0.0107291,0.00422393,0,0.00640693,0.00880858,0.0115282,0.00789002,0.00376241,0.00260583,0,0,0.00907468,0.0141671,0.0163676,0.00853486,0.00867138,0.00506679,0.0114578,0.00912106,0.0100334,0.000826353,0.000706863,0.00471322,0,0.00887306,0.00907242,0.00389816,0.00174103,0,0,0.00197106,0.000992597,0.00339555,0.00944537,0.0111891,0.00833249,0.00832534,0.0101495,0.00959009,0.0143166,0.0156086,0.0080752,0.00745288,0.00392557,0.0075849,0.0124872,0.0106953,0.00824093
1674,0.0144177,0.00553373,0.0113549,0.0107034,0.00428452,0,0.00662602,0.00836952,0.0114236,0.00791363,0.0039583,0.00255839,0,0,0.0090755,0.013975,0.0163832,0.00868019,0.00835338,0.0048968,0.011247,0.00888836,0.00999971,0.000735146,0.000519434,0.00490963,0,0.00905181,0.00876426,0.00395661,0.00170919,0,0,0.00184208,0.000946464,0.00342723,0.00940312,0.011203,0.0082885,0.00838208,0.00977436,0.00958309,0.0141732,0.0154671,0.00814794,0.00741707,0.00424218,0.00762548,0.0126074,0.0107608,0.00827037
1675,0.0145157,0.00559275,0.0111473,0.0107017,0.00436067,0,0.00657947,0.00792638,0.0112763,0.00795746,0.00400506,0.00272766,0,0,0.0090793,0.0137185,0.0163254,0.0087915,0.00804246,0.00464246,0.0110022,0.00872245,0.00994484,0.000769659,0.000488387,0.00509328,0,0.00912123,0.00825877,0.0039641,0.00165495,0,0,0.00181312,0.00106767,0.00359729,0.00935331,0.0113574,0.00824208,0.00852233,0.00953092,0.00966086,0.0141443,0.0156743,0.00815567,0.00741371,0.00466556,0.00763042,0.0127596,0.0107297,0.00843211
1676,0.0146661,0.00554016,0.0106897,0.0106913,0.00448433,0,0.00653279,0.00745878,0.0111399,0.00798824,0.00394649,0.00282997,0,0,0.00903178,0.0135184,0.0161704,0.00884572,0.00778752,0.00449947,0.0107239,0.00856728,0.00986983,0.000768785,0.00048736,0.00522387,0,0.00924422,0.00775783,0.0039706,0.00173371,0,0,0.00182127,0.00102432,0.00379492,0.00924628,0.011506,0.00820173,0.00862621,0.00967282,0.00975271,0.014215,0.0160047,0.00810852,0.00744456,0.00450614,0.00770776,0.0127282,0.0106899,0.00855536
1677,0.0147926,0.00542934,0.0102538,0.010679,0.00464457,0,0.00675125,0.00707417,0.0110228,0.00801716,0.00391914,0.00264844,0,0,0.00895928,0.0134201,0.0159736,0.00892689,0.00748765,0.00451656,0.0104424,0.00843396,0.00980342,0.000762758,0.000548223,0.00535819,0,0.00946253,0.00740151,0.00400241,0.00182006,0,0,0.0018291,0.000960777,0.00395871,0.00901341,0.0115706,0.00819852,0.00862521,0.00998542,0.00982327,0.0143131,0.016131,0.00813164,0.00745318,0.00408837,0.0078617,0.0126703,0.0107884,0.00858689
