Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
1306,0.0148027,0.0100652,0.00495845,0.00268757,0.0149052,0,0.00316028,0.00648447,0.00563688,0.00733781,0.00579238,0.00389313,0,0,0.00755686,0.0108588,0.0116657,0.00472729,0.00126507,0.00257687,0.00149953,0.00469108,0.00606747,0.00154504,0.000515887,0.0162761,0,0.00490665,0.00660286,0.00314467,0.00245804,0,0,0.00199053,0.00134562,0.012479,0.00407134,0.00419032,0.0067468,0.00920868,0.0116287,0.00658878,0.0170523,0.0178502,0.00452689,0.011638,0.00471566,0.00942491,0.00818483,0.0107841,0.00598553
1307,0.0151611,0.0104148,0.00544563,0.00290951,0.015638,0,0.00301714,0.00668718,0.00599748,0.00745807,0.00599194,0.00395587,0,0,0.00772795,0.0115704,0.0121809,0.00513036,0.00144627,0.00279063,0.00155883,0.00499251,0.00638289,0.00160687,0.000496625,0.0171678,0,0.00502393,0.00689167,0.00316878,0.00247,0,0,0.00205647,0.00134851,0.0131054,0.00489673,0.00438186,0.00689899,0.00923514,0.0120303,0.00691672,0.0176485,0.0186377,0.00457276,0.0119121,0.00470694,0.00957013,0.00846927,0.0111016,0.00612276
1308,0.0155794,0.0106768,0.00591908,0.00323011,0.0163058,0,0.0029323,0.00680969,0.00626414,0.00759584,0.00607355,0.00395689,0,0,0.0078134,0.0122122,0.0128014,0.00538733,0.0016374,0.00298796,0.00160149,0.00519227,0.00684486,0.00160564,0.000547444,0.0179649,0,0.00518032,0.00710902,0.00307462,0.00257771,0,0,0.00211308,0.00135132,0.0135425,0.00566578,0.0045177,0.00699038,0.00922589,0.012439,0.00726774,0.0182392,0.0192882,0.0046582,0.012542,0.00444231,0.00969907,0.00868385,0.0114498,0.00622731
1309,0.015962,0.0110439,0.00639921,0.00367608,0.0169257,0,0.00302458,0.00682,0.0065159,0.00774965,0.00613037,0.0039746,0,0,0.00783264,0.0128163,0.0135698,0.00555749,0.00171471,0.00312629,0.00172965,0.00528002,0.00734533,0.00152144,0.000544746,0.0186075,0,0.00525606,0.00718254,0.00293688,0.00268992,0,0,0.00204999,0.00127602,0.0138756,0.00626465,0.00459724,0.00713271,0.00927,0.0128748,0.0076106,0.0188716,0.0199924,0.00482664,0.0131832,0.00450462,0.0099112,0.00887266,0.0118192,0.00641095
1310,0.0161725,0.0114505,0.00688402,0.00409465,0.0175031,0,0.00311904,0.00693457,0.00684931,0.00790911,0.00622967,0.00414015,0,0,0.00804457,0.0133798,0.0143343,0.005762,0.00179094,0.00318819,0.00195205,0.00534211,0.00761279,0.00157871,0.000609834,0.0191085,0,0.00522709,0.00724948,0.00294091,0.00281625,0,0,0.00208731,0.0013639,0.0141732,0.0066748,0.00472905,0.00740084,0.00937407,0.0132376,0.00789625,0.0195351,0.0208341,0.00501751,0.0134559,0.00500386,0.0101119,0.0091577,0.0121812,0.00665058
1311,0.0162898,0.0117623,0.00737316,0.00448943,0.0180124,0,0.003112,0.00717566,0.00725329,0.00806683,0.00631379,0.00434286,0,0,0.00839017,0.0139492,0.0149365,0.00609755,0.00198135,0.00321193,0.00228283,0.00550941,0.00767228,0.0017375,0.000608226,0.0194848,0,0.00516575,0.00733049,0.00318255,0.00287281,0,0,0.00223261,0.00154731,0.0143998,0.00692687,0.00490379,0.00766676,0.00944387,0.0134508,0.00819841,0.0201135,0.0215259,0.00529372,0.0135447,0.00537743,0.0102286,0.00959991,0.0124218,0.00687044
1312,0.0164126,0.0120493,0.00789874,0.00491393,0.0184629,0,0.00316077,0.007301,0.00764255,0.00823002,0.00636391,0.00445108,0,0,0.00855369,0.0146259,0.0154662,0.00652094,0.00226656,0.00331547,0.00270342,0.00587823,0.00786373,0.0018741,0.000608116,0.0197651,0,0.005137,0.00740957,0.00347475,0.00279977,0,0,0.00226554,0.00157731,0.014495,0.0070927,0.00496822,0.00778114,0.00944745,0.013603,0.0086164,0.0205846,0.0218403,0.00573493,0.0136661,0.00509223,0.0103612,0.0100332,0.0125765,0.00709724
1313,0.0164716,0.0123691,0.00844724,0.00534749,0.0188995,0,0.00327228,0.00728013,0.00798312,0.00838628,0.00644686,0.00448274,0,0,0.00862976,0.0153458,0.0161801,0.00685109,0.00254989,0.00343382,0.00307432,0.00635199,0.0082674,0.00185372,0.000589822,0.0199984,0,0.00518218,0.00750252,0.00358178,0.0028093,0,0,0.0022172,0.00150928,0.0145031,0.00731537,0.00491666,0.00783644,0.0094539,0.0138123,0.00905131,0.0210427,0.0220283,0.00615767,0.0135108,0.00462606,0.0105537,0.0102171,0.0127579,0.00732418
1314,0.0164498,0.0126644,0.00887427,0.00579182,0.019295,0,0.00328472,0.00728349,0.00832041,0.00852794,0.00659248,0.00445728,0,0,0.00879139,0.0159683,0.0171497,0.00706867,0.00273138,0.00339538,0.00335126,0.00675706,0.00867366,0.00182066,0.000549823,0.0202135,0,0.00526748,0.00757944,0.00351214,0.00296697,0,0,0.00218624,0.00146139,0.0145572,0.00764874,0.00489514,0.0080333,0.00950783,0.0141257,0.00931947,0.0214765,0.0223879,0.0063422,0.0128215,0.00431983,0.0106803,0.0101934,0.0129311,0.00744385
1315,0.0164158,0.0128753,0.00908635,0.0062242,0.019572,0,0.00323627,0.00734264,0.00869991,0.00869108,0.00672201,0.00443323,0,0,0.00892251,0.0165496,0.0181041,0.00739124,0.00297782,0.00326215,0.00370588,0.0071345,0.00900672,0.00189395,0.000515778,0.0204354,0,0.0053304,0.0075878,0.00342668,0.00306518,0,0,0.00219197,0.00147582,0.014699,0.00796589,0.00499432,0.0083538,0.0095596,0.0144452,0.00942755,0.0217757,0.022868,0.00634493,0.0122283,0.00441228,0.0106959,0.0102888,0.0130755,0.00746436
1316,0.0163191,0.0130211,0.00920632,0.00664055,0.0197555,0,0.00328369,0.0073491,0.00910662,0.0088849,0.0067764,0.00442486,0,0,0.00906576,0.0171799,0.0187597,0.00785176,0.00337652,0.00319287,0.00426576,0.0075713,0.00932938,0.00197543,0.000530721,0.0207025,0,0.00536377,0.00753178,0.00342296,0.00295169,0,0,0.00222985,0.00151388,0.0148361,0.00820417,0.00519258,0.00860008,0.00955231,0.0146573,0.00948404,0.0219482,0.0232893,0.00630108,0.012359,0.00439883,0.0107149,0.0106994,0.0133096,0.00751912
1317,0.016124,0.0131513,0.00933233,0.00709362,0.0199156,0,0.00334414,0.0072554,0.00947437,0.00907217,0.00685154,0.0043212,0,0,0.00929396,0.0177367,0.0191422,0.00813729,0.00384558,0.00316118,0.00496935,0.00797258,0.00970035,0.00195652,0.000532986,0.0209811,0,0.00536678,0.00745374,0.00346991,0.00273467,0,0,0.00228574,0.0015191,0.0148995,0.00844473,0.00544229,0.00874598,0.0095242,0.0148474,0.00950336,0.0221203,0.023533,0.00625163,0.0131905,0.00371709,0.0107846,0.0112186,0.013659,0.00766631
1318,0.015929,0.0132477,0.00937146,0.0076562,0.0200153,0,0.00329377,0.00713148,0.00978494,0.0092586,0.00704749,0.00414503,0,0,0.00951332,0.0180577,0.0194028,0.00812536,0.00428863,0.00305642,0.00568961,0.00824945,0.0101996,0.00198332,0.000567632,0.0211648,0,0.00526658,0.00736404,0.00345548,0.00265907,0,0,0.00230404,0.00151858,0.0149212,0.00866604,0.00567277,0.00895046,0.00954349,0.0151633,0.00952565,0.0223482,0.0236289,0.00623383,0.0140134,0.00326091,0.0108827,0.011611,0.0139727,0.00783381
