Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
332,0.0212795,0.0114059,0.012791,0.0154661,0.0215714,0,0.00767079,0.00840053,0.0128862,0.0172108,0.0106178,0.00853964,0,0,0.0114149,0.0234638,0.0232828,0.013177,0.00846335,0.00344797,0.014257,0.0114847,0.0202772,0.00310321,0.00197328,0.0187096,0,0.00987097,0.00649957,0.0104749,0.0112844,0,0,0.0043919,0.00291236,0.0116242,0.0104186,0.00679844,0.0112799,0.00607474,0.0154793,0.012061,0.0271384,0.0302185,0.0102222,0.0141563,0.0054121,0.011383,0.0153888,0.0161707,0.00749195,0
333,0.0210725,0.0109293,0.0114257,0.0153478,0.0206589,0,0.00636883,0.00782063,0.0124906,0.0164896,0.00967355,0.0072474,0,0,0.0108428,0.0228413,0.0228233,0.012801,0.00800745,0.00313469,0.0139269,0.0112862,0.0197344,0.00248863,0.00180893,0.0177293,0,0.00805681,0.00633926,0.00966275,0.010202,0,0,0.00392387,0.00279415,0.0122068,0.00916668,0.00670322,0.0108174,0.00581404,0.014581,0.0120652,0.0263692,0.0293932,0.0100546,0.0132293,0.00474023,0.0111591,0.0144205,0.0151515,0.0074584,0
334,0.0208671,0.0105544,0.0100558,0.01523,0.019703,0,0.00542395,0.00729734,0.0120612,0.0156788,0.00857508,0.00586981,0,0,0.0103497,0.0220178,0.0222196,0.0125435,0.00756941,0.00283317,0.0135401,0.0110228,0.0190222,0.00199394,0.0017897,0.0168149,0,0.00629568,0.00624699,0.00876265,0.00905771,0,0,0.00347661,0.00260558,0.0129577,0.00801467,0.00658033,0.0104905,0.00553206,0.0138194,0.0118927,0.0255091,0.0284937,0.0098487,0.0123012,0.00413136,0.0106002,0.0134478,0.0140479,0.00739386,0
335,0.0205543,0.0099299,0.00867915,0.0153843,0.0185868,0,0.00514095,0.00674271,0.0117046,0.0146752,0.00739371,0.00465542,0,0,0.0099764,0.021131,0.02151,0.012183,0.00725599,0.00263767,0.0131044,0.0105985,0.0179299,0.00167262,0.00199698,0.0158079,0,0.00459135,0.00591724,0.007711,0.00785362,0,0,0.0031235,0.00246707,0.0136131,0.00695402,0.00649504,0.0101133,0.00527314,0.0131213,0.0114113,0.0246284,0.027466,0.00963022,0.0113112,0.00390133,0.00980831,0.0125928,0.0130841,0.00735386,0
336,0.019844,0.00922542,0.00733701,0.0155343,0.0172679,0,0.00546282,0.00623131,0.0113276,0.0135745,0.00620536,0.00372211,0,0,0.0095082,0.0201308,0.0205645,0.0117472,0.00706692,0.00241078,0.0127149,0.0102041,0.0166093,0.00134469,0.00219876,0.0146826,0,0.00300346,0.00565437,0.0067162,0.00667574,0,0,0.00279036,0.00235358,0.0138244,0.00595723,0.00639122,0.00953136,0.0050727,0.0122349,0.0108723,0.0236747,0.0263222,0.00934152,0.0103132,0.0037495,0.00912196,0.0117341,0.0122387,0.00729483,0
337,0.0188251,0.00865547,0.00599285,0.0154779,0.0157663,0,0.00593425,0.00577076,0.0108858,0.0121744,0.00505394,0.00327081,0,0,0.00886797,0.0189152,0.0194003,0.0113285,0.00686249,0.00227652,0.0122931,0.0100498,0.0153731,0.000860946,0.00209199,0.0134791,0,0.00168699,0.00554551,0.00581743,0.00578545,0,0,0.00241485,0.00219369,0.0136014,0.0049864,0.0063001,0.00883218,0.00493179,0.0114055,0.0103545,0.0225409,0.0250743,0.0088777,0.00940652,0.00347832,0.00861397,0.0107911,0.0114374,0.00723819,0
338,0.0177903,0.00772527,0.00480579,0.0156597,0.0141765,0,0.00600524,0.00540543,0.0104704,0.0106135,0.00411195,0.00377128,0,0,0.00809079,0.0176133,0.0181493,0.0109799,0.00655951,0.00234897,0.0118358,0.00999129,0.0136899,0.000654599,0.00200919,0.0121186,0,0.00140496,0.00551079,0.00497663,0.00526177,0,0,0.00201708,0.00195212,0.0133144,0.00403825,0.00628175,0.00823039,0.00477614,0.0107041,0.00973266,0.0212154,0.0236322,0.00826866,0.00865643,0.00320297,0.00807707,0.00976693,0.0105588,0.00713034,0
339,0.0167529,0.00666195,0.00359178,0.0158094,0.0125427,0,0.00589502,0.00516635,0.0101133,0.00931972,0.00317774,0.0043218,0,0,0.007326,0.0163351,0.0168235,0.0104724,0.00615352,0.00261646,0.0112664,0.00979475,0.0121602,0.000948955,0.00226292,0.0106529,0,0.00205967,0.0054712,0.00424639,0.00495712,0,0,0.00188037,0.00186805,0.0130332,0.003178,0.00632662,0.00770936,0.00461366,0.00989864,0.00885824,0.0197021,0.0219214,0.00755949,0.00805603,0.00313135,0.00752617,0.00892472,0.00971513,0.0069735,0
340,0.0156522,0.00555654,0.0023673,0.0150649,0.0109398,0,0.00588389,0.00494976,0.00964664,0.00858923,0.00231541,0.00425637,0,0,0.00678481,0.015028,0.0153887,0.00977757,0.00581784,0.00297502,0.010648,0.00937042,0.0115404,0.00110926,0.00233633,0.009145,0,0.00287885,0.00540392,0.00370191,0.00471915,0,0,0.00186982,0.00182912,0.0124958,0.00253831,0.0063895,0.00719189,0.00454393,0.00923388,0.00782811,0.018052,0.0201368,0.0068313,0.00755209,0.00327799,0.00707019,0.00839817,0.00904656,0.00680379,0
341,0.0145005,0.00442063,0.00132856,0.0143477,0.00939335,0,0.00586419,0.00471018,0.00909732,0.00787837,0.0018265,0.0039057,0,0,0.00632693,0.0136174,0.0139686,0.0091821,0.00553799,0.00327325,0.0100221,0.00872719,0.0109308,0.00118541,0.00224311,0.00764618,0,0.00356391,0.00537511,0.00342188,0.00457534,0,0,0.00185368,0.00184886,0.0116719,0.00219019,0.00642854,0.00667463,0.0045629,0.00893347,0.00681466,0.0163298,0.0184038,0.00611913,0.00706554,0.00353309,0.00679467,0.00805067,0.00851358,0.00663071,0
