Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
41,0.0143029,0.00497298,0.00892095,0.00617229,0.014534,0,0.00661468,0.00448297,0.00794182,0.00632372,0.00849699,0.00574908,0,0,0.0125991,0.0197892,0.0211845,0.0111878,0.0148644,0.0105054,0.0149377,0.010837,0.00816729,0.0025486,0.00471727,0.00836264,0,0.0130667,0.00427496,0.00894688,0.00462053,0,0,0.00491406,0.0071251,0.013108,0.00731704,0.0117123,0.00796134,0.00582299,0.0185174,0.00752384,0.0231221,0.0230565,0.000469369,0.0168151,0.00929567,0.0165465,0.0157245,0,0.0109219,0
42,0.0144832,0.00492018,0.00905292,0.0066267,0.0147694,0,0.00655017,0.00475315,0.00871549,0.00670086,0.00889682,0.00644615,0,0,0.0136586,0.02125,0.0223786,0.0107378,0.015066,0.0103825,0.0162573,0.0122118,0.00882784,0.00246334,0.00468917,0.0085035,0,0.0127699,0.0042163,0.00867601,0.00437107,0,0,0.00509641,0.00723133,0.0132258,0.00749952,0.0118041,0.00806061,0.00609407,0.0187181,0.00710852,0.0230134,0.0227424,0.00132794,0.0178022,0.0103358,0.0172886,0.0164043,0,0.0109041,0
43,0.0146925,0.00485321,0.00918186,0.00694682,0.014971,0,0.00655868,0.00502208,0.00949712,0.00706199,0.00932239,0.00717968,0,0,0.0148736,0.0226987,0.023351,0.00992594,0.0152859,0.0102455,0.0177108,0.0138041,0.00937302,0.00242268,0.00469359,0.00865659,0,0.0125209,0.00422714,0.00843657,0.00420657,0,0,0.00528188,0.00734138,0.0133293,0.00772846,0.0119261,0.00819964,0.00637718,0.0189597,0.00679318,0.0229754,0.0224927,0.00217992,0.0188162,0.0113812,0.0180751,0.0171321,0,0.0109275,0
44,0.0149473,0.00473236,0.00930375,0.0071653,0.0151033,0,0.00663522,0.00524875,0.0102666,0.00743126,0.00974344,0.0079268,0,0,0.0161487,0.0240661,0.0241037,0.00888258,0.0154997,0.0100395,0.019238,0.0154425,0.00976316,0.00244824,0.00472918,0.00884399,0,0.012319,0.00431554,0.00825735,0.00409189,0,0,0.00545919,0.00745034,0.013434,0.00803099,0.0121999,0.00847316,0.00668782,0.0190641,0.00690137,0.0230496,0.0225457,0.00280793,0.0199638,0.012359,0.0187958,0.0179928,0,0.0110923,0
45,0.0152261,0.00468239,0.00939935,0.0070481,0.0152495,0,0.00675009,0.00545743,0.0108048,0.00779824,0.0102064,0.00869753,0,0,0.0176773,0.025279,0.0244505,0.00738732,0.0153429,0.0097816,0.0204278,0.0170659,0.00988469,0.0024902,0.00481356,0.00903414,0,0.0121669,0.00453295,0.00818088,0.00402718,0,0,0.005625,0.00752215,0.0135027,0.00837628,0.0123361,0.00865371,0.0069567,0.0193914,0.00688302,0.023146,0.0224773,0.00354295,0.0209128,0.0133492,0.019648,0.0187499,0,0.0111675,0
46,0.0155486,0.00458858,0.00950718,0.00677362,0.0153358,0,0.00689866,0.00563356,0.0111302,0.00815744,0.0106542,0.00945814,0,0,0.0191716,0.0261403,0.0243582,0.00586626,0.0148333,0.00946784,0.0212089,0.0184032,0.00977082,0.00260057,0.00493847,0.00923421,0,0.0120653,0.00482518,0.0081839,0.00395496,0,0,0.0057657,0.00758613,0.0136025,0.00883231,0.0125032,0.00886756,0.00720395,0.0196755,0.00711771,0.0232939,0.0225663,0.00412527,0.0218382,0.0142774,0.0204688,0.0195173,0,0.0112826,0
47,0.0159006,0.00445549,0.00962438,0.00622709,0.0153451,0,0.00706403,0.00580127,0.0110928,0.00849488,0.0110863,0.0101991,0,0,0.020637,0.0265221,0.0236722,0.0047734,0.0137187,0.00930274,0.0211975,0.0193306,0.00936999,0.00276538,0.00510357,0.00944855,0,0.0120162,0.00516343,0.00824704,0.0038675,0,0,0.00587419,0.00764501,0.0137078,0.009407,0.0127286,0.0091345,0.00742577,0.0198472,0.00764344,0.0234712,0.0228529,0.00453463,0.0227597,0.0151302,0.0212177,0.0203363,0,0.0114646,0
48,0.0162572,0.00436057,0.00974652,0.00538446,0.0153051,0,0.00723384,0.00598937,0.0106379,0.00880406,0.0115145,0.0109165,0,0,0.0219662,0.0263605,0.0223879,0.00514382,0.0120235,0.0096575,0.0202678,0.0197686,0.00868301,0.0029585,0.00530394,0.00969446,0,0.0120154,0.00552216,0.00834418,0.00378685,0,0,0.00595048,0.00769051,0.013776,0.0100719,0.0130059,0.00945328,0.00760939,0.0198696,0.00841713,0.0236325,0.0232998,0.00485696,0.0236811,0.0159247,0.0218769,0.0212216,0,0.0117149,0
49,0.0166023,0.00432383,0.00988894,0.00431622,0.0152196,0,0.00740297,0.0062023,0.00982459,0.00909766,0.011925,0.0115934,0,0,0.0230158,0.02573,0.0207135,0.0069821,0.0100792,0.0107488,0.0185833,0.0197371,0.00776706,0.00316232,0.00552209,0.00995762,0,0.0120534,0.00586351,0.00844381,0.00372739,0,0,0.00599355,0.007722,0.0138092,0.010816,0.0133115,0.00981012,0.00773737,0.0197201,0.00936741,0.02374,0.0238405,0.00520799,0.0245908,0.0166955,0.022435,0.0221265,0,0.012012,0
50,0.0169248,0.00439159,0.010063,0.00335236,0.0151152,0,0.00757279,0.00643589,0.00893409,0.0093622,0.0123036,0.0122153,0,0,0.0236068,0.0249209,0.0191482,0.00898352,0.0085988,0.0120568,0.0168294,0.0193823,0.00684621,0.00335999,0.00573979,0.0102201,0,0.0121182,0.00616513,0.00852074,0.00370282,0,0,0.00600675,0.0077356,0.0138132,0.0116001,0.0135675,0.0101386,0.00778185,0.0194621,0.010302,0.0237399,0.0242964,0.00565456,0.0254032,0.0174462,0.0229051,0.0228829,0,0.0122803,0
51,0.0172144,0.0045698,0.010252,0.0027482,0.0149783,0,0.00775246,0.00668126,0.00820509,0.00956103,0.0126368,0.0127733,0,0,0.0238051,0.0242662,0.0180578,0.0104491,0.00783778,0.0129925,0.0155132,0.0189321,0.00610246,0.00354075,0.00594311,0.0104659,0,0.0121996,0.00642332,0.0085624,0.00371908,0,0,0.00599518,0.00772533,0.013771,0.0123696,0.0137293,0.010394,0.00773633,0.0191493,0.0110959,0.023607,0.0245593,0.00613454,0.0260487,0.0181344,0.0232873,0.0233589,0,0.0124713,0
52,0.0174628,0.00485557,0.0104237,0.00253264,0.0147871,0,0.00795329,0.00693089,0.00775765,0.00965154,0.0129163,0.0132623,0,0,0.0237737,0.0239559,0.0175443,0.0112252,0.00760286,0.01333,0.0148348,0.0185664,0.00562952,0.00369642,0.00612373,0.0106899,0,0.0122863,0.00665246,0.00857324,0.00377402,0,0,0.0059667,0.00768343,0.0136521,0.0130647,0.013778,0.0105529,0.00760697,0.0188173,0.011699,0.0233429,0.0245977,0.00655841,0.026499,0.0187199,0.0235825,0.0234985,0,0.0125623,0
53,0.0176881,0.005217,0.0105514,0.00239164,0.0144912,0,0.00817334,0.00716518,0.00738895,0.00965455,0.0131111,0.0136662,0,0,0.0237111,0.0238192,0.0173058,0.0117617,0.00760349,0.013596,0.0143471,0.0183035,0.00523607,0.00382753,0.00626926,0.010881,0,0.0123729,0.0068531,0.00855917,0.00382982,0,0,0.00592805,0.00762281,0.0134378,0.0136754,0.0137747,0.0106691,0.00741598,0.0183745,0.012285,0.0230124,0.024591,0.00696571,0.02684,0.0192265,0.02377,0.0234201,0,0.0126051,0
54,0.0178853,0.00568907,0.0106021,0.00229807,0.0141058,0,0.00841121,0.00738401,0.0071354,0.00952152,0.013226,0.0139854,0,0,0.0235521,0.0237981,0.0172998,0.0119031,0.0078048,0.0136433,0.0141573,0.0181049,0.00502703,0.00392215,0.00637519,0.0110547,0,0.0124529,0.00704131,0.00853379,0.0038836,0,0,0.00588168,0.00753679,0.0131176,0.0141692,0.0137025,0.0107229,0.00716446,0.0178544,0.0128347,0.0226371,0.0245391,0.00734702,0.0270663,0.0196485,0.0238651,0.0231301,0,0.0125849,0
55,0.0180548,0.0062877,0.0105235,0.00227567,0.0135935,0,0.00865503,0.00758354,0.00708745,0.00919151,0.0132657,0.0142221,0,0,0.0231189,0.023833,0.0175262,0.0113034,0.00820388,0.0131138,0.0144486,0.0178488,0.00519013,0.00397198,0.00643602,0.0112527,0,0.0125252,0.00721313,0.00849704,0.00393262,0,0,0.00582384,0.00742856,0.0126493,0.0145335,0.0136933,0.0108515,0.00688928,0.0170465,0.0137172,0.0222974,0.0247517,0.00804601,0.027347,0.0200719,0.0238371,0.022909,0,0.0126223,0
56,0.0181812,0.00700462,0.0103779,0.00226122,0.0130804,0,0.00889763,0.00777203,0.00683887,0.00866843,0.0132714,0.0144005,0,0,0.0225963,0.0236279,0.0174978,0.0107073,0.00871144,0.0129736,0.0145036,0.0175087,0.00542907,0.00396352,0.00645792,0.0114124,0,0.0125778,0.00737355,0.00845736,0.00398941,0,0,0.00575431,0.00729716,0.0121685,0.0148098,0.0134299,0.0107057,0.00650441,0.016534,0.0140173,0.0219048,0.0245308,0.00825437,0.0272905,0.0202753,0.0237922,0.0222179,0,0.012438,0
57,0.0182533,0.00783431,0.0101266,0.00261132,0.0124955,0,0.00911758,0.00794054,0.00655126,0.00789642,0.0132555,0.0145326,0,0,0.0218448,0.0232124,0.0172541,0.00979211,0.00932367,0.0128794,0.0144811,0.0170029,0.00589909,0.00390584,0.00644445,0.0115889,0,0.012615,0.00750137,0.00839635,0.00406182,0,0,0.00566655,0.00715321,0.0116247,0.0150173,0.0131104,0.0104991,0.00607246,0.0160161,0.0142454,0.0215413,0.0242853,0.00843275,0.0271715,0.0204003,0.023692,0.0214994,0,0.0122203,0
58,0.018245,0.00875099,0.00979377,0.00344437,0.0118478,0,0.00930525,0.00808814,0.0062244,0.00687744,0.0132454,0.0146403,0,0,0.0209489,0.0225683,0.0166953,0.00876695,0.00998177,0.0130642,0.0141656,0.0163442,0.00650067,0.00381271,0.00641004,0.0117901,0,0.0126368,0.00759459,0.00830892,0.00416498,0,0,0.00555848,0.00699554,0.011032,0.0151901,0.0127441,0.0102439,0.00560686,0.0155152,0.0143861,0.0212033,0.0239882,0.00859412,0.0270063,0.0204565,0.0235495,0.0208047,0,0.0119794,0
59,0.0181393,0.00972789,0.00942119,0.00459113,0.0111395,0,0.00945783,0.0082117,0.00593663,0.00567244,0.0132525,0.0147378,0,0,0.0200384,0.021751,0.0158482,0.00781014,0.010651,0.0136546,0.0134253,0.0155936,0.00712824,0.00370947,0.00636967,0.0120233,0,0.0126559,0.00765571,0.00818755,0.00431102,0,0,0.00542732,0.0068168,0.0104006,0.0153634,0.0123418,0.00995983,0.00512983,0.0150434,0.014446,0.0208803,0.02361,0.00875973,0.0268128,0.0204643,0.0233781,0.0201699,0,0.0117208,0
