Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
67,0.0232515,0.00436215,0.00744233,0.011319,0.011199,0,0.0101092,0.0082282,0.0103698,0.00547462,0.0120655,0.0107084,0,0,0.0152584,0.0234523,0.021877,0.00554694,0.0153526,0.0212195,0.0116054,0.0161988,0.0101522,0.0037476,0.00711691,0.0125319,0,0.0179288,0.00861566,0.00730928,0.00623956,0,0,0.00448911,0.0059418,0.00750467,0.0118048,0.00963276,0.0137359,0.00371287,0.0112824,0.0101398,0.0201464,0.022289,0.00624521,0.019104,0.0157098,0.0159812,0.0105055,0,0.0130748,0
68,0.0233482,0.00438065,0.00673962,0.0112719,0.0113341,0,0.0104096,0.00795482,0.0101976,0.00511329,0.0115924,0.00996196,0,0,0.0148837,0.0243595,0.0230143,0.00607592,0.0140389,0.0199865,0.0104708,0.0154297,0.0103615,0.00377444,0.00719502,0.012799,0,0.0176983,0.00841967,0.00728483,0.00588798,0,0,0.00457352,0.00606298,0.00645208,0.0112245,0.00922564,0.0141251,0.00370419,0.00970749,0.0107582,0.0195485,0.0221798,0.00744976,0.0171273,0.013996,0.0137498,0.00843638,0,0.0128145,0
69,0.0234067,0.004554,0.00599066,0.0112821,0.01133,0,0.0108109,0.00769883,0.010018,0.00492608,0.0110843,0.00909833,0,0,0.0148325,0.0252754,0.0240979,0.00670558,0.0130935,0.0192108,0.00954986,0.0148654,0.010572,0.00394132,0.00739675,0.0130519,0,0.0174643,0.00824574,0.00730389,0.00542805,0,0,0.00468316,0.00622844,0.00530817,0.0106721,0.00858304,0.014292,0.00375092,0.00830171,0.0114083,0.0188967,0.0217779,0.00877476,0.0148302,0.0119529,0.0111931,0.00650099,0,0.0122448,0
70,0.0234356,0.00480793,0.00532206,0.0113944,0.0111516,0,0.0112743,0.00747108,0.00984548,0.00485679,0.0105755,0.00817916,0,0,0.0149609,0.0260528,0.0249982,0.00729308,0.0124704,0.0188173,0.00887543,0.0144874,0.0107966,0.00422267,0.00770478,0.0133016,0,0.0172597,0.00810049,0.00736813,0.00495171,0,0,0.00480191,0.00641128,0.00420505,0.010194,0.00769677,0.014217,0.00385885,0.00740563,0.0120728,0.018255,0.0211307,0.0100099,0.0123755,0.0097601,0.00842143,0.00537994,0,0.0113899,0
71,0.0234564,0.00509214,0.00484866,0.0116066,0.0108033,0,0.0117511,0.00727468,0.00968571,0.00484377,0.0100872,0.00726666,0,0,0.0151257,0.0265515,0.0255704,0.00769293,0.0120778,0.0186713,0.00849524,0.0142577,0.0110352,0.00455949,0.00806309,0.0135339,0,0.017107,0.00797366,0.00746869,0.0045401,0,0,0.00491548,0.00658652,0.00336686,0.009824,0.00661359,0.0139066,0.00404097,0.00737294,0.0127084,0.0177116,0.020333,0.0110882,0.0100164,0.00782835,0.00563812,0.00583842,0,0.0103108,0
72,0.0234906,0.00539854,0.00461121,0.011886,0.0103245,0,0.0121905,0.00711431,0.00954056,0.00485456,0.00964234,0.00641718,0,0,0.0152352,0.0266883,0.0257239,0.00778897,0.0117958,0.0186286,0.00844043,0.014146,0.011279,0.00488004,0.00840262,0.0137149,0,0.017019,0.00785229,0.00758948,0.00425175,0,0,0.00501338,0.00673545,0.00303066,0.00955904,0.0054602,0.0134179,0.00430325,0.00819191,0.0132477,0.0173176,0.0194844,0.011986,0.00807788,0.00682267,0.00331698,0.0075494,0,0.00911647,0
73,0.0235466,0.00574463,0.0045614,0.0121921,0.00977516,0,0.0125522,0.00699443,0.00940908,0.00487899,0.00926833,0.00567562,0,0,0.0152596,0.0264761,0.0254748,0.00754682,0.0115224,0.0185857,0.00869552,0.0141333,0.0115184,0.00513383,0.00866941,0.0138007,0,0.0169972,0.00772834,0.00771488,0.00411237,0,0,0.00509169,0.00684955,0.00318129,0.00936327,0.00441775,0.01285,0.00458795,0.00946148,0.0136152,0.01704,0.0186468,0.0126776,0.00689581,0.00720329,0.00289037,0.00965659,0,0.00795832,0
74,0.0236168,0.0061365,0.00461736,0.0124938,0.00921821,0,0.0128138,0.00691357,0.00928902,0.00491397,0.00898971,0.0050707,0,0,0.0152234,0.0260263,0.0249496,0.00703451,0.0112151,0.0185053,0.00918893,0.0142065,0.0117486,0.00530325,0.00883817,0.013757,0,0.0170327,0.00760049,0.00783464,0.00411174,0,0,0.00515403,0.00693223,0.00351878,0.00918749,0.00362912,0.0122922,0.00476235,0.010765,0.0137537,0.0167738,0.01783,0.0131426,0.00660376,0.00856204,0.00456586,0.0116568,0,0.00698,0
75,0.0236797,0.00656932,0.00473096,0.0127699,0.00869446,0,0.0129858,0.00685509,0.00917315,0.00495796,0.00881053,0.00461172,0,0,0.0151941,0.0255067,0.0243293,0.00638649,0.0109058,0.0184293,0.00982685,0.0143596,0.0119667,0.00541447,0.00890819,0.0135655,0,0.0170972,0.00746704,0.00794509,0.00420416,0,0,0.00521134,0.00699791,0.00375794,0.00900139,0.00315049,0.0117812,0.00473136,0.0118395,0.0136798,0.016427,0.0170299,0.0134297,0.00695326,0.0101676,0.00660783,0.0133377,0,0.00623179,0
76,0.0237153,0.00696434,0.00488247,0.0130309,0.00825554,0,0.0130419,0.00681843,0.00907377,0.00500661,0.00872758,0.00429564,0,0,0.0152188,0.0250807,0.0238039,0.00576371,0.0106529,0.0183847,0.0104772,0.0145681,0.0121856,0.00544909,0.0088973,0.0132855,0,0.0171848,0.0073446,0.00803982,0.00434333,0,0,0.00526982,0.00706167,0.00384394,0.00875543,0.00282722,0.0112937,0.00447909,0.0125717,0.0133836,0.0159326,0.0162228,0.0135188,0.00751749,0.0116246,0.00843982,0.0146078,0,0.00569585,0
