Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
353,0.0178551,0.00431696,0.00451141,0.00100079,0.00569729,0,0.0147912,0.011589,0.00203819,0.00221774,0.0033743,0.009817,0,0,0.00311082,0.00568901,0.00516707,0.00430884,0.00464075,0.00497064,0.00591073,0.00481143,0.00204709,0.00431987,0.00349916,0.00419564,0,0.0188091,0.0124757,0.00955758,0.0138937,0,0,0.00447908,0.00387687,0.00992891,0.00510971,0.00308616,0.00378857,0.00996372,0.00779949,0.00423456,0.00343295,0.00287035,0.00572863,0.00861159,0.00564733,0.00782746,0.00702842,0.00825823,0.00380891,0
354,0.0183653,0.00424019,0.00430701,0.00100098,0.00618346,0,0.0149806,0.011788,0.00200573,0.0022215,0.00332137,0.0102053,0,0,0.00296626,0.00613951,0.00562014,0.00438053,0.00451212,0.00476504,0.00578726,0.00464594,0.00191314,0.00457952,0.00366006,0.00449522,0,0.0189522,0.0125193,0.00979051,0.0140866,0,0,0.00454767,0.00399683,0.0101747,0.00473522,0.00318041,0.00400787,0.0100721,0.0077876,0.00383265,0.00388493,0.00303614,0.00537089,0.00875738,0.00578646,0.00791145,0.0073725,0.00849236,0.00396246,0
355,0.0187631,0.00423544,0.00419158,0.00112444,0.00666052,0,0.0151475,0.0118481,0.00214543,0.00226153,0.00333834,0.0104957,0,0,0.00276759,0.00653777,0.00598499,0.00453651,0.00431852,0.00444722,0.0055665,0.00453354,0.00183274,0.00477876,0.00376041,0.00477843,0,0.0191145,0.0125944,0.010044,0.0140407,0,0,0.00452275,0.00394264,0.0103666,0.00436037,0.00330822,0.00420008,0.0102327,0.00793319,0.00346909,0.00437812,0.00349117,0.00504664,0.00898827,0.00581381,0.00808603,0.00772987,0.00874826,0.00415525,0
356,0.0191357,0.00425411,0.00414243,0.00134072,0.00715113,0,0.015258,0.0118852,0.0024362,0.00233884,0.00335856,0.0108177,0,0,0.0025055,0.00689388,0.00635231,0.00476283,0.00414452,0.00416268,0.00542563,0.00439435,0.00179401,0.00505146,0.00390415,0.00508351,0,0.0193255,0.0127311,0.010215,0.014155,0,0,0.00457694,0.00395251,0.0105584,0.00405211,0.00346064,0.00437409,0.0104071,0.00826223,0.00322539,0.00480248,0.00403652,0.00487908,0.0093807,0.00578738,0.00825239,0.0078986,0.00904807,0.00435291,0
357,0.0195963,0.00439815,0.00407369,0.00149234,0.00764987,0,0.0153621,0.0119737,0.00258271,0.0023518,0.00329306,0.0112528,0,0,0.0023226,0.0073117,0.00676583,0.00499201,0.00410847,0.00406263,0.00532587,0.00427923,0.00178917,0.00543497,0.00414221,0.00546208,0,0.0195592,0.0128511,0.0103847,0.0144432,0,0,0.00465412,0.00406577,0.010787,0.00380283,0.00359615,0.00456496,0.010546,0.0085915,0.00305874,0.0051929,0.00462119,0.00482613,0.00981536,0.00575084,0.00843046,0.00803115,0.00936581,0.00454589,0
358,0.0200893,0.00469592,0.00398948,0.00153371,0.00815338,0,0.0154177,0.0120866,0.00251721,0.00232627,0.00325548,0.0116041,0,0,0.00226348,0.0077777,0.00722709,0.00518408,0.00418922,0.00408938,0.00516353,0.00434453,0.00184561,0.00569107,0.00429792,0.00593523,0,0.0197934,0.0129301,0.0105466,0.0147756,0,0,0.00479014,0.00418745,0.0110582,0.00358742,0.00372053,0.00478313,0.0106394,0.00874406,0.00293803,0.00558556,0.00537196,0.00472337,0.0100828,0.00583949,0.00889416,0.00823808,0.00956359,0.00475595,0
359,0.0204858,0.00497645,0.00396318,0.00158109,0.00865868,0,0.0154105,0.0122224,0.00246645,0.00242322,0.00337748,0.0118198,0,0,0.00226064,0.00824369,0.0077129,0.00531262,0.00425077,0.00408779,0.00507106,0.00451705,0.00194471,0.00570867,0.00426161,0.00645535,0,0.0200162,0.0130582,0.0105853,0.0151837,0,0,0.00510962,0.00433921,0.0113542,0.00343707,0.00385858,0.00500786,0.01071,0.00875001,0.00291537,0.005991,0.00618466,0.00450656,0.0102399,0.00593325,0.00969787,0.00839398,0.00962856,0.00499079,0
360,0.0208412,0.00523992,0.00395138,0.00168557,0.00915492,0,0.0154818,0.0123617,0.00251643,0.0025122,0.0035005,0.0120232,0,0,0.00230407,0.00872449,0.00818166,0.00540918,0.00426821,0.00401924,0.00513776,0.00456297,0.00202674,0.00577304,0.00425606,0.00699844,0,0.0202011,0.0132407,0.0105959,0.0155406,0,0,0.00541757,0.00448638,0.0116362,0.00333592,0.00398152,0.00520882,0.0107595,0.00877905,0.0029354,0.00646227,0.006724,0.00426787,0.0105189,0.00574172,0.010237,0.00841897,0.00967243,0.00520913,0
361,0.0212734,0.00558336,0.00395285,0.00179171,0.00964979,0,0.0156568,0.0124493,0.00257844,0.00256924,0.00346888,0.0121352,0,0,0.0023779,0.0092148,0.00862175,0.00553938,0.00434882,0.00393136,0.00525185,0.00450932,0.00210654,0.00601476,0.0044117,0.00759924,0,0.020393,0.0132953,0.0107134,0.0156859,0,0,0.00548926,0.0045412,0.0119393,0.0032022,0.00410072,0.00535746,0.0107632,0.00889293,0.00284602,0.00698796,0.00688655,0.00404276,0.0107712,0.00552963,0.0102175,0.00833965,0.00974186,0.00530068,0
362,0.0217376,0.00587925,0.00403021,0.00187515,0.0101322,0,0.0158006,0.0125121,0.00260251,0.00263556,0.00344333,0.0121512,0,0,0.00243326,0.0096336,0.00904096,0.00567108,0.00447024,0.00392029,0.00533645,0.00453586,0.00219269,0.00620024,0.00453056,0.00820721,0,0.020658,0.0132159,0.0108673,0.0158078,0,0,0.00551645,0.00456521,0.0123043,0.00308622,0.00428572,0.00545935,0.0107285,0.00901285,0.00269043,0.00751118,0.00698974,0.00382087,0.0105578,0.00568562,0.00999971,0.00820666,0.00973077,0.00522969,0
