Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0178056,0.00707487,0.00790009,0.0078506,0.0118731,0,0.00775084,0.00613064,0.0079494,0.00579469,0.00877358,0.00548479,0,0,0.0162589,0.019555,0.0173963,0.00926438,0.0156622,0.0189302,0.0143357,0.0142861,0.00888011,0.00441557,0.00743595,0.0110955,0,0.0144133,0.00637017,0.00874066,0.00669658,0,0,0.00753449,0.0104955,0.00717624,0.00747281,0.0085839,0.00786836,0.00526764,0.0163266,0.0115959,0.0226647,0.0227005,0.00913813,0.0175214,0.0111874,0.0149396,0.0181872,0.0233779,0.0091748,0
0,0.0155188,0.00903089,0.0140871,0.0100131,0.0103618,0,0.0103289,0.0100125,0.00954411,0.00440566,0.0075826,0.00367232,0,0,0.0177387,0.022495,0.0205421,0.00327264,0.0245647,0.0258636,0.018437,0.0182697,0.0115217,0.00214207,0.00464201,0.0101177,0,0.0162867,0.010498,0.00870837,0.00974551,0,0,0.00740984,0.0103191,0.00569669,0.00868506,0.00460935,0.00728206,0.00577715,0.0229947,0.00619118,0.0262875,0.0209381,0.00895717,0.0127755,0.00791501,0.0141878,0.0168792,0.0202768,0.00739216,0
1,0.0158108,0.00934849,0.013136,0.00981516,0.0116488,0,0.00886065,0.00931837,0.0097691,0.00444095,0.00727339,0.00305696,0,0,0.0172445,0.0220043,0.0206514,0.00369181,0.0241232,0.0255787,0.0184177,0.0182967,0.0116395,0.00229025,0.00439394,0.010368,0,0.016881,0.010106,0.00881826,0.0102649,0,0,0.00712311,0.0101545,0.00371821,0.00786666,0.00601202,0.00758844,0.00528718,0.021888,0.00735478,0.0255411,0.0214666,0.00752168,0.0139696,0.00839502,0.0132143,0.0167527,0.0181101,0.00842347,0
2,0.0159003,0.00924904,0.012829,0.00965711,0.0124707,0,0.00853817,0.00901502,0.0102275,0.00484631,0.00704843,0.00284974,0,0,0.0167068,0.0218244,0.0210441,0.00428738,0.023769,0.02532,0.0181243,0.0181715,0.0118514,0.00238884,0.00424039,0.0100691,0,0.0171732,0.00990105,0.00889626,0.0105712,0,0,0.00703797,0.0100532,0.00321637,0.00783514,0.00726316,0.00787266,0.00531883,0.0206368,0.00897082,0.0249364,0.0221537,0.00667373,0.0142175,0.00804796,0.0119409,0.0159012,0.0156396,0.00911422,0
3,0.0159045,0.00903363,0.0125486,0.00960462,0.0130503,0,0.00869086,0.00877896,0.0108437,0.00525925,0.00680196,0.00296169,0,0,0.0160562,0.021761,0.0214703,0.00508497,0.0232855,0.0249174,0.0176362,0.0179187,0.0121436,0.00241021,0.00413527,0.00959771,0,0.0172846,0.00968493,0.008942,0.0107079,0,0,0.00702645,0.01003,0.00330071,0.00789316,0.00824544,0.00820217,0.00551031,0.0193263,0.0105955,0.0246082,0.0231372,0.00657604,0.0142925,0.00734729,0.0106252,0.0151822,0.0132918,0.00959301,0
4,0.0159248,0.00882531,0.0121173,0.00966095,0.01346,0,0.0089552,0.00849789,0.0115526,0.00550217,0.0064774,0.00322526,0,0,0.0152227,0.021701,0.0217807,0.00591939,0.0225638,0.0242647,0.016924,0.0174647,0.0124807,0.00235972,0.00404435,0.0092059,0,0.0172928,0.00939072,0.0089504,0.0106828,0,0,0.00707737,0.0100776,0.0035216,0.00784072,0.00897314,0.00855827,0.00562063,0.0179706,0.0120284,0.0245332,0.0243784,0.00709371,0.014594,0.00647482,0.00938874,0.0150787,0.011351,0.00992267,0
5,0.0160037,0.00861711,0.0114839,0.00976528,0.0137255,0,0.00915919,0.0081406,0.0122618,0.00552644,0.00608678,0.00353311,0,0,0.0141349,0.0215037,0.0218379,0.00662853,0.0215284,0.0232726,0.0159296,0.016712,0.0127838,0.00229013,0.00395831,0.00898987,0,0.0172306,0.00900648,0.00891632,0.0104871,0,0,0.00719949,0.0101965,0.00365749,0.00759757,0.00946106,0.0088692,0.0055505,0.0165989,0.0132222,0.0246209,0.0257296,0.00798313,0.0152716,0.00564608,0.00832462,0.015684,0.00998891,0.0101235,0
6,0.0161497,0.00834824,0.0106599,0.00979326,0.013893,0,0.00923429,0.00770547,0.0128506,0.0053876,0.00567896,0.00382969,0,0,0.0127495,0.0210019,0.0215157,0.00709824,0.0201327,0.0218837,0.0146086,0.0155883,0.012925,0.00226858,0.00389029,0.00897524,0,0.0171102,0.00854089,0.00884165,0.0101104,0,0,0.00740361,0.0103894,0.00363954,0.00713734,0.00972085,0.00905225,0.00529522,0.015275,0.0141821,0.0247897,0.0270108,0.0090024,0.016315,0.00518324,0.00762381,0.016825,0.00933496,0.0101961,0
7,0.0164541,0.00790913,0.00969779,0.00954822,0.0140068,0,0.00912285,0.00715694,0.0131625,0.00520539,0.00531259,0.00397672,0,0,0.011124,0.0200626,0.0207205,0.00726038,0.0183965,0.0201347,0.0129568,0.0140888,0.0127446,0.00234922,0.00387605,0.00932174,0,0.0169124,0.00796658,0.00874338,0.00953326,0,0,0.00770946,0.0106694,0.00319084,0.00644688,0.00986052,0.00911786,0.00490816,0.014042,0.0148306,0.0247084,0.0279317,0.00988167,0.0176644,0.00523665,0,0.0183745,0.0604451,0.0102197,0
8,0.0165926,0.00739438,0.00880303,0.00886941,0.0141334,0,0.00898197,0.0066783,0.0131044,0.00512687,0.00502335,0.0043155,0,0,0.00942239,0.0187689,0.019558,0.00723539,0.0162857,0.0180963,0.0109592,0.0122863,0.0121122,0.00250567,0.00389725,0.00935716,0,0.0167285,0.00746134,0.00864175,0.00882305,0,0,0.00805913,0.0109757,0.00348091,0.00572399,0.00972777,0.00891377,0.00440551,0.0130746,0.0155204,0.0251061,0.0288419,0.0108001,0.0189276,0.00592089,0,0.0195677,0,0.0100784,0
