Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0158988,0.00546442,0.00840445,0.00191532,0.0126192,0,0.00825708,0.00572371,0.00558235,0.0044621,0.00812444,0.00721302,0,0,0.0206018,0.0121384,0.00987521,0.0226872,0.0146231,0.0196321,0.0255058,0.0344,0.0218709,0.0177556,0.00294426,0.00328353,0.00598427,0.0103914,0,0.0147955,0.00670309,0.00838508,0.0105783,0,0,0.00617159,0.00833296,0.00597002,0.00669406,0.00320994,0.00610042,0.00661703,0.0271898,0.0185376,0.0160396,0.0136697,0.0226204,0.0146763,0.0198869,0.0198264,0.0280143,0.0235537,0.0193201,0.0139291,0.00325768
0,0.0159765,0.00541123,0.00843143,0.00179511,0.0126254,0,0.00836251,0.00550847,0.00546809,0.00443513,0.0080682,0.00722555,0,0,0.0208834,0.0121683,0.00992341,0.0228286,0.014443,0.0196091,0.0256606,0.0346736,0.0216461,0.0174712,0.00284328,0.00326554,0.0059667,0.0105117,0,0.0148034,0.00673585,0.00824356,0.0105865,0,0,0.00634527,0.00863142,0.0058664,0.00678701,0.00317329,0.00617885,0.00671509,0.0274243,0.0185417,0.0164748,0.0137781,0.0227295,0.0151138,0.0198111,0.0192902,0.0278856,0.0231901,0.0193857,0.0139492,0.00324749
1,0.0159919,0.00537077,0.00842973,0.00185575,0.0126641,0,0.00836391,0.00556943,0.00554773,0.00442721,0.00806313,0.00725334,0,0,0.0208871,0.0121674,0.00992296,0.0228282,0.0144216,0.0196033,0.0256517,0.0347342,0.0216982,0.0174896,0.00285175,0.00329113,0.00612659,0.0105113,0,0.0148007,0.00673141,0.00823322,0.0106218,0,0,0.00623547,0.00856855,0.00585266,0.00679006,0.00316509,0.00617321,0.0066935,0.0273035,0.0185396,0.0164643,0.0137633,0.0227329,0.0149411,0.0197841,0.0193844,0.0280722,0.0231651,0.0193337,0.0139594,0.00321189
2,0.0159835,0.0053341,0.00842304,0.00185545,0.0126564,0,0.00835039,0.00560503,0.00557053,0.00442724,0.00806536,0.00723194,0,0,0.0208929,0.0121701,0.00992293,0.0228381,0.0144246,0.0196035,0.0256461,0.0347222,0.0217288,0.0175045,0.00284373,0.00328733,0.00616947,0.0105138,0,0.0148073,0.00672975,0.00825022,0.0106487,0,0,0.00631973,0.00856258,0.00585824,0.0067962,0.003129,0.00616308,0.00668357,0.0273774,0.0185411,0.0164652,0.0137597,0.0227131,0.0148591,0.0197817,0.0193586,0.0280725,0.0231596,0.0193267,0.0139548,0.00320406
3,0.0159978,0.00530796,0.00842654,0.00184305,0.012641,0,0.00834143,0.00561983,0.00555594,0.00444709,0.00810623,0.00723499,0,0,0.0208965,0.0121759,0.0099334,0.0228384,0.0144333,0.0195995,0.0256345,0.0346934,0.0217558,0.017518,0.00284443,0.00331885,0.00604202,0.0105033,0,0.014773,0.0067384,0.00824657,0.0106413,0,0,0.00638787,0.00866332,0.00590043,0.00679815,0.00316834,0.00615095,0.00671445,0.0274852,0.0185367,0.0164956,0.0137448,0.0226408,0.0148261,0.019771,0.0192911,0.0279661,0.023161,0.019359,0.0139326,0.00323314
4,0.0160046,0.00531186,0.00843131,0.00183277,0.0126581,0,0.00832213,0.00562444,0.00555967,0.00444549,0.00806951,0.00725994,0,0,0.0208998,0.0121699,0.00994308,0.0228344,0.0144501,0.0195858,0.0256036,0.0346923,0.0217436,0.0175165,0.00283179,0.00328351,0.00600117,0.0105082,0,0.0147808,0.00674354,0.00826356,0.0106565,0,0,0.00639279,0.00866927,0.00589178,0.00680837,0.00319896,0.00613409,0.00671467,0.027478,0.0185484,0.0165033,0.0137649,0.0226325,0.0148929,0.0197897,0.0192983,0.0279263,0.0231555,0.0193565,0.0139107,0.00327811
5,0.0159975,0.00532425,0.00843878,0.0018152,0.0126712,0,0.00830708,0.00563177,0.00554399,0.00445373,0.00803438,0.00727172,0,0,0.0208812,0.012162,0.00991096,0.0228241,0.0144441,0.0195666,0.0255933,0.0347029,0.0217249,0.0175042,0.00284438,0.00327057,0.00599201,0.0105129,0,0.0147812,0.00674362,0.00826229,0.0106656,0,0,0.00637901,0.00863457,0.00587847,0.00682276,0.00320503,0.00613036,0.00671034,0.0273896,0.0185757,0.0165176,0.0137653,0.0227202,0.0149961,0.0198159,0.0193307,0.0279133,0.0231663,0.0193172,0.0139145,0.00329445
6,0.0159899,0.00532354,0.00844961,0.00180882,0.0126591,0,0.00830012,0.00563178,0.00551276,0.00446243,0.00802106,0.00726069,0,0,0.0208502,0.0121584,0.00984767,0.0228185,0.014416,0.0195457,0.0255929,0.0346887,0.0217396,0.0174995,0.0028729,0.00328165,0.00600039,0.0105225,0,0.0147707,0.0067381,0.00825101,0.0106628,0,0,0.00636126,0.00861788,0.00586467,0.0068287,0.00319994,0.0061534,0.00670762,0.0273697,0.0186068,0.0165186,0.0137554,0.022788,0.0149913,0.0198353,0.0193501,0.0278601,0.0232057,0.0192957,0.0139574,0.00327449
7,0.0160084,0.00531708,0.0084688,0.00182634,0.0126523,0,0.00829826,0.0056171,0.00549814,0.00445906,0.00801895,0.00725572,0,0,0.020844,0.012158,0.0098237,0.0228215,0.0144044,0.0195326,0.0255838,0.0346735,0.0217738,0.0175026,0.00288663,0.00330297,0.00601456,0.0105324,0,0.0147658,0.00673057,0.00826934,0.0106701,0,0,0.00632677,0.00858814,0.0058544,0.00682077,0.00320859,0.00615697,0.00671255,0.0274153,0.0186177,0.0164986,0.0137674,0.0227633,0.014866,0.0198566,0.0193651,0.0278707,0.0232248,0.0193085,0.014017,0.00325228
8,0.0160314,0.00532561,0.00849105,0.00183843,0.012661,0,0.00830913,0.00560537,0.00548203,0.00445075,0.0080227,0.00725764,0,0,0.0208678,0.012154,0.00983951,0.0228209,0.014428,0.0195393,0.0255648,0.0346727,0.021772,0.0174875,0.00286745,0.00330852,0.00601458,0.0105291,0,0.0147728,0.00672365,0.00829237,0.0106891,0,0,0.00628232,0.00853208,0.00586301,0.00681955,0.00320067,0.00613054,0.00672166,0.0274452,0.0186213,0.0164921,0.0137852,0.0227543,0.0148182,0.0198678,0.0193644,0.0279852,0.0231987,0.0193037,0.0140496,0.00323973
9,0.0160348,0.00533426,0.00850538,0.00181502,0.0126736,0,0.00832402,0.00561585,0.00546481,0.00445853,0.0080666,0.00726446,0,0,0.020882,0.0121562,0.00981122,0.0227979,0.0144445,0.0195616,0.0255529,0.0346792,0.0217416,0.0174815,0.00283723,0.00328335,0.00599404,0.0105091,0,0.0147799,0.00671808,0.00826515,0.0106932,0,0,0.00623869,0.00846345,0.00588684,0.00682125,0.00316634,0.00614157,0.00672337,0.0274597,0.0186279,0.0165003,0.0137817,0.0227989,0.0149037,0.0198498,0.0193506,0.0280531,0.0231765,0.0192716,0.0140177,0.00323193
10,0.016037,0.00533381,0.00850732,0.00177858,0.0126786,0,0.00832271,0.00561758,0.00547873,0.00446575,0.00813793,0.00727805,0,0,0.0208705,0.0121627,0.00976263,0.0227656,0.0144193,0.0195689,0.0255513,0.0346857,0.0217332,0.0175181,0.00283641,0.00325594,0.00599213,0.0104992,0,0.0147757,0.00671119,0.00821627,0.0106875,0,0,0.00620426,0.00839586,0.00589239,0.0068108,0.00315142,0.00619595,0.00671504,0.027486,0.0186298,0.0164783,0.0137715,0.0228058,0.014974,0.019829,0.0193552,0.0280122,0.0231883,0.0192426,0.0139479,0.00323993
11,0.0160465,0.00533374,0.00851333,0.00177769,0.0126789,0,0.00831091,0.00558232,0.0055094,0.00445459,0.00814756,0.00728369,0,0,0.0208698,0.0121622,0.00978753,0.0227646,0.0144,0.0195612,0.0255695,0.0347025,0.0217792,0.0175466,0.00286213,0.00326771,0.00602239,0.0105061,0,0.0147621,0.00670033,0.00822287,0.0106912,0,0,0.00618829,0.00835348,0.00587937,0.00680653,0.00317288,0.00620141,0.00670058,0.0274798,0.0186275,0.0164396,0.0137734,0.0227747,0.0149774,0.0198285,0.0193754,0.0279682,0.0231969,0.0192301,0.013905,0.00325993
12,0.0160419,0.00534326,0.00852514,0.00181472,0.0126749,0,0.00830845,0.00556592,0.0055195,0.00444547,0.00809077,0.0072722,0,0,0.020881,0.0121606,0.00985758,0.0227825,0.0144174,0.0195531,0.0255923,0.0347092,0.0218377,0.0175283,0.00286968,0.0032989,0.00604903,0.0105199,0,0.0147523,0.00668992,0.00825992,0.0107066,0,0,0.00619531,0.00834444,0.00587623,0.00682434,0.00318581,0.00614645,0.00668773,0.0274141,0.0186311,0.016423,0.0137871,0.0227687,0.0149629,0.0198507,0.0194057,0.0279834,0.0232112,0.0192593,0.0139284,0.0032691
13,0.0160213,0.00534914,0.00852576,0.00183384,0.0126615,0,0.00831868,0.00559991,0.00553564,0.00445994,0.00807353,0.00726055,0,0,0.0208645,0.0121719,0.00987349,0.0227765,0.0144202,0.0195396,0.0255803,0.0346831,0.0218419,0.0175355,0.00284402,0.00331335,0.0060609,0.0105361,0,0.0147564,0.00668251,0.0082654,0.0107302,0,0,0.00619707,0.00834292,0.00588014,0.00684944,0.0031772,0.00611985,0.0066808,0.0273576,0.0186359,0.0163954,0.0138013,0.022743,0.0149307,0.0198842,0.019452,0.0280039,0.0232533,0.0193228,0.0139781,0.00325815
14,0.016007,0.0053298,0.00851963,0.00182279,0.0126529,0,0.00833896,0.00561261,0.00557097,0.00448388,0.00812217,0.00725236,0,0,0.0208429,0.0121949,0.00983735,0.022779,0.0144038,0.019557,0.0255331,0.0346644,0.0218215,0.0176074,0.00282214,0.00330441,0.00605615,0.0105352,0,0.0147743,0.00667243,0.00825507,0.0107604,0,0,0.00618383,0.00832837,0.0058865,0.00686219,0.00318331,0.00613926,0.00667572,0.0273529,0.018627,0.0163311,0.0138054,0.0226677,0.0148992,0.0198969,0.0194866,0.0279902,0.0232675,0.0193509,0.0139855,0.00324826
15,0.0160079,0.00530917,0.00852002,0.00183017,0.0126558,0,0.00837276,0.0055792,0.00557166,0.00448474,0.00814106,0.00723895,0,0,0.020857,0.0122069,0.00981167,0.0228157,0.0144199,0.0196282,0.025492,0.0346822,0.0218511,0.0176549,0.00283756,0.00327866,0.00601609,0.0105235,0,0.0147934,0.00666109,0.00826356,0.0107842,0,0,0.00617126,0.00831489,0.00588934,0.00685385,0.00321668,0.00615412,0.00667504,0.0273644,0.0186186,0.016287,0.0138138,0.0226626,0.0149044,0.0198939,0.0194986,0.0279823,0.0232498,0.0193247,0.0139682,0.00325871
16,0.0160192,0.00531093,0.00853579,0.00185779,0.0126571,0,0.00840381,0.00556034,0.00553349,0.00447934,0.00810876,0.00723545,0,0,0.0208626,0.0122048,0.00977569,0.0228126,0.0144371,0.0196511,0.0254988,0.0346999,0.0219012,0.0176217,0.00286219,0.00325582,0.00597717,0.0105156,0,0.0147972,0.00666703,0.00826569,0.0107882,0,0,0.00616952,0.00831215,0.00588041,0.00682796,0.00323175,0.00615487,0.00669029,0.0273782,0.0186304,0.0163166,0.0138226,0.0227589,0.0149196,0.0198962,0.0194911,0.0279937,0.0232487,0.0192931,0.0139477,0.00327507
17,0.0160282,0.00532133,0.00855139,0.00185519,0.0126532,0,0.00841718,0.0055647,0.00551768,0.0044916,0.00809112,0.00725194,0,0,0.0208055,0.0122012,0.00970537,0.0227601,0.0144288,0.0195756,0.0255337,0.0346807,0.0218962,0.017568,0.00286234,0.00325772,0.00599202,0.0105084,0,0.0147935,0.00669618,0.00824113,0.0107794,0,0,0.00616429,0.00830029,0.00587718,0.00680572,0.00320864,0.00617593,0.00670736,0.0274121,0.0186508,0.0163708,0.0138192,0.0227978,0.0149337,0.0199024,0.0194758,0.0280264,0.0232598,0.0192963,0.0139173,0.00327696
18,0.0160224,0.00532597,0.00854944,0.00182261,0.0126526,0,0.00842552,0.00556861,0.00553668,0.00450794,0.00807737,0.00727381,0,0,0.0207478,0.0121949,0.0096724,0.0227403,0.0144361,0.0195289,0.0255429,0.0346489,0.0218646,0.0175582,0.00285696,0.00327718,0.00602064,0.0105022,0,0.0148024,0.00671947,0.00821865,0.0107689,0,0,0.00614682,0.0082741,0.00589223,0.00680777,0.00317416,0.00620483,0.00669443,0.0274373,0.0186571,0.0163941,0.0138076,0.022721,0.0149585,0.0198867,0.0194593,0.0280444,0.0232463,0.0193234,0.0139053,0.00326249
19,0.0160097,0.00532559,0.00854754,0.00181404,0.0126582,0,0.00842846,0.00558638,0.00554545,0.00451224,0.0080562,0.00728195,0,0,0.0207774,0.0121871,0.00972037,0.022768,0.0144596,0.0195855,0.025523,0.0346623,0.0218824,0.0176151,0.00287284,0.00328095,0.00600305,0.0105025,0,0.0148127,0.00670993,0.00822774,0.0107502,0,0,0.0061404,0.00826567,0.00590281,0.00682399,0.00315158,0.00619677,0.00666365,0.0274283,0.0186467,0.0163958,0.013799,0.0226537,0.0149379,0.0198544,0.0194529,0.0279855,0.0232206,0.0193598,0.0139168,0.00325739
20,0.0160125,0.0053277,0.00854745,0.0018402,0.0126623,0,0.00840011,0.00560755,0.0055249,0.00450207,0.00806503,0.00728174,0,0,0.020832,0.0121839,0.00978077,0.0227859,0.0144546,0.0196323,0.0254949,0.0347293,0.0219288,0.0177048,0.00288275,0.00326889,0.00597165,0.0105133,0,0.0148034,0.00668759,0.00824441,0.0107288,0,0,0.0061544,0.0082945,0.00589082,0.00683213,0.00315374,0.0061565,0.00666625,0.0274036,0.0186379,0.0163945,0.0137939,0.0226709,0.0148503,0.0198475,0.0194559,0.0278975,0.0232128,0.0193914,0.0139337,0.00325893
21,0.016031,0.00532677,0.00853563,0.00184906,0.0126626,0,0.00835994,0.00558868,0.00551284,0.00448312,0.00809111,0.00728332,0,0,0.0208016,0.0121871,0.00976701,0.0227737,0.0144167,0.0195978,0.0254684,0.0347904,0.0219539,0.0177563,0.00286168,0.00326527,0.00597156,0.0105228,0,0.0147884,0.00668014,0.0082473,0.0107116,0,0,0.00615811,0.00829663,0.00587999,0.0068359,0.00317172,0.00613885,0.00669471,0.0273755,0.0186323,0.0163997,0.0137907,0.0226924,0.0147659,0.0198755,0.0194523,0.0278973,0.0232228,0.0194076,0.0139626,0.00326063
22,0.0160612,0.00533448,0.00852329,0.0018241,0.0126557,0,0.00837002,0.00554632,0.00552278,0.00445677,0.00811734,0.00729002,0,0,0.0207596,0.0121832,0.00968921,0.0227828,0.0144211,0.0196024,0.0254768,0.0348192,0.0219909,0.0177734,0.00282104,0.00330329,0.00595788,0.0105219,0,0.0147712,0.0066891,0.00824777,0.010678,0,0,0.00608934,0.00827272,0.00588201,0.00684989,0.00318263,0.00618263,0.00672542,0.0273466,0.0186263,0.01641,0.013779,0.0226218,0.0147208,0.0198822,0.0194439,0.0279509,0.0232411,0.0194498,0.0139813,0.00326663
23,0.0160737,0.0053447,0.00852339,0.00179902,0.0126457,0,0.00839116,0.00552458,0.00553878,0.00444448,0.00815492,0.00730288,0,0,0.0208224,0.0121925,0.00962768,0.0227851,0.0144544,0.0196498,0.0255037,0.034814,0.0220144,0.0177682,0.00281992,0.00334329,0.00596753,0.0105266,0,0.0147636,0.00669098,0.00824837,0.010628,0,0,0.00605944,0.00825289,0.00589429,0.00686828,0.00316753,0.00624866,0.0067297,0.0273459,0.0186245,0.0164012,0.0137691,0.0225388,0.0147048,0.0198536,0.0194363,0.027937,0.0232491,0.0194954,0.0139464,0.00326348
24,0.0160133,0.0053422,0.00849648,0.0017962,0.0126092,0,0.00834337,0.0055547,0.00551287,0.00448431,0.00816902,0.00734526,0,0,0.0208906,0.0122048,0.00968651,0.0227097,0.0144039,0.0196121,0.0254776,0.03478,0.0219692,0.0176991,0.0028771,0.00331536,0.00609386,0.0105258,0,0.0148034,0.00670252,0.00826161,0.0106291,0,0,0.00612624,0.00824773,0.00589244,0.00686939,0.00315932,0.00624393,0.00673863,0.0273645,0.0185942,0.016381,0.013788,0.0225764,0.0147198,0.0198584,0.0194482,0.0279132,0.0232421,0.0194855,0.0139001,0.00326924
25,0.0159997,0.00534931,0.00847827,0.00181161,0.0126158,0,0.00830188,0.00556988,0.00552041,0.00449701,0.00814641,0.00735926,0,0,0.0209185,0.0121965,0.00976384,0.0226986,0.0143742,0.019599,0.0254748,0.0348205,0.0219363,0.0176699,0.0028875,0.00334429,0.00611084,0.0105285,0,0.0147645,0.00669025,0.00824612,0.0106396,0,0,0.00615964,0.0083188,0.00590121,0.00689054,0.00317865,0.00623778,0.00675082,0.0273208,0.0185953,0.016343,0.0137954,0.0226533,0.0147453,0.019873,0.019447,0.0279499,0.0232082,0.0194836,0.0139338,0.00326534
26,0.0160055,0.00534919,0.00846925,0.00179998,0.0126271,0,0.00830462,0.00556207,0.00553643,0.00450804,0.00812068,0.00735114,0,0,0.0208626,0.0122034,0.0097975,0.0226895,0.0143616,0.0195802,0.025504,0.0348584,0.0219234,0.0176577,0.00288467,0.00333424,0.00608896,0.0105344,0,0.0147446,0.00665142,0.00825738,0.0106528,0,0,0.00617392,0.00834439,0.0059051,0.00689774,0.00322937,0.00622018,0.00673979,0.0272715,0.018589,0.016325,0.0137983,0.0226773,0.0147945,0.0198761,0.0194345,0.0280386,0.0231875,0.0195057,0.0140239,0.00328129
27,0.0160208,0.0053494,0.00847032,0.00178111,0.012614,0,0.00833726,0.00556043,0.00555548,0.00451189,0.00813989,0.00734688,0,0,0.0208273,0.0122198,0.00977535,0.0226809,0.0143931,0.0195614,0.025582,0.0348661,0.0219261,0.0176658,0.00286864,0.00332118,0.00607597,0.0105499,0,0.0147742,0.00662403,0.00828033,0.010648,0,0,0.00618693,0.00836476,0.00589985,0.00690299,0.00323855,0.00620693,0.00673084,0.0272432,0.018575,0.0163343,0.0137803,0.0226507,0.0147655,0.0198413,0.0194349,0.0280316,0.0231732,0.0195257,0.0140699,0.00328301
28,0.0160359,0.00535705,0.00847286,0.00178058,0.0125927,0,0.00835124,0.00558646,0.0055797,0.00450862,0.00817231,0.00733812,0,0,0.020836,0.0122173,0.00975872,0.0226818,0.0144269,0.0195565,0.0256271,0.0348638,0.0219417,0.0176815,0.00285281,0.00333395,0.00609854,0.0105643,0,0.0148116,0.00664501,0.00830683,0.0106448,0,0,0.00618398,0.00835673,0.0058903,0.00691022,0.00318944,0.00620691,0.0067321,0.0272547,0.0185725,0.0163708,0.0137492,0.0226528,0.0146369,0.0198054,0.0194643,0.0279122,0.0231518,0.0195165,0.0140432,0.00325873
29,0.0160676,0.0053583,0.00848575,0.00181245,0.0125923,0,0.00834432,0.00562014,0.00560287,0.00450703,0.00818483,0.00731752,0,0,0.0208485,0.0122062,0.00976345,0.0226883,0.0144458,0.0195843,0.0255788,0.0348689,0.0219635,0.0176987,0.00285901,0.00338101,0.00608447,0.0105525,0,0.0147978,0.00669322,0.00832008,0.0106329,0,0,0.00609904,0.00833952,0.00589312,0.00688963,0.00312566,0.00621447,0.00673364,0.0272967,0.0185748,0.0164039,0.0137536,0.0226794,0.0145863,0.0198133,0.0194898,0.0278444,0.0231447,0.019514,0.0140009,0.00325429
30,0.0161008,0.00534991,0.00851081,0.00184935,0.0126016,0,0.00833566,0.00563382,0.00561485,0.00451357,0.00817801,0.00730364,0,0,0.0208539,0.0122103,0.00977073,0.022688,0.0144584,0.0196183,0.0255207,0.0348551,0.0219498,0.0177081,0.00287254,0.00339968,0.00602061,0.0105217,0,0.0147649,0.0066966,0.00831979,0.0106185,0,0,0.00604968,0.00833221,0.00591286,0.00686353,0.00312791,0.006223,0.00672879,0.027307,0.0185862,0.016405,0.0137894,0.0226681,0.0147057,0.0198312,0.019463,0.0278861,0.0231447,0.019513,0.0139749,0.00324846
31,0.0160595,0.00535876,0.00850609,0.00185233,0.012607,0,0.00837496,0.00565592,0.00558043,0.00452119,0.00813838,0.00732276,0,0,0.0208755,0.012197,0.00977057,0.0226826,0.0144325,0.0196298,0.0255586,0.0348383,0.0218811,0.0176964,0.00287209,0.00330036,0.00605193,0.0105219,0,0.0147754,0.00664538,0.00833554,0.0106567,0,0,0.00614159,0.00828208,0.00591016,0.00687834,0.00317935,0.0062038,0.00670781,0.0273038,0.0186109,0.016394,0.013816,0.0226433,0.0148145,0.0198187,0.0194013,0.0278798,0.0231252,0.0194729,0.0139678,0.0032609
32,0.0160332,0.0053545,0.00849262,0.00182003,0.0126148,0,0.00837442,0.00565713,0.00554573,0.00452397,0.00813391,0.00736631,0,0,0.0208886,0.0121809,0.0097731,0.0226927,0.0143942,0.0196157,0.0256274,0.0348211,0.0218455,0.0176998,0.00286848,0.00330399,0.00605334,0.0105394,0,0.0147781,0.00661561,0.00833131,0.0106831,0,0,0.00614947,0.00828585,0.00589853,0.00690946,0.00320223,0.00617412,0.00671201,0.0273497,0.0186238,0.016391,0.0137976,0.0226104,0.0147565,0.0197964,0.0193787,0.0277755,0.0231168,0.0194395,0.0139825,0.00328349
33,0.0159966,0.00535786,0.00848625,0.00179383,0.0126408,0,0.0083682,0.00562284,0.00555627,0.00452915,0.00812954,0.00738792,0,0,0.0208845,0.0121672,0.00979367,0.0226907,0.0143817,0.0195806,0.0256342,0.0348076,0.0218441,0.0177,0.00285971,0.00332162,0.00606775,0.0105248,0,0.0147953,0.00664211,0.00835855,0.0106809,0,0,0.00612373,0.00824179,0.00588466,0.0068937,0.0032411,0.00615305,0.00671148,0.0273869,0.0186283,0.0163412,0.0137493,0.0225373,0.0146693,0.0197849,0.0193809,0.0276763,0.0231151,0.0194317,0.0139807,0.00329883
34,0.015966,0.00538061,0.00849018,0.001796,0.0126657,0,0.00837761,0.00559105,0.00559288,0.00452549,0.00812187,0.00737575,0,0,0.0208669,0.0121608,0.00981172,0.0226752,0.0144118,0.0195509,0.0255821,0.0347822,0.0218388,0.0176862,0.00286084,0.00332454,0.00605777,0.010489,0,0.0148126,0.00666288,0.00836784,0.0106791,0,0,0.00611059,0.00818769,0.00589074,0.00686569,0.00325308,0.00614043,0.00669807,0.0273607,0.0186373,0.0162484,0.0137559,0.0225087,0.0146666,0.0198308,0.0194304,0.0276761,0.023133,0.0194232,0.0139194,0.00330624
35,0.0159659,0.00537916,0.00849984,0.00180491,0.0126667,0,0.00838051,0.00562824,0.00558287,0.00452282,0.00810752,0.00735948,0,0,0.0208648,0.0121651,0.00977823,0.0226754,0.0144516,0.0195612,0.0255609,0.034781,0.0218253,0.0176843,0.00288229,0.00331724,0.00604178,0.0104722,0,0.0148149,0.00664882,0.00837058,0.010711,0,0,0.00608858,0.00810736,0.00591177,0.00687307,0.0032158,0.00613853,0.00667635,0.0273257,0.0186483,0.0162301,0.0138012,0.0225802,0.0146643,0.0198992,0.0195001,0.0276706,0.0231726,0.0194153,0.0138464,0.00330171
36,0.0159854,0.00537118,0.00850764,0.00182703,0.0126216,0,0.00833838,0.00568815,0.00554288,0.00451797,0.0081041,0.00737076,0,0,0.0208681,0.0121673,0.00975099,0.0226767,0.0144529,0.0195832,0.025574,0.0347942,0.0218073,0.0176848,0.00290666,0.00333855,0.00601872,0.0104743,0,0.0148033,0.0066404,0.00835941,0.0107447,0,0,0.0060395,0.00809437,0.00590959,0.00689158,0.00322541,0.00614021,0.00668546,0.0273481,0.018646,0.0163076,0.0137938,0.0226344,0.0146542,0.0199127,0.0195118,0.0276181,0.0232026,0.0194025,0.0138521,0.00326729
37,0.0159562,0.00539165,0.00850868,0.00185125,0.0126137,0,0.00831307,0.00564442,0.00558727,0.00453182,0.00808682,0.00734692,0,0,0.0208878,0.0121915,0.00974632,0.022699,0.0144409,0.0196237,0.0256216,0.0348447,0.0218179,0.0177129,0.00290184,0.00330558,0.00603446,0.0105161,0,0.0148337,0.00660417,0.00835875,0.0107607,0,0,0.00610943,0.00810722,0.00588829,0.00688767,0.00323924,0.00614183,0.00670654,0.0273758,0.0186704,0.0163438,0.0137667,0.0226246,0.0147229,0.0198777,0.019483,0.0275878,0.0232102,0.0193808,0.013959,0.00329323
38,0.0159335,0.00539401,0.00849224,0.00185727,0.0126073,0,0.00837937,0.00558204,0.00563877,0.0045207,0.0081231,0.00736344,0,0,0.0208818,0.0122052,0.00976379,0.0226962,0.0143939,0.0196221,0.0256206,0.034865,0.0218218,0.0177081,0.00289372,0.00329991,0.00604158,0.0105266,0,0.0148509,0.00660351,0.0083036,0.0107395,0,0,0.00613891,0.00823219,0.00585533,0.00686221,0.00329274,0.00613673,0.00673248,0.0273762,0.0186721,0.0163349,0.0137669,0.0226094,0.0147448,0.0198233,0.0195594,0.0275921,0.0231631,0.0193073,0.0139737,0.00330409
39,0.015922,0.00538654,0.00847074,0.00183033,0.0126187,0,0.00851308,0.00555758,0.00561521,0.00449801,0.00817284,0.00737945,0,0,0.0208629,0.0122091,0.00974435,0.0226914,0.014359,0.0196009,0.0255942,0.0348459,0.021808,0.0176919,0.00288383,0.00329791,0.00605939,0.010517,0,0.0148611,0.00663901,0.00829929,0.0107112,0,0,0.00611838,0.00822937,0.00584737,0.00685345,0.00324923,0.00616066,0.0067214,0.0273711,0.0186668,0.0163308,0.0138159,0.022634,0.0146832,0.0198067,0.0197245,0.0276019,0.0231125,0.0192741,0.0139055,0.00329081
40,0.0159511,0.0053576,0.00846951,0.00179658,0.012636,0,0.00862845,0.00557971,0.00557308,0.00449483,0.00821584,0.00738486,0,0,0.0208539,0.0122048,0.00970559,0.0226938,0.0143617,0.0195971,0.0256035,0.0348271,0.0217974,0.0176829,0.00286083,0.00333318,0.00602902,0.0104984,0,0.0148114,0.00672144,0.0082941,0.0106978,0,0,0.00596675,0.00826971,0.0058429,0.00687078,0.00310343,0.00618826,0.00668111,0.0273434,0.0186727,0.0163313,0.0138289,0.0226261,0.0146523,0.0198131,0.0197754,0.0276044,0.0230868,0.01933,0.0138584,0.00329394
41,0.0159877,0.00535114,0.00846811,0.00179722,0.012643,0,0.0086563,0.005608,0.00558128,0.00449547,0.0082154,0.00738649,0,0,0.0208469,0.0122039,0.00969774,0.0226931,0.0143848,0.019604,0.0256007,0.0348128,0.0217871,0.0176769,0.00286107,0.0033699,0.00599438,0.0104911,0,0.0147674,0.00678258,0.00830014,0.0107153,0,0,0.00592866,0.00831388,0.00584037,0.00689365,0.0030471,0.00617834,0.00667133,0.0272936,0.0186744,0.0163303,0.0137781,0.0226108,0.0147309,0.0198308,0.0197088,0.0276768,0.0231112,0.0193958,0.0138855,0.00329915
42,0.0159432,0.00536379,0.00843546,0.00182015,0.0126157,0,0.00852406,0.00560142,0.00560317,0.00449583,0.00817218,0.00736462,0,0,0.020812,0.012213,0.00974647,0.0226589,0.0143974,0.0195903,0.0255418,0.0347849,0.0217694,0.0176557,0.00287984,0.00329495,0.00607491,0.0105007,0,0.014918,0.00675439,0.00838079,0.010798,0,0,0.00611289,0.00815576,0.00585979,0.00687561,0.00312514,0.00614609,0.00672042,0.0272984,0.0186406,0.016357,0.0137387,0.0226739,0.0148521,0.0198682,0.0196947,0.027819,0.0231635,0.0193607,0.0139421,0.0032722
