Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
440,0.0154834,0.00561835,0.00823112,0.00187076,0.0125109,0,0.0080015,0.00547561,0.00554731,0.00435582,0.0082339,0.00707255,0,0,0.0206945,0.0120873,0.00998281,0.0228307,0.0145862,0.0196785,0.0255423,0.0340065,0.0216343,0.0178343,0.00287746,0.00320755,0.00592962,0.0104468,0,0.0146156,0.00644642,0.00821379,0.0104201,0,0,0.00618498,0.00828039,0.00578171,0.00650873,0.0032468,0.00603094,0.00651315,0.0269398,0.0184156,0.0160281,0.0136331,0.0228531,0.01471,0.0199666,0.0201334,0.0280984,0.023699,0.0193141,0.0138799,0.0032472
441,0.0155152,0.00557139,0.00820858,0.00188857,0.012496,0,0.00805576,0.00548226,0.00555136,0.00436237,0.00822188,0.0070582,0,0,0.0207394,0.0120997,0.00998757,0.0228136,0.0146379,0.0196444,0.0255032,0.0339771,0.0216189,0.0178544,0.00286976,0.00324048,0.00597695,0.010463,0,0.0146346,0.00644636,0.00819904,0.0104181,0,0,0.00618799,0.00826522,0.00579103,0.00650003,0.00322796,0.00601798,0.00650231,0.0269151,0.0184091,0.0160251,0.0136354,0.0228272,0.0146935,0.0199789,0.0200737,0.0281043,0.0236974,0.019276,0.01388,0.00323536
442,0.0155428,0.00553455,0.00819388,0.00189479,0.0124832,0,0.0081249,0.00542876,0.00552672,0.00435869,0.00817902,0.00703849,0,0,0.0207733,0.0120983,0.00998978,0.0228115,0.0147029,0.0195728,0.0254781,0.0339703,0.0216184,0.0178462,0.00286683,0.0032536,0.00596781,0.0104796,0,0.014645,0.00641022,0.0082187,0.0104116,0,0,0.00619166,0.0082679,0.00577474,0.00646619,0.00322754,0.00600042,0.00649431,0.02686,0.0183971,0.016028,0.0136374,0.022835,0.0147011,0.0199741,0.0201267,0.0280716,0.0237324,0.0192996,0.0138372,0.00323574
443,0.0155657,0.00551104,0.00819139,0.00188432,0.0124757,0,0.00816739,0.00536514,0.00548834,0.0043433,0.00809825,0.00702126,0,0,0.0207852,0.0120829,0.00998777,0.0228242,0.0147139,0.0195686,0.025476,0.0339813,0.0216361,0.0178385,0.002871,0.00326961,0.0059487,0.0104947,0,0.014633,0.00636259,0.00824592,0.0104072,0,0,0.00620037,0.00827429,0.00574654,0.00640936,0.003234,0.00597642,0.00650063,0.0268199,0.0183929,0.0160338,0.0136318,0.0228451,0.0146922,0.019926,0.0201888,0.0280411,0.0237147,0.0193441,0.0137795,0.0032223
444,0.015534,0.00544092,0.00821998,0.00188098,0.0124683,0,0.00821959,0.00533562,0.00550221,0.00434051,0.00799738,0.00701343,0,0,0.0207979,0.0120808,0.0099825,0.0228312,0.0147176,0.0196029,0.0254648,0.0339866,0.0216653,0.0178574,0.00287899,0.00330155,0.00595418,0.0105155,0,0.01468,0.00632472,0.00821453,0.0104305,0,0,0.0061961,0.0083048,0.00566147,0.00640818,0.00324606,0.00596278,0.00649281,0.0268131,0.0184114,0.0160266,0.0136572,0.0228171,0.0146851,0.0198869,0.0201981,0.0280424,0.0236963,0.0193814,0.0137431,0.00321294
445,0.0155937,0.00548884,0.00816826,0.00189918,0.0124722,0,0.00823216,0.00528969,0.00551399,0.00432987,0.00808195,0.00695524,0,0,0.0208039,0.0120464,0.0100256,0.0228077,0.0146915,0.0195807,0.0253888,0.0339328,0.0216189,0.0178318,0.00289268,0.00328162,0.00596318,0.0105045,0,0.0146229,0.00635402,0.00823509,0.0104159,0,0,0.00625001,0.00826664,0.00570092,0.00638522,0.00331034,0.00595724,0.00647669,0.0268156,0.0184174,0.0160617,0.0136459,0.0227762,0.0146832,0.0198495,0.0201537,0.0279673,0.0236693,0.0192873,0.0137193,0.00320071
446,0.0155734,0.00548111,0.00813873,0.00191586,0.0124902,0,0.00820001,0.00525639,0.00552164,0.00434405,0.0081151,0.00694952,0,0,0.0208133,0.0120192,0.0100536,0.0228029,0.0146476,0.0195525,0.025379,0.03388,0.021603,0.0178258,0.00290067,0.00329778,0.00599255,0.0105022,0,0.0146222,0.00638042,0.00820171,0.0104287,0,0,0.00628299,0.00827966,0.00568661,0.00638014,0.00330872,0.00595141,0.00646744,0.0268197,0.018423,0.0160801,0.0136653,0.0227911,0.0147082,0.0198913,0.0202136,0.0279294,0.0236588,0.0192365,0.0138057,0.00322191
447,0.0155366,0.00547742,0.00812411,0.00191135,0.0125021,0,0.00815021,0.00523878,0.00547866,0.00435561,0.00807758,0.00699317,0,0,0.020823,0.0119963,0.0100605,0.0228054,0.0146199,0.0195419,0.0254379,0.0338989,0.0215966,0.017832,0.00289328,0.00331938,0.00601232,0.0105016,0,0.0146171,0.0064051,0.0081959,0.0104218,0,0,0.00628705,0.00827763,0.00567989,0.006369,0.00325901,0.0059412,0.00647464,0.0268046,0.0184181,0.0160981,0.0136779,0.0228069,0.0146979,0.0199501,0.0201986,0.0279941,0.0235849,0.0192371,0.0138694,0.00321927
448,0.0154705,0.00541693,0.00813935,0.00189688,0.0124662,0,0.00814727,0.00526252,0.00542014,0.0043463,0.00794823,0.00705417,0,0,0.0208233,0.0119925,0.0100536,0.0228072,0.0146306,0.0195456,0.025485,0.03396,0.0216321,0.0178531,0.00288712,0.0033892,0.00592556,0.0105102,0,0.014669,0.00639737,0.00818278,0.0104272,0,0,0.0061726,0.00829367,0.00560863,0.00639143,0.00321271,0.00595957,0.00647913,0.0267962,0.0184289,0.0161111,0.0136843,0.0228211,0.0146874,0.019967,0.0201692,0.0281148,0.0235484,0.0192953,0.0138626,0.00323591
449,0.015418,0.00537406,0.0081497,0.00189108,0.0124252,0,0.00817936,0.00528596,0.00536162,0.00431703,0.00785588,0.00705431,0,0,0.0208189,0.0119938,0.0100507,0.0228103,0.0146275,0.0195517,0.0254817,0.0339858,0.0216804,0.0178635,0.002884,0.00344605,0.00579792,0.0104967,0,0.0147159,0.00636062,0.00818203,0.0104399,0,0,0.00607119,0.0083136,0.00555821,0.00642408,0.003298,0.00600049,0.00648091,0.0268155,0.0184324,0.0161308,0.0136617,0.0228308,0.0146991,0.0199315,0.0202345,0.0281569,0.0235524,0.0193334,0.0138047,0.0032577
