Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
105,0.0193024,0.00135404,0.00810637,0.00568096,0.0139611,0,0.0152973,0.0166414,0.00878242,0.00949495,0.0220215,0.0151824,0,0,0.0117348,0.0237829,0.0192655,0.0136363,0.0179701,0.0113974,0.01601,0.0116966,0.0096152,0.00589846,0.00901448,0.0125753,0,0.0249831,0.0131723,0.0164415,0.0148962,0,0,0.00104008,0.00344231,0.00619575,0.00534505,0.00288143,0.00564285,0.0057031,0.0084156,0.0152402,0.0169382,0.0167015,0.0135723,0.0144143,0.0126031,0.0107729,0.013249,0.0115653,0.00213469,0
106,0.0202358,0.00118987,0.00872046,0.00467227,0.0143177,0,0.015103,0.0173911,0.00835465,0.00954397,0.0231176,0.0154024,0,0,0.0120613,0.0225863,0.0175047,0.0128252,0.0177486,0.0118294,0.0154854,0.0118221,0.00850808,0.00574793,0.0090446,0.0130509,0,0.0242654,0.0142207,0.017256,0.0153804,0,0,0.00111924,0.00323193,0.00669441,0.00596565,0.00434454,0.00667248,0.00578295,0.008211,0.014793,0.0145496,0.0167104,0.0128429,0.0144576,0.0129729,0.0108209,0.0134935,0.011653,0.00188476,0
107,0.0211707,0.00199961,0.00945869,0.0034148,0.0146985,0,0.015059,0.0179964,0.00808653,0.00904818,0.0240073,0.015459,0,0,0.0131194,0.0213739,0.0159279,0.012454,0.0171579,0.0123289,0.014426,0.0118436,0.00670262,0.00570068,0.00916978,0.0136201,0,0.0234739,0.0150698,0.017909,0.0157936,0,0,0.00105162,0.003027,0.00735798,0.00690313,0.00553114,0.00770915,0.00603586,0.00883653,0.0143416,0.0129997,0.0165648,0.0123068,0.0137389,0.0130354,0.0104286,0.0130241,0.0112644,0.00244291,0
108,0.0220248,0.00306973,0.0102696,0.00252247,0.0150957,0,0.015056,0.0188334,0.00775719,0.00864641,0.0246009,0.0156106,0,0,0.0145741,0.0201634,0.0150174,0.0125433,0.0161724,0.0131431,0.0129803,0.0121602,0.00472368,0.00571599,0.00932078,0.0142738,0,0.0227897,0.0156034,0.0184117,0.0161624,0,0,0.0010185,0.00278069,0.00823236,0.00810832,0.00609237,0.00816744,0.00635648,0.0100628,0.0139325,0.012847,0.0159391,0.0120806,0.0122986,0.0126023,0.00995827,0.0123322,0.0109697,0.00263351,0
109,0.0227474,0.00404572,0.0111392,0.00255235,0.0154887,0,0.0152087,0.0191777,0.0072691,0.00875828,0.0248474,0.0158471,0,0,0.0162963,0.019211,0.0147855,0.0130569,0.0149575,0.0142822,0.0112439,0.012928,0.00374641,0.00570209,0.00934758,0.0149525,0,0.0222742,0.0160092,0.0187985,0.0164004,0,0,0.00107083,0.00253688,0.00919773,0.00946898,0.00646248,0.00786207,0.00652894,0.0114491,0.0136058,0.0132412,0.0158414,0.0122362,0.0107371,0.0121999,0.00992022,0.0121854,0.0111239,0.00293624,0
110,0.0233141,0.00477729,0.0120544,0.00274912,0.0157581,0,0.0154839,0.0183595,0.00669345,0.00888356,0.0247604,0.015956,0,0,0.0180828,0.0187236,0.0144809,0.0136841,0.0140337,0.0155834,0.00969881,0.0138213,0.00367453,0.00566988,0.00923754,0.0156197,0,0.02178,0.0165064,0.0189761,0.0164805,0,0,0.000909725,0.00246054,0.00999782,0.0110192,0.00702675,0.00752129,0.00663481,0.0128555,0.0133494,0.0134182,0.0159738,0.0127133,0.00976355,0.0122144,0.010412,0.0125279,0.0116599,0.00367266,0
111,0.0234919,0.00513614,0.0126897,0.00300019,0.0157219,0,0.0152901,0.0180481,0.00608563,0.00865248,0.0244534,0.0161405,0,0,0.0196881,0.0187601,0.0136378,0.0141805,0.0137172,0.0169104,0.00897384,0.0146051,0.00345372,0.00567679,0.00911906,0.0160173,0,0.0214418,0.0168476,0.0189742,0.0165601,0,0,0.000824227,0.00255813,0.010499,0.012347,0.00786043,0.00745991,0.00682351,0.0140721,0.0134089,0.014003,0.0159861,0.0136735,0.00955401,0.0124692,0.0111892,0.0131932,0.0125296,0.00460659,0
112,0.0231003,0.00526746,0.0125555,0.00348822,0.0153893,0,0.0143436,0.0196913,0.00565899,0.00845787,0.0240841,0.0167104,0,0,0.0208605,0.0192902,0.0130727,0.0146457,0.013955,0.0181448,0.00925357,0.0153461,0.00282863,0.00574827,0.00907425,0.0158113,0,0.0214641,0.0165991,0.0189743,0.0167122,0,0,0.000618171,0.00287858,0.0108976,0.0127467,0.00888814,0.0070155,0.00695844,0.014761,0.0140495,0.0154142,0.0169544,0.0150263,0.00985433,0.012679,0.0120874,0.0141779,0.0136344,0.00544161,0
113,0.0225877,0.00507691,0.0120437,0.00418813,0.014866,0,0.0134293,0.0217696,0.00554756,0.00852047,0.0236176,0.0171464,0,0,0.0213901,0.0200345,0.0136831,0.0150599,0.0144069,0.0190109,0.00994409,0.0159483,0.00237684,0.00587393,0.00909149,0.0151491,0,0.0212169,0.0161291,0.019,0.0167687,0,0,0.000425308,0.00319326,0.01124,0.0126357,0.00961089,0.00614846,0.00692901,0.0150447,0.0150566,0.0168736,0.0187247,0.0161991,0.0101499,0.0126359,0.0127775,0.0148264,0.0144606,0.00602572,0
114,0.0225857,0.00467525,0.0118198,0.00470151,0.0144004,0,0.0128918,0.0198973,0.00544892,0.00864964,0.0230024,0.0168935,0,0,0.0214317,0.0205919,0.0150484,0.0152024,0.0148028,0.0193676,0.0103534,0.016238,0.00220645,0.00602009,0.00904995,0.0145,0,0.0200464,0.015964,0.0188139,0.0165924,0,0,0.000336967,0.00330732,0.0113044,0.0127117,0.00973397,0.0056132,0.00688058,0.0151903,0.015689,0.0175353,0.019761,0.0166272,0.0101616,0.0124099,0.0129732,0.0144928,0.014549,0.00615496,0
115,0.0230205,0.00427652,0.0116022,0.00477204,0.0138791,0,0.0124332,0.0167232,0.00531675,0.00889543,0.0222526,0.0163175,0,0,0.021335,0.0208431,0.0162013,0.0150055,0.0150187,0.0192722,0.010406,0.0162506,0.00235079,0.0060907,0.0089169,0.0138492,0,0.0187407,0.0161341,0.0185223,0.016432,0,0,0.000330279,0.00333879,0.0111219,0.0127766,0.00938739,0.00542145,0.00708604,0.0152715,0.0159153,0.0176964,0.0197271,0.0167785,0.0103547,0.0122861,0.0130852,0.0138196,0.0143719,0.00572909,0
