Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0186877,0.0111244,0.0142592,0.00768633,0.00632242,0,0.0281987,0.0266556,0.0095784,0.00985368,0.0188437,0.0182838,0,0,0.0111037,0.0101036,0.00869149,0.00608896,0.00768289,0.00652067,0.00797377,0.00763531,0.00663686,0.00719126,0.00520375,0.00491244,0,0.0288327,0.0220286,0.0173824,0.0193816,0,0,0.00449483,0.00425114,0.0170444,0.014991,0.00726604,0.00915138,0.0100037,0.00988359,0.00754994,0.00976654,0.00904224,0.00596608,0.00670391,0.00527798,0.00607245,0.00982509,0.00755752,0.00686573
0,0.0113175,0.0237911,0.0227676,0.00783858,0.00262828,0,0.0296738,0.0120064,0.00393879,0.0105455,0.0160131,0.0154262,0,0,0.00445679,0.00440533,0.00345112,0.00738928,0.0138707,0.0110865,0.012897,0.0111789,0.00471488,0.00151784,0.0013283,0.00596238,0,0.0238963,0.0108313,0.0145372,0.021443,0,0,0.00564985,0.00675059,0.0301713,0.0239705,0.00954233,0.00483644,0.00432553,0.00577076,0.00933892,0.00488452,0.00374537,0.00446202,0.00914337,0.00988095,0.0109805,0.0115585,0.0101064,0.00878722
1,0.0114098,0.0234462,0.022972,0.00793196,0.00240883,0,0.0295433,0.0118201,0.00396617,0.0109183,0.0158819,0.0153153,0,0,0.0043922,0.00452107,0.00341789,0.00730846,0.0132105,0.0108219,0.0124635,0.0110939,0.00463765,0.00162943,0.00147792,0.00578919,0,0.02406,0.0109674,0.0145893,0.0214963,0,0,0.00563016,0.0067237,0.029928,0.0240821,0.00951854,0.00470746,0.00440342,0.00583969,0.00933807,0.00475391,0.00344141,0.00448609,0.00889244,0.00981278,0.0108836,0.0116748,0.00998825,0.00870712
2,0.0114728,0.0231074,0.0229924,0.00783684,0.00224925,0,0.0293529,0.0115353,0.00389234,0.0107968,0.0157859,0.0152521,0,0,0.00442366,0.004642,0.00347002,0.00727629,0.0129668,0.0106738,0.0122529,0.011088,0.0045969,0.00166928,0.00151556,0.00559165,0,0.0240865,0.011072,0.0145756,0.0214296,0,0,0.00557328,0.00670186,0.0297167,0.0241871,0.00952843,0.00463753,0.00450618,0.00584807,0.00935959,0.00476965,0.00337875,0.00450577,0.00879249,0.00973403,0.0108407,0.0116298,0.00998216,0.00866398
3,0.0114741,0.0228632,0.0228716,0.00768343,0.00210653,0,0.0292085,0.0112924,0.0037808,0.0105124,0.0157338,0.0152233,0,0,0.00447844,0.00471074,0.00360383,0.00731507,0.0129663,0.0105906,0.0122426,0.0111592,0.00455994,0.00164678,0.00147226,0.00536415,0,0.0240215,0.0111136,0.0145021,0.0212974,0,0,0.00550454,0.00666282,0.0295316,0.0242253,0.00953555,0.00460273,0.00459322,0.00586982,0.00932235,0.0048814,0.00345997,0.00458168,0.00877019,0.0096786,0.010785,0.0115385,0.00999772,0.00863623
4,0.0114227,0.0227617,0.0227309,0.00761407,0.00195819,0,0.0291978,0.0111923,0.00370605,0.0104198,0.0157224,0.0151948,0,0,0.00454361,0.00470662,0.00377505,0.0074236,0.0130307,0.0105136,0.0123014,0.0112711,0.00450325,0.00161489,0.00142114,0.00511911,0,0.0239707,0.0111087,0.0144195,0.0212082,0,0,0.00547987,0.00662189,0.0293471,0.0241699,0.00951223,0.00454733,0.00464371,0.00591578,0.00925338,0.0050018,0.00356539,0.00466982,0.00871401,0.00964209,0.0106856,0.0115079,0.00994356,0.00859635
5,0.0113685,0.0227126,0.0226749,0.00760561,0.00182904,0,0.0292444,0.0111736,0.00365692,0.0104834,0.0157331,0.0151478,0,0,0.00463641,0.00467007,0.00390036,0.00753059,0.0130458,0.0104083,0.0122453,0.0113485,0.00444424,0.00159379,0.00138732,0.00489775,0,0.0239839,0.0111201,0.0143781,0.0212005,0,0,0.00551586,0.00660624,0.0291317,0.0241203,0.00948203,0.00445881,0.00468671,0.00588002,0.00927538,0.00506541,0.00363556,0.00464373,0.00858686,0.00955078,0.0106015,0.0114839,0.00985705,0.00854735
6,0.0113352,0.0225742,0.0226823,0.00758317,0.00175772,0,0.0292446,0.0111293,0.0036097,0.010554,0.0157558,0.0151003,0,0,0.00473966,0.00460618,0.00394318,0.00758265,0.0128858,0.0102527,0.012059,0.0113641,0.00439268,0.00158033,0.00134772,0.0047188,0,0.0240223,0.0111384,0.0143726,0.0211775,0,0,0.00552856,0.00663493,0.028887,0.0241087,0.0094716,0.0043813,0.00473778,0.00577336,0.00940499,0.00505195,0.00364776,0.00455852,0.00842503,0.00936302,0.0105423,0.011402,0.00979549,0.00850857
7,0.0113446,0.0223524,0.0226484,0.00752289,0.00173506,0,0.029191,0.0110537,0.00355611,0.0105869,0.0157431,0.0150663,0,0,0.00482061,0.00449486,0.00392559,0.00754962,0.0125525,0.0100904,0.0119263,0.0113792,0.00434263,0.00155474,0.00140118,0.00455981,0,0.0240334,0.0110927,0.0143411,0.0210812,0,0,0.00547762,0.0065956,0.0286229,0.0240933,0.00948312,0.00433627,0.00479692,0.00575115,0.00950062,0.005045,0.00363302,0.00458468,0.00828419,0.00915805,0.0104297,0.0113269,0.00971397,0.00848767
8,0.0113914,0.0221487,0.022508,0.00743719,0.00168419,0,0.0291313,0.0109784,0.00349347,0.0105911,0.0157042,0.0150316,0,0,0.00488258,0.00439435,0.00388155,0.00748728,0.0122077,0.00999035,0.0119611,0.0114657,0.0042888,0.0015179,0.00140271,0.00438104,0,0.0240053,0.0110009,0.0142975,0.020954,0,0,0.00538424,0.00657563,0.0283406,0.0240553,0.00949846,0.00429644,0.00487127,0.00581615,0.00945509,0.00511201,0.00360188,0.0047094,0.00818315,0.00904062,0.0102345,0.0113349,0.00957992,0.00846734
