Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
234,0.0276972,0.00664757,0.00803092,0.00218463,0.00208652,0,0.0728127,0.022878,0.00303227,0.0103803,0.0108222,0.0180664,0,0,0.00966272,0.00793435,0.0088069,0.00548463,0.00508903,0.00402144,0.0025181,0.00350802,0.00299654,0.00613463,0.0102738,0.0043734,0,0.0717025,0.0125915,0.0150241,0.0137584,0,0,0.00127392,0.00213531,0.00853202,0.00862924,0.00261128,0.00850996,0.0123634,0.00589606,0.00691406,0.0108717,0.00871787,0.00806117,0.00206918,0.00245155,0.00265104,0.00273105,0.00406605,0.00308409
235,0.0280538,0.00677588,0.00760676,0.00323558,0.00237172,0,0.0720449,0.0230878,0.00152387,0.0102712,0.011042,0.0188391,0,0,0.00957973,0.00800043,0.00905367,0.00533141,0.00485067,0.00405754,0.00228398,0.00358388,0.00178832,0.0059775,0.0104059,0.00463592,0,0.0707353,0.0129281,0.0158013,0.0157012,0,0,0.00112541,0.00196853,0.00835954,0.00835971,0.00328076,0.00835713,0.0127332,0.00591361,0.00681558,0.0107913,0.00855393,0.00766518,0.00140967,0.0024033,0.00224601,0.00281483,0.0040734,0.00256948
236,0.0282658,0.00671181,0.00735312,0.00517564,0.00250125,0,0.071206,0.0236271,0.00407116,0.00940463,0.01134,0.0196356,0,0,0.00940673,0.00838958,0.0109371,0.00566468,0.00496762,0.00460959,0.00280032,0.00411651,0.00338599,0.00590033,0.0106012,0.00492915,0,0.0696941,0.0134433,0.0166878,0.0172167,0,0,0.00113153,0.00188274,0.00835398,0.00814197,0.00448874,0.00848842,0.0125431,0.0059173,0.00704019,0.0110058,0.00929546,0.00731404,0.000980307,0.00282636,0.00199663,0.00306073,0.004199,0.00171125
237,0.0283194,0.00620459,0.00707351,0.00913657,0.00216599,0,0.0704718,0.0236675,0.00168591,0,0.0113951,0.0200982,0,0,0.00967879,0.00844514,0.010305,0.00680123,0.00583589,0.0056868,0.00410177,0.00515032,0,0.00584325,0.0107956,0.00521197,0,0.0683987,0.0137414,0.0178535,0.0181195,0,0,0.00167484,0.00226583,0.00842071,0.00766208,0.00601029,0.00758739,0.0108592,0.00664551,0.00889013,0.0129654,0.0128729,0.00805106,0.00123612,0.00430129,0.00257403,0.00311987,0.00454679,0.00328893
238,0.0281779,0.00721132,0.00804093,0,0.00336052,0,0.069557,0.0223536,0,0,0.0114668,0.0203871,0,0,0.00812153,0.00573223,0.00449874,0.00833713,0.005173,0.00491752,0.00530091,0.00536529,0,0.00599466,0.0110313,0.0052823,0,0.067505,0.0133353,0.0183672,0.0182793,0,0,0.00207878,0.00262804,0.00643615,0.00770957,0,0,0,0.00674561,0.00988073,0.0105634,0.00650271,0.010328,0.00175154,0.00243005,0.0031712,0.00346483,0.00390773,0
239,0.0278793,0.00948282,0.00912617,0.00327797,0.00396292,0,0.0692641,0.0204452,0,0.00647654,0.0108582,0.0200206,0,0,0.00704966,0.0114528,0.0100474,0.00983804,0.00563648,0.00516899,0.0064707,0.00620957,0.00352302,0.00606881,0.0110784,0.00569503,0,0.0670672,0.012486,0.0181795,0.0180194,0,0,0.00241199,0.00285578,0.00693031,0.00841142,0,0,0,0.00687237,0.00932267,0.0109478,0.00502528,0.0102598,0.00220323,0.00387063,0.00392962,0.00439645,0.00474752,0
240,0.0276757,0.00925083,0.0091636,0.00266473,0.00294886,0,0.0688863,0.0189808,0.0101415,0.00795117,0.0098512,0.0193911,0,0,0.00626841,0.0123389,0.00884256,0.00826291,0.0051199,0.00493497,0.00607578,0.00530445,0.00139177,0.00612502,0.0111443,0.00569067,0,0.065564,0.0122481,0.0191267,0.018441,0,0,0.00328456,0.0034359,0.00766805,0.00854207,0.00535912,0.0021826,0.00557191,0.005813,0.00677182,0.0121708,0.0105359,0.00945581,0.00412893,0.00722184,0.00473017,0.00505729,0.00589388,0.00560812
241,0.0279288,0.00751907,0.00860859,0.00302414,0.00124388,0,0.0668898,0.0179322,0,0,0.00967829,0.0195398,0,0,0.00567309,0.0153908,0,0.00820378,0.00487205,0.00547598,0.00409103,0.0048039,0.00430133,0.00679396,0.0117459,0.0044292,0,0.0635907,0.0128798,0.0207113,0.018866,0,0,0.00450347,0.00437073,0.00480638,0.00779318,0.00383913,0,0,0.00596156,0.00355508,0.00841128,0.00643362,0.00651759,0.0045819,0.00746221,0.00476997,0.0065227,0.0062563,0.00478352
242,0.0296687,0.00746535,0.00926932,0.00292228,0.00048979,0,0.0649632,0.0173147,0,0,0.00926892,0.0195744,0,0,0.00801338,0.0125803,0.0191481,0.00896339,0.00821431,0.00879874,0.00527316,0.00878808,0.00805551,0.00767606,0.0123744,0.00376041,0,0.0621978,0.0149501,0.0220821,0.0187201,0,0,0.00572762,0.00541161,0.00252732,0.0070837,0.00378944,0.0046478,0,0.00697246,0.00377391,0.00547229,0.00564915,0.00454467,0.00479866,0.00774351,0.00527536,0.00719796,0.00711355,0.00348146
243,0.0323203,0.00632875,0.0114781,0.00404001,0.0015525,0,0.0632401,0.0203507,0.0075265,0.013997,0.00886049,0.0193975,0,0,0,0,0,0.0134307,0.014782,0.0131775,0.0109375,0.017487,0.002888,0.00872904,0.0129484,0.00293723,0,0.0601831,0.0215659,0.0241598,0.0185968,0,0,0.00741581,0.00692915,0.00133202,0.00703553,0.00140331,0.00572636,0.00928815,0.010022,0.00535312,0.00328599,0.00609967,0.00367726,0.00611272,0.00886791,0.0069625,0.00646954,0.00738613,0.00463649
244,0.034568,0.00757757,0.0150971,0.003189,0.0021845,0,0.0609868,0.0272828,0,0.0128685,0.00965547,0.0196377,0,0,0.00659815,0.00887999,0,0.00693352,0.019222,0,0.0118415,0.017319,0.00417025,0.0101933,0.0137807,0.00305171,0,0.0588775,0.0300526,0.0258324,0.0179727,0,0,0.00886396,0.00844781,0.00327161,0.00981285,0.0046086,0.0104531,0,0.00970809,0.00413145,0.00356285,0.00331148,0.00348044,0.00658448,0.00795024,0.00717168,0.00631282,0.00622002,0.00354798
245,0.0357688,0.0071854,0.0180588,0.0031681,0.00300175,0,0.0577434,0.0344032,0.00580936,0.00695786,0.0119959,0.0204748,0,0,0.00763708,0.0124973,0.00979697,0.00520172,0.0160755,0.0126425,0.0118758,0.0161323,0.00429641,0.011961,0.0149921,0.0029152,0,0.0587492,0.0373285,0.0272115,0.0174145,0,0,0.0097823,0.00981564,0.006392,0.0135419,0.00538587,0.00960065,0.00875486,0.0112175,0.00361616,0.00879624,0.00634622,0.00277477,0.00804611,0.00778577,0.00807925,0.00723638,0.00621216,0.00776372
246,0.0358038,0.00766732,0.0193121,0.00474339,0.00300467,0,0.0538373,0.0404466,0.0057907,0.00451954,0.0153225,0.0220039,0,0,0.00848072,0.0131273,0.0106977,0.00419284,0.0129992,0.0100045,0.0105235,0.0113974,0.00524287,0.0139607,0.0171597,0.00286891,0,0.0594186,0.0431592,0.0282918,0.016966,0,0,0.0100401,0.0108763,0.00875549,0.0163535,0.00796651,0.0103676,0.00732238,0.0115964,0.00433574,0.0126885,0.0097236,0.00335676,0.00765682,0.00640328,0.00734843,0.00831603,0.00597788,0.009353
247,0.0351776,0.00856801,0.0195612,0.00591305,0.00224642,0,0.0492699,0.0455946,0.00655836,0.00412737,0.0188199,0.0235188,0,0,0.00825627,0.0107411,0.00912257,0.00399809,0.0107132,0.00746042,0.00890542,0.00640918,0.00604272,0.0188918,0.0216866,0.00319212,0,0.060681,0.0479112,0.0285103,0.016237,0,0,0.0102912,0.0128174,0.00994604,0.0180765,0.0104342,0.0111504,0.0070027,0.0126282,0.00489317,0.0146859,0.0117544,0.00374165,0.00648212,0.00476947,0.00622991,0.00933514,0.00582393,0.0109166
