Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
101,0.00757578,0.025992,0.0164698,0.00967638,0.008163,0,0.0261701,0.00882776,0.00558778,0.00480031,0.00583461,0.00304266,0,0,0.00967404,0.00895419,0.00600568,0.00657337,0.0213255,0.0178093,0.0139354,0.00902034,0.00906474,0.00241889,0.00693356,0.0101296,0,0.0235413,0.00672976,0.0153061,0.0170569,0,0,0.0049715,0.00584781,0.0114375,0.0178641,0.00763198,0.00452859,0.00875876,0.00452515,0.00636557,0.00823324,0.00788322,0.00719536,0.00602051,0.0060221,0.00668946,0.00850541,0.00724366,0.00465746
102,0.00750841,0.026344,0.0166488,0.00964782,0.00817594,0,0.0261209,0.0089531,0.00581494,0.00485047,0.0056519,0.00287021,0,0,0.00975778,0.0092402,0.00599664,0.006672,0.0218367,0.0183185,0.0139732,0.00917786,0.00917717,0.00220708,0.00674879,0.00973069,0,0.0237035,0.00693882,0.0154066,0.0171701,0,0,0.00506857,0.00590121,0.0116938,0.0181072,0.00664449,0.00408722,0.0081237,0.00522662,0.00609767,0.00728108,0.00666367,0.00659704,0.00582658,0.00516624,0.00499566,0.00727554,0.00582487,0.0038609
103,0.00743307,0.0266616,0.0168241,0.00965995,0.00814069,0,0.0260822,0.00907779,0.00607297,0.0049996,0.00538428,0.00282846,0,0,0.00984244,0.00956399,0.00607446,0.00678898,0.0222862,0.0187991,0.0140287,0.00938429,0.0093154,0.00200727,0.0066019,0.00931013,0,0.0238554,0.00713825,0.0154872,0.0172362,0,0,0.00517231,0.00599052,0.0121105,0.0183076,0.00569786,0.00396936,0.00769049,0.0064096,0.00589974,0.00662095,0.00556779,0.00594013,0.00581477,0.00466541,0.00353239,0.00622818,0.00470231,0.00305339
104,0.00737654,0.0269411,0.0169776,0.0097147,0.00804074,0,0.0260532,0.0091945,0.00634451,0.00523537,0.00505769,0.00286494,0,0,0.00996691,0.00991428,0.00625771,0.00693839,0.0226576,0.019241,0.0141352,0.00964774,0.00948361,0.00188519,0.00647679,0.0091419,0,0.0239899,0.00731732,0.0155483,0.0172939,0,0,0.00529105,0.00607635,0.0125982,0.0184979,0.00499674,0.00436345,0.007681,0.00805538,0.00575314,0.00645881,0.00489276,0.00539711,0.00603463,0.00489577,0.00263991,0.00551956,0.00420706,0.00244012
105,0.00735317,0.0271909,0.0171012,0.00981406,0.00789846,0,0.0260362,0.00929213,0.00660863,0.0055279,0.0047011,0.00293256,0,0,0.0101186,0.0102723,0.00656418,0.00714639,0.0229435,0.0196303,0.0142953,0.00996381,0.00968369,0.00178427,0.00634843,0.00905001,0,0.0240995,0.00745947,0.0155952,0.0173597,0,0,0.00540559,0.00613062,0.0130933,0.0187054,0.00463632,0.00521425,0.00815858,0.00993993,0.00565446,0.00669086,0.00469867,0.00513198,0.00646659,0.00586075,0.00239528,0.00523492,0.00446396,0.00206988
106,0.00734201,0.0274532,0.0171965,0.00991622,0.00774941,0,0.0260358,0.00936266,0.00681785,0.00579044,0.00434343,0.00298711,0,0,0.0102751,0.010583,0.00695416,0.00736698,0.0231391,0.019949,0.0145147,0.0103127,0.00988107,0.00165331,0.00619881,0.00893815,0,0.0241977,0.00755206,0.0156492,0.0174459,0,0,0.00550576,0.00616417,0.0136182,0.0189272,0.00453927,0.00622491,0.00887241,0.0117122,0.0056386,0.00700983,0.00482089,0.00515126,0.00708485,0.00722872,0.00240032,0.00538296,0.0051598,0.0018077
107,0.00730714,0.0277349,0.0173017,0.0100041,0.00760474,0,0.0260593,0.00939965,0.00695655,0.00597294,0.00400999,0.00300845,0,0,0.0103712,0.010819,0.00740996,0.00759459,0.0232504,0.0201866,0.0147546,0.0106667,0.0100573,0.00148021,0.00601819,0.00876703,0,0.0243003,0.00758868,0.0157253,0.0175495,0,0,0.00558504,0.00619805,0.0142617,0.019126,0.00503863,0.00708917,0.0094153,0.0130425,0.00561013,0.00711983,0.00490949,0.00526259,0.00783931,0.00861003,0.00220613,0.00580843,0.00582701,0.00122912
108,0.0071443,0.0283754,0.0172799,0.00961731,0.00772551,0,0.0261251,0.00945005,0.00666289,0.00548682,0.00372246,0.00317821,0,0,0.0106742,0.0105659,0.00734353,0.00692206,0.0234148,0.020435,0.015429,0.0109415,0.00989714,0.00209924,0.0061501,0.00876704,0,0.0245596,0.0076419,0.0160544,0.0177038,0,0,0.00581273,0.00678707,0.0146585,0.0192691,0.00772131,0.00855216,0.0100399,0.0135549,0.00546031,0.00697881,0.00446917,0.00534074,0.00872854,0.010007,0.00172547,0.00663737,0.00632831,0.00316147
109,0.00711997,0.0282306,0.0177767,0.0101008,0.00728084,0,0.026206,0.00936252,0.00704883,0.00603309,0.00351449,0.00312898,0,0,0.0102003,0.0110604,0.00847033,0.00804524,0.0233282,0.020469,0.0151933,0.0112451,0.0103047,0.00120091,0.00557937,0.0082669,0,0.0245559,0.00751893,0.0159449,0.0177806,0,0,0.00567802,0.00628734,0.0160708,0.0192896,0.00466579,0.00704704,0.00842743,0.0137435,0.00588654,0.00682701,0.00577191,0.00512409,0.00917865,0.0101438,0.00102687,0.00649142,0.00621744,0.00115536
110,0.00702824,0.0283096,0.0181941,0.0101275,0.00704293,0,0.026342,0.00928946,0.00704985,0.00595543,0.00337535,0.00345258,0,0,0.00991094,0.0111156,0.00908211,0.00831474,0.0233692,0.0205747,0.0153561,0.0114106,0.0103943,0.00103596,0.00535966,0.0080054,0,0.0246933,0.00743686,0.0160812,0.0178528,0,0,0.00568448,0.00641541,0.0171622,0.0192187,0.00473011,0.0065065,0.00732697,0.0130099,0.00578844,0.00639706,0.00590901,0.00479797,0.00949006,0.0100933,0.00127996,0.0064042,0.00597587,0.00113133
111,0.00699819,0.0281952,0.0187061,0.0101386,0.00673063,0,0.0265056,0.00918864,0.00704128,0.00582894,0.00332927,0.00391976,0,0,0.00954096,0.0111602,0.00972891,0.00861969,0.0234557,0.0207015,0.0154809,0.0114706,0.0104792,0.000993111,0.00515072,0.00778402,0,0.0248014,0.00732646,0.0161659,0.017902,0,0,0.00568559,0.00647123,0.0182334,0.0190577,0.00475416,0.00584982,0.00624687,0.0117118,0.00548002,0.00585104,0.00575386,0.00440855,0.00938307,0.00948918,0.00204502,0.00590935,0.005515,0.00119278
112,0.00705583,0.0278586,0.0192476,0.0101215,0.00632959,0,0.0266814,0.00906936,0.00703374,0.00566009,0.00336198,0.00450896,0,0,0.00914854,0.0112059,0.0103703,0.00895946,0.0235864,0.0208581,0.0155736,0.0114323,0.0105715,0.000988413,0.0049589,0.00756591,0,0.0248628,0.00718541,0.0161927,0.0179009,0,0,0.00568119,0.00649485,0.0191867,0.0188145,0.004635,0.00514392,0.00544921,0.010122,0.0049198,0.00516203,0.00522603,0.00396294,0.00877767,0.00837911,0.00250804,0.00498223,0.00478372,0.00127074
113,0.007191,0.0272888,0.0196958,0.0117558,0.00577562,0,0.0268752,0.00896745,0.00508293,0.00933088,0.00348005,0.00519463,0,0,0.00885391,0.0108149,0.00800427,0.0101841,0.0239237,0.0209406,0.0164848,0.0120177,0.0125608,0.000971761,0.0047669,0.0072085,0,0.0249045,0.00704613,0.0161935,0.0179025,0,0,0.00570716,0.00650376,0.0199648,0.0184689,0.00430431,0.00435772,0.00513565,0.00853871,0.00409787,0.00427646,0.00426836,0.0033482,0.00762274,0.00682692,0.00237328,0.00370824,0.00376164,0.00143962
114,0.00686384,0.0265343,0.0193737,0.0129546,0.00566413,0,0.0272217,0.00910091,0.00637044,0.0130318,0.00405416,0.00642743,0,0,0.00935735,0.0103011,0.00522904,0.00937053,0.0251717,0.0216889,0.0187546,0.0129639,0.0154058,0.00114885,0.00424924,0.007108,0,0.0254828,0.00730331,0.0168061,0.0182894,0,0,0.00600254,0.0069019,0.0193569,0.017602,0.00391386,0.00361327,0.00574775,0.00678732,0.00364645,0.00355469,0.00257356,0.00298301,0.00624534,0.00576471,0.00139123,0.00287146,0.00285238,0.00197157
115,0.00715734,0.0256749,0.0196771,0.0139776,0.00490298,0,0.027355,0.00896198,0.00744783,0.0144961,0.00435563,0.00712698,0,0,0.00957091,0.0101436,0.00460804,0.00989901,0.0252835,0.0217374,0.0189432,0.0132114,0.0171914,0.0011724,0.00402708,0.00642697,0,0.0253808,0.00706611,0.0166414,0.0181489,0,0,0.00597183,0.00680351,0.0200737,0.0173144,0.00365337,0.00290015,0.00678727,0.00589664,0.0031046,0.00292627,0.000726648,0.00227629,0.00442902,0.00396907,0.00151281,0.00182706,0.00288499,0.00256589
116,0.00757934,0.0243405,0.0198857,0.0118803,0.00378771,0,0.027431,0.00885524,0.00564816,0.0116354,0.00464615,0.00770354,0,0,0.00933012,0.00966239,0.0060037,0.00983777,0.0248682,0.0216582,0.0179158,0.0126693,0.0156501,0.0012424,0.00388301,0.00548761,0,0.0251535,0.00680004,0.0163313,0.0179163,0,0,0.00584737,0.00652742,0.0208259,0.0170058,0.00371161,0.00244523,0.00815684,0.00531915,0.00338176,0.00349364,0.00137324,0.00255125,0.00273266,0.00264985,0.00319639,0.0025004,0.00438895,0.00344316
117,0.00811678,0.0234632,0.0200981,0.0097137,0.00296513,0,0.0273362,0.00866627,0.00558041,0.0080067,0.00479114,0.00794791,0,0,0.00881549,0.00924847,0.00780869,0.00968451,0.0241897,0.0213859,0.0165959,0.0118841,0.0136825,0.00114281,0.00382859,0.00468182,0,0.0248262,0.00638528,0.0159025,0.0175617,0,0,0.00562568,0.00626462,0.0215806,0.0170188,0.00433899,0.00267942,0.00965233,0.00497798,0.00444854,0.0050256,0.00345755,0.00392419,0.00192221,0.00256648,0.00507935,0.0038588,0.00617827,0.0043322
