Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
89,0.0115359,0.0161749,0.0139456,0.00832138,0.00969354,0,0.0248038,0.00808202,0.00530017,0.0110309,0.00714515,0.00725227,0,0,0.0112827,0.00602404,0.00854625,0.00879492,0.0197309,0.0171889,0.0190652,0.0159807,0.00429559,0.0057353,0.00835549,0.0106741,0,0.019834,0.005522,0.00949598,0.00906148,0,0,0.000792188,0.00106261,0.0067419,0.0147,0.0116447,0.00801522,0.00618532,0.0070503,0.0106344,0.0204051,0.0176693,0.0102879,0.00716091,0.01135,0.0117926,0.0098812,0.0111296,0.0106486,0
90,0.0116379,0.0159725,0.0141152,0.00815212,0.00982538,0,0.0246184,0.00817823,0.0053968,0.0106694,0.00676376,0.00692667,0,0,0.011355,0.00613151,0.0083834,0.0090894,0.020816,0.0180826,0.0197431,0.0161006,0.00427265,0.00551136,0.0082942,0,0,0.0197688,0.00561274,0.00964227,0.009276,0,0,0.000900981,0.00113435,0.00667878,0.0146792,0.0103568,0.00689522,0.00514725,0.00614762,0.0100559,0.0193047,0.0166731,0.0100149,0.00796381,0.0115625,0.0123941,0.0111303,0.0115549,0.00938768,0
91,0.0115859,0.0157406,0.0143155,0.00795185,0.00980252,0,0.0245198,0.00828884,0.00548113,0.01034,0.00639913,0.00671588,0,0,0.0114285,0.00629696,0.00810798,0.00933031,0.021834,0.0189325,0.0204088,0.0162637,0.00421211,0.00518879,0.00810619,0.0100224,0,0.019793,0.00572473,0.0098689,0.0095721,0,0,0.00103208,0.00126081,0.00721042,0.0144816,0.00899858,0.00584423,0.00437373,0.00568247,0.00928712,0.0176493,0.0152948,0.00931911,0.00914482,0.0122303,0.0135009,0.0127896,0.0125837,0.00818002,0
92,0.0117064,0.0156074,0.014615,0.0077435,0.0100366,0,0.0243829,0.0083431,0.00557872,0.0100842,0.00602757,0.00642912,0,0,0.0115008,0.00641305,0.00776888,0.00961742,0.023006,0.019839,0.0213085,0.0165962,0.00411084,0.00485966,0.00792506,0,0,0.0197853,0.00579771,0.0100984,0.00988485,0,0,0.00114694,0.00139523,0.00717829,0.0146771,0.00804664,0.00483403,0.0035993,0.00510091,0.00868013,0.0163724,0.0141931,0.0090218,0.00982403,0.0124771,0.0140394,0.013802,0.0130296,0.00714195,0
93,0.0116615,0.0155075,0.0149508,0.00753351,0.0101327,0,0.0243263,0.00840971,0.00569773,0.00992038,0.00571496,0.00615157,0,0,0.0116375,0.00663618,0.00738159,0.00990904,0.0240627,0.0206662,0.0222172,0.0169651,0.0039771,0.00444812,0.00763351,0.00963444,0,0.0198655,0.0058998,0.0104055,0.0102649,0,0,0.00129455,0.00157454,0.00774172,0.0146762,0.00703758,0.00393007,0.003145,0.00505672,0.00786757,0.0143935,0.0126297,0.00819911,0.0107723,0.0131307,0.0150279,0.0150287,0.014021,0.00620491,0
94,0.0117858,0.0155193,0.0153837,0.00733574,0.0104882,0,0.0242316,0.008436,0.00584178,0.00984628,0.00546244,0.00573256,0,0,0.0117994,0.00686875,0.00704079,0.0102679,0.0252337,0.0215227,0.023345,0.0174511,0.00381603,0.00404479,0.00736571,0,0,0.0199153,0.00597416,0.0107066,0.0106434,0,0,0.00143369,0.00174721,0.00772293,0.0150528,0.00639141,0.00327772,0.002628,0.00483852,0.00723712,0.0128975,0.0113933,0.00785075,0.0112261,0.0133404,0.01532,0.0155014,0.0142646,0.00542,0
95,0.0117363,0.0155252,0.0158507,0.00717326,0.0106549,0,0.0242143,0.00850909,0.00601572,0.00987445,0.00527683,0.00530896,0,0,0.0120565,0.0072503,0.00680502,0.0106815,0.0262439,0.0222893,0.024374,0.0179041,0.00366127,0.00359578,0.00702721,0.0095863,0,0.0200626,0.00609305,0.0110756,0.0110784,0,0,0.00161205,0.00195786,0.00826164,0.0151959,0.00564333,0.00273695,0.00238788,0.00508844,0.0064798,0.0107109,0.00974205,0.0069443,0.0117647,0.0137458,0.0158971,0.0160741,0.0149131,0.00472207,0
96,0.0117786,0.0156117,0.0164223,0.00701535,0.0109791,0,0.0241818,0.00858519,0.00619113,0.0099484,0.00513413,0.00482601,0,0,0.0123337,0.0076834,0.00668452,0.0111155,0.0273112,0.0230699,0.0254773,0.0183812,0.00349131,0.0031617,0.00672815,0.00971444,0,0.0202006,0.00620298,0.0114206,0.0114903,0,0,0.00177902,0.0021586,0.00852682,0.0155366,0.0050066,0.00251887,0.00216713,0.00515949,0.00590853,0.00888628,0.00831713,0.00638149,0.0119545,0.0138112,0.0158539,0.0160338,0.0148839,0.00406765,0
97,0.0118222,0.0157194,0.0170555,0.00685022,0.0113258,0,0.0241625,0.00868979,0.00636969,0.0100558,0.00499556,0.00437191,0,0,0.0126491,0.00819379,0.0066814,0.0115641,0.0283948,0.0238673,0.0265627,0.0188644,0.00331086,0.00274081,0.00646088,0.00991246,0,0.0203586,0.00632771,0.0117517,0.0118914,0,0,0.00194702,0.00236011,0.00877966,0.0158762,0.00434386,0.0025028,0.00200749,0.00509727,0.00559161,0.00723244,0.00700785,0.00600031,0.0118881,0.0135851,0.0152972,0.0155486,0.0143254,0.00340945,0
98,0.011858,0.0158342,0.0177292,0.0066741,0.0116663,0,0.0241531,0.0088197,0.00654418,0.0101647,0.00483076,0.00399481,0,0,0.0129805,0.00876383,0.00678792,0.0120207,0.0295037,0.0246951,0.0275831,0.0193493,0.00312842,0.00234934,0.00623559,0.0101361,0,0.0205279,0.00646842,0.0120558,0.0122706,0,0,0.00211541,0.00255581,0.00905299,0.0161697,0.00362189,0.00254859,0.00188959,0.00485133,0.00563532,0.00586442,0.0058669,0.00585136,0.0115469,0.0129802,0.0141304,0.0145938,0.0131333,0.00274588,0
