Timestep,C7,LARM,LASI,LELB,LFOREARM,LHEEL,LLEPI,LLMAL,LMFL,LMFS,LP1MT,LP5MT,LPAT,LSH,LTHAD,LTHAP,LTHLD,LTHLP,LTIAD,LTIAP,LTILAT,LTOE,LWR,MAN,P1,P2,P3,RARM,RASI,RELB,RFOREARM,RHEEL,RLEPI,RLMAL,RMFL,RMFS,RP1MT,RP5MT,RPAT,RSH,RTHAD,RTHAP,RTHLD,RTHLP,RTIAD,RTIAP,RTILAT,RTOE,RWR,SACR,T7,x52,x53,
183,0.00910356,0.00534084,0.00449673,0.0141724,0.00394004,0.00472911,0.00617885,0.0146128,0.00265695,0.00785844,0.00549465,0.00896339,0,0.0136569,0.019499,0.0249255,0.00932545,0.00959311,0.013653,0.0129001,0.0145807,0.00275558,0.0205864,0.0102015,0,0,0,0.00514791,0.00640487,0.00600552,0.00771438,0.0167631,0.00462991,0.00376776,0.0106771,0.00308842,0.0108947,0.010177,0,0.00200816,0.0103859,0.0230183,0.00581208,0.00541811,0.00925366,0.012452,0.0134711,0.00683786,0.00879176,0.0118536,0.0031261,0,0,0
184,0.010073,0.00447039,0.00495715,0.0136854,0.00411527,0.0040705,0.00610334,0.0135362,0.00206621,0.00869863,0.00419453,0.00739835,0,0.0127091,0.0179259,0.0227907,0.0076469,0.0085267,0.0112542,0.0124223,0.0122916,0.00281108,0.0199105,0.00931178,0,0,0,0.00517793,0.004919,0.00602922,0.00770829,0.015259,0.0049353,0.00372586,0.0100552,0.00359629,0.0107572,0.0104926,0,0.00242897,0.0104902,0.023016,0.00711267,0.00652439,0.00743221,0.0106873,0.0102162,0.00699103,0.00853417,0.0107957,0.00315938,0,0,0
185,0.0107228,0.00396464,0.00616424,0.012541,0.00471451,0.0053283,0.0064981,0.0119049,0.00241051,0.00997578,0.00281696,0.00677631,0,0.0110896,0.0158974,0.0199631,0.00519948,0.00631603,0.0124486,0.0118624,0.00970026,0.00324447,0.0169566,0.00975215,0,0,0,0.00552986,0.003521,0.00590764,0.00812665,0.0134233,0.00589108,0.0045835,0.00927383,0.00378524,0.0102942,0.0104725,0,0.00293107,0.0100298,0.021813,0.00785381,0.00735319,0.00568003,0.00841101,0.00758959,0.00699795,0.00849064,0.00899924,0.00367013,0,0,0
186,0.0103623,0.0039371,0.00702391,0.011953,0.00598865,0.00815298,0.00689294,0.00947337,0.00358689,0.0102972,0.00143052,0.00530225,0,0.0105967,0.0135983,0.0177005,0.00320306,0.00368059,0.0148381,0.0103277,0.00717,0.00379431,0.0128548,0.00952858,0,0,0,0.00598076,0.00260479,0.00570186,0.00834304,0.0118892,0.00781232,0.00614,0.0083953,0.00383247,0.00925915,0.010053,0,0.00308915,0.00909289,0.019773,0.008071,0.00756128,0.00499941,0.00641149,0.00751626,0.00669989,0.00841628,0.00682177,0.00378051,0,0,0
187,0.00967596,0.00404337,0.00754905,0.0116663,0.00632975,0.00999898,0.00751326,0.00765217,0.00473102,0.00998627,0.000386206,0.00373826,0,0.0102128,0.0109708,0.0152778,0.00403644,0.00125164,0.0123766,0.00913301,0.00558933,0.00436537,0.0109878,0.00900298,0,0,0,0.00640224,0.00273873,0.00553355,0.00836288,0.0116062,0.0100822,0.00794346,0.00788305,0.00368309,0.00755684,0.00946715,0,0.0033538,0.00785414,0.0173785,0.00830874,0.00751311,0.00563675,0.00542556,0.00939755,0.005745,0.00853605,0.00449111,0.00331962,0,0,0
188,0.00853226,0.0044699,0.00781034,0.0106734,0.00814149,0.011085,0.00799393,0.00639482,0.00560088,0.00965253,0.000928486,0.00268215,0,0.0104773,0.00862407,0.0134277,0.00690921,0.0033295,0.00889797,0.00816276,0.00518743,0.00492132,0.00982386,0.007997,0,0,0,0.00716707,0.00324098,0.00490785,0.00861745,0.0120049,0.0128998,0.00898803,0.0104112,0.00449779,0.0122712,0.0157471,0,0.00312767,0.00641343,0.0153391,0.00831805,0.0076564,0.00691296,0.00574996,0.0115249,0.0101116,0.00895012,0.00337778,0.00267931,0,0,0
189,0.0077456,0.0043349,0.0083211,0.011152,0.00747406,0.01134,0.00963687,0.00523344,0.00636485,0.00936961,0.00116493,0.00175356,0,0.00946559,0.00569243,0.0117557,0.0101151,0.00620775,0.00330578,0.00860609,0.00656622,0.0050337,0.00795411,0.00862957,0,0,0,0.00757875,0.00349268,0.00465352,0.00899586,0.0124593,0.0178298,0.00687006,0.0110716,0.00553283,0.0169947,0.0195988,0,0.00318537,0.00413078,0.0127039,0.0099963,0.00936834,0.00788317,0.00855159,0.0155896,0.0153381,0.00898631,0.00444545,0.0025786,0,0,0
190,0.00784558,0.0070169,0.00846087,0.00910632,0.015802,0.0124217,0.00972077,0.00404671,0.00675997,0.00904864,0.00172479,0.00181602,0,0.0091288,0.00393398,0.011988,0.0117714,0.00967453,0.00472235,0.00920588,0.00570785,0.00545762,0.00887919,0.00829755,0,0,0,0.0096804,0.00403176,0.00353297,0.00902228,0.0137604,0.0200797,0.0082614,0.0135946,0.0092944,0.0239642,0.0259921,0,0.00382072,0.0049597,0.0121602,0.010798,0.00992223,0.00828206,0.00898386,0.015983,0.0226058,0.00950423,0.00684273,0.00205872,0,0,0
191,0.00721512,0.00450274,0.00873091,0.0108176,0.00532645,0.0143498,0.00946547,0.00309827,0.00743436,0.00997223,0.00204968,0.00138887,0,0.00743416,0.00321526,0.0119489,0.0124812,0.0121151,0.00130058,0.0104602,0.00458306,0.00549306,0.00546648,0.00865715,0,0,0,0.0082524,0.00482734,0.00424693,0.00857095,0.0136132,0.0243033,0.00719975,0.0141236,0.00828477,0.0251536,0.028067,0,0.00360315,0.00398042,0.00977927,0.0142384,0.0123006,0.00876844,0.0122146,0.0188827,0.0233555,0.00883538,0.00736529,0.00244803,0,0,0
192,0.00674073,0.00554765,0.00820669,0.00952655,0.0043875,0.0150952,0.00895007,0.00338247,0.00686185,0.0104763,0.00203336,0.0021535,0,0.00709605,0.00492168,0.012767,0.0125234,0.0143819,0.00515894,0.00989605,0.00421278,0.00554335,0.00482077,0.00836713,0,0,0,0.00853615,0.0060331,0.00367595,0.00867517,0.0128007,0.0241784,0.010805,0.0190797,0.0132639,0.0312882,0.0353675,0,0.00364332,0.00640715,0.0102956,0.0143402,0.012441,0.00760581,0.0099418,0.016359,0.0288179,0.00885222,0.00832699,0.00282273,0,0,0
