Timestep,C7,LARM,LASI,LELB,LFOREARM,LHEEL,LLEPI,LLMAL,LMFL,LMFS,LP1MT,LP5MT,LPAT,LSH,LTHAD,LTHAP,LTHLD,LTHLP,LTIAD,LTIAP,LTILAT,LTOE,LWR,MAN,P1,P2,P3,RARM,RASI,RELB,RFOREARM,RHEEL,RLEPI,RLMAL,RMFL,RMFS,RP1MT,RP5MT,RPAT,RSH,RTHAD,RTHAP,RTHLD,RTHLP,RTIAD,RTIAP,RTILAT,RTOE,RWR,SACR,T7,x52,x53,
215,0.00634057,0.0157302,0.0154156,0.00750101,0.0193877,0.0170237,0.0281833,0.014493,0.0085344,0.00657877,0.00735138,0.0079829,0,0.00694329,0.0152286,0.0168483,0.0153657,0.0168113,0.0435008,0.0192669,0.00869223,0.00482978,0.0146468,0.00721223,0,0,0,0.00632729,0.00654438,0.00582756,0.00532964,0.0230714,0.00989034,0.0108023,0.0104964,0.019386,0.0139873,0.0208313,0,0.00675857,0.0126979,0.0124457,0.0147721,0.0197149,0.0043561,0.00155925,0.0114431,0.0209049,0.0034967,0.0205404,0.00892864,0,0,0
216,0.00658352,0.013009,0.0151162,0.00602529,0.0168336,0.0176091,0.0237523,0.0168413,0.0092655,0.00620342,0.00664672,0.0070061,0,0.00648942,0.0166061,0.0157798,0.0125369,0.0111868,0,0.0187347,0.00864542,0.00416339,0.0146047,0.00581155,0,0,0,0.00462099,0.00626589,0.00501925,0.00863543,0.0240229,0.00941774,0.0111644,0.00759434,0.0171575,0.0196407,0,0,0.00732331,0.0121927,0.014503,0.0126475,0.0179905,0.00675539,0.00256053,0.0131321,0,0.00475322,0.0159549,0.00668812,0,0,0
217,0.00689132,0.0122929,0.0133851,0.00632499,0.0167358,0.0157836,0.024132,0.0161803,0.00821552,0.00442749,0.00589744,0.00754924,0,0.00625383,0.0162131,0.0153554,0.0125526,0.00990292,0.0104078,0.016628,0.00666374,0.00327878,0.0121533,0.00571063,0,0,0,0.00424054,0.00574044,0.00525385,0.0071725,0.0240089,0.0116334,0.0124204,0.0125244,0.0213507,0.0182443,0.0168128,0,0.00637926,0.0123477,0.0162834,0.0111999,0.0161377,0.00534222,0.00257166,0.0157687,0.0231413,0.00471967,0.0128852,0.00593027,0,0,0
218,0.00702587,0.00836544,0.012764,0.00614519,0.0110388,0.0138065,0.0239359,0.0157555,0.0074054,0.00315027,0.00549575,0.00724296,0,0.00822559,0.0162719,0.0144782,0.0102637,0.00874601,0.00859606,0.0160726,0.00734009,0.00228864,0.00912826,0.00579557,0,0,0,0.00353496,0.00680233,0.00480588,0.00848941,0.0238773,0.0123964,0.01373,0.0130608,0.0217211,0.0213944,0.0155813,0,0.00678267,0.0124014,0.0174055,0.00966254,0.0143497,0.00576585,0.00315013,0.0181961,0,0.00513488,0.0101855,0.00500284,0,0,0
219,0.00707066,0.00689585,0.0127849,0.00712225,0.0113126,0.0108142,0.0251933,0.0140873,0.00519278,0.00323454,0.00633384,0.00664996,0,0.00799356,0.0155906,0.0134326,0.00923726,0.00852896,0.00879483,0.0174705,0.00744864,0.00306617,0.00740187,0.00586747,0,0,0,0.00285835,0.00889518,0.00377591,0.00585494,0.0230813,0.0159899,0.0122631,0.0129575,0.0204492,0.0219939,0.0136072,0,0.00448384,0.0132943,0.0191167,0.00999409,0.0134499,0.00457724,0.00439922,0.019668,0.0262328,0.00440887,0.00932409,0.00463116,0,0,0
220,0.00679911,0.00308891,0.0106123,0.00657226,0.00746848,0.00804969,0.0252855,0.0132307,0.00362088,0.00336127,0.00576066,0.00624879,0,0.0084494,0.0152141,0.0124664,0.00843289,0.00803069,0.00752594,0.0174642,0.0088223,0.00260051,0.00730029,0.00608771,0,0,0,0.00233156,0.0102204,0.0045003,0.00495623,0.0223437,0.0180807,0.0126118,0.0139024,0.0205838,0.0240312,0.0131071,0,0.0036308,0.0128658,0.0194708,0.0095983,0.0122996,0.00503791,0.00545094,0.020388,0.0290457,0.0044492,0.00960019,0.00413891,0,0,0
221,0.00653722,0.00205277,0.00888419,0.00709846,0.0054555,0.00562692,0.0247636,0.0135258,0.00277996,0.00295768,0.00385052,0.00581042,0,0.00829653,0.0149543,0.0118423,0.0073872,0.00717482,0.00646744,0.0163241,0.0106837,0.0018526,0.00680755,0.00657873,0,0,0,0.00270466,0.0108971,0.00548757,0.00407466,0.021833,0.0194713,0.0116899,0.0155098,0.0222196,0,0.0154907,0,0.00425221,0.0108044,0.0185191,0.00890582,0.0114554,0.00684616,0.00602325,0.0189762,0.0338641,0.0045385,0.0111977,0.00452265,0,0,0
222,0.00678037,0.00213287,0.00877096,0.00873139,0.009903,0.00282022,0.02502,0.0127993,0.00201087,0.00479758,0.00375273,0.00599246,0,0.00718771,0.013921,0.0112811,0.00676439,0.00721101,0.00660366,0.0154123,0.0112594,0.00232981,0.00729357,0.00610273,0,0,0,0.0027221,0.0110841,0.00429185,0.0103894,0.0215325,0.0223511,0.0129169,0.0170931,0.021584,0.028475,0.0166541,0,0.00859364,0.00995744,0.0178755,0.00960568,0.0128679,0.006323,0.00721353,0.0185273,0.0361049,0.00563226,0.0121871,0.00566008,0,0,0
223,0.00706527,0.00405082,0.00882673,0.00654202,0.00676277,0.00286731,0.0240894,0.0143057,0.00248553,0.00431954,0.00174908,0.00604605,0,0.00614363,0.0134632,0.011563,0.00591376,0.00652375,0.00561563,0.0129389,0.01131,0.00220726,0.00706365,0.00771515,0,0,0,0.00278678,0.0101045,0.0056697,0.00365246,0.0207628,0.0223295,0.0130386,0.0192516,0.0248609,0,0.0239189,0,0.00643393,0.00537433,0.0147217,0.00934621,0.0158763,0.0103804,0.00797938,0.0162189,0,0.00449934,0.0145208,0.00643552,0,0,0
224,0.00765399,0.0046784,0.0103881,0.00562492,0.00754858,0.00389729,0.0248878,0.011367,0.00194197,0.00398085,0.00340312,0.00729531,0,0.00580842,0.0117995,0.0111082,0.00614001,0.00715648,0.0049197,0.012339,0.0120068,0.00119624,0.00900958,0.00746983,0,0,0,0.00203062,0.00952251,0.00491334,0.00485481,0.0212237,0.0286907,0.0138662,0.0198572,0.0219099,0.0303945,0.0197967,0,0.00761493,0.0106497,0.0157096,0.0137167,0.0187088,0.00814289,0.0126846,0.0189434,0.0396974,0.00481568,0.0134249,0.00739464,0,0,0
225,0.00801988,0.0064046,0.0126585,0.00548271,0.00807478,0.00584969,0.0233192,0.011587,0.00239377,0.00355698,0.00314366,0.0076624,0,0.00551392,0.0114716,0.0115651,0.00567471,0.00662656,0.00331772,0.0105119,0.0128609,0.00212007,0.00928816,0.00793571,0,0,0,0.00198042,0.0101494,0.00487195,0.00478346,0.0202046,0.0305424,0.0158099,0.0217023,0.0243564,0,0.0233381,0,0.00821633,0.0114224,0.0145518,0.0153764,0.0201413,0.01016,0.0149019,0.0187638,0.043618,0.00499785,0.013121,0.00841442,0,0,0
226,0.0081755,0.00784909,0.0150418,0.00488387,0.00816469,0.00841955,0.0220129,0.0113228,0.0037226,0.00391477,0.00377561,0.00892275,0,0.00543226,0.011112,0.011864,0.00583697,0.00654358,0.00220441,0.00850963,0.013909,0.00346471,0.00995835,0.00826458,0,0,0,0.0025789,0.0120835,0.0048658,0.00529496,0.0192424,0.0329592,0.0185803,0.0229629,0.0250442,0,0.025469,0,0.00870479,0.0123547,0.0143454,0.0171726,0.0214297,0.0118244,0.0172872,0.0200397,0.0453768,0.00538585,0.0122545,0.00917816,0,0,0
227,0.00812162,0.00902759,0.0176376,0.00504645,0.00912743,0.0103047,0.0198488,0.0124997,0.0039831,0.00494447,0.00503108,0.00974796,0,0.00519308,0.0109901,0.0121742,0.00555672,0.00650402,0.00377491,0.0057587,0.0142545,0.00651172,0.00963578,0.00857554,0,0,0,0.00413481,0.0148627,0.00523185,0.00531657,0.0183563,0.0331557,0.0222588,0.0237386,0.0266524,0,0.0299598,0,0.00867533,0.0100913,0.0148529,0.0180138,0.0228834,0.0159123,0.0186864,0.0205629,0,0.00575086,0.0120376,0.00970266,0,0,0
228,0.00791573,0.00884867,0.0206836,0.00467567,0.00902892,0.013869,0.0199987,0.0104308,0.00669905,0.00422574,0.00588389,0.012042,0,0.00599491,0.0107625,0.0115049,0.00644194,0.00691025,0.00380837,0.00478307,0.0149784,0.0055917,0.0113642,0.00816351,0,0,0,0.00496719,0.0177548,0.00533823,0.00590615,0.017266,0.0388396,0.0223418,0.0197977,0.0205394,0.0265428,0.0236174,0,0.00924595,0.013822,0.0146906,0.0210526,0.0225221,0.0145297,0.0214055,0.0257398,0.0371859,0.00641994,0.00983437,0.00933413,0,0,0
229,0.00764904,0.00948191,0.0226622,0.00605893,0.00911993,0.0155924,0.0186826,0.0104964,0.00763007,0.00456109,0.00725277,0.013248,0,0.00694966,0.0108904,0.0106414,0.00644249,0.00674591,0.0056278,0.00375728,0.0152342,0.00724974,0.011165,0.00794592,0,0,0,0.00621659,0.0201142,0.00594424,0.00616177,0.0147646,0.0401193,0.0224881,0.0173446,0.0180513,0.0237516,0.0222878,0,0.00934141,0.0131429,0.0155668,0.0221937,0.023506,0.0149694,0.0222021,0.0282515,0,0.00679978,0.00866767,0.0086743,0,0,0
230,0.00715298,0.00887701,0.024,0.00588656,0.0091565,0.0167604,0.018038,0.00990991,0.00899394,0.00429563,0.00823464,0.014479,0,0.00776499,0.0114854,0.00993258,0.00691556,0.00691012,0.00672041,0.00389809,0.0156199,0.00790466,0.01118,0.00743932,0,0,0,0.00718676,0.0222419,0.00622438,0.00659092,0.0118147,0.0411395,0.0221179,0.0144838,0.0132486,0.0163455,0.018036,0,0.00956189,0.0141769,0.0161098,0.0217599,0.0227084,0.0139843,0.0224897,0.0305371,0.0223915,0.00735863,0.0070375,0.00733526,0,0,0
231,0.00638839,0.010337,0.0238918,0.0233008,0.0110756,0.0165959,0.0164696,0.0109403,0.00879952,0.00499262,0.00954406,0.0143126,0,0.00598293,0.0122789,0.00973191,0.00722914,0.00763162,0.00888632,0.00531741,0.0159143,0.0100168,0.0135765,0.00864436,0,0,0,0.00834535,0.0229757,0.00634925,0.00718778,0.00998991,0.0377164,0.0237935,0.0146241,0.0133118,0.0152563,0.018149,0,0.00882551,0.0127223,0.0172249,0.0182479,0.0210958,0.0140348,0.0184241,0.0290811,0.0182592,0.00785103,0.00594918,0.00587143,0,0,0
232,0.0088773,0,0.021576,0.0842593,0.0308865,0.0179039,0.0159687,0.0102724,0.00986515,0.00470113,0.0102222,0.0150905,0,0.0208881,0.0123153,0.0092368,0.00749679,0.00716298,0.00988112,0.00632806,0.016544,0.01026,0.025144,0.0209289,0,0,0,0.010806,0.0199191,0.00349345,0.0147946,0.00673392,0.0370213,0.0217471,0.0120395,0.00992377,0.0108828,0.0169258,0,0.00618331,0.0140694,0.0176371,0.0167014,0.0205151,0.0137371,0.016956,0.0271579,0.0117867,0.01011,0.00278958,0.00645219,0,0,0
233,0.00548777,0,0.0207169,0,0.00343637,0.0173807,0.0150539,0.00996582,0.0103323,0.00422921,0.0103813,0.0151337,0,0.00579678,0.0122115,0.00966991,0.00736,0.00735244,0.0103307,0.00686535,0.0172309,0.010709,0.00395958,0.00901488,0,0,0,0.00933693,0.0195138,0.00803579,0.00653189,0.00762407,0.0339613,0.0214812,0.00879691,0.00646576,0.0122369,0.014838,0,0.009058,0.0162136,0.0182015,0.014352,0.0180509,0.0142559,0.0150232,0.0231535,0.0109611,0.00827672,0.0038174,0.00200757,0,0,0
234,0.0053052,0,0.0195388,0,0.00360922,0.0168773,0.0142537,0.00923574,0.0107598,0.00368409,0.0105642,0.01495,0,0.0067586,0.0117988,0.00951951,0.00781133,0.00733185,0.0107502,0.0073496,0.0178112,0.0107336,0.0040521,0.0093022,0,0,0,0.00942415,0.017383,0.0079607,0.00740637,0.00827389,0.0312323,0.0204868,0.00759737,0.00502571,0.0119112,0.0122117,0,0.00918035,0.0192072,0.0185315,0.0136821,0.0160286,0.014104,0.0138681,0.0187972,0.0103093,0.00871078,0.00312965,0.00187058,0,0,0
235,0.00533658,0,0.0183809,0,0.00510138,0.0161658,0.0133422,0.00834325,0.0111061,0.00299937,0.010633,0.0144472,0,0.00711215,0.0111313,0.00881543,0.0087051,0.00766198,0.0110106,0.0077203,0.0181427,0.010649,0.00431248,0.00943618,0,0,0,0.00964185,0.0154281,0.00899645,0.00669535,0.00832436,0.0277084,0.0191818,0.00639829,0.0044783,0.0104175,0.00842888,0,0.00960361,0.0213982,0.0190421,0.0136687,0.0147793,0.0139374,0.013088,0.0161997,0.00853332,0.00873225,0.00285356,0.00252555,0,0,0
236,0.00517695,0,0.0171479,0,0.00500284,0.0156973,0.0121801,0.00718789,0.0114917,0.00234586,0.0107126,0.0137215,0,0.00706061,0.0101313,0.00789865,0.0098163,0.00842291,0.0108285,0.00814669,0.0177612,0.010457,0.00436259,0.00987754,0,0,0,0.00942553,0.0139104,0.00937571,0.00675905,0.00840703,0.0240059,0.0179715,0.00584397,0.00461375,0.0090689,0.00619135,0,0.0106194,0.022032,0.0197682,0.0136986,0.0142585,0.013518,0.0128738,0.0149916,0.00834574,0.0092579,0.00302941,0.0022969,0,0,0
237,0.00515965,0,0.0153081,0,0.00370377,0.0157069,0.0106098,0.00564306,0.0116048,0.00191615,0.0107957,0.0130816,0,0.0066761,0.00915991,0.00778314,0.0104204,0.00897269,0.0101809,0.00881945,0.0166777,0.0102903,0.00397839,0.0104288,0,0,0,0.00927926,0.0124389,0.00992655,0.00674416,0.00868497,0.0209166,0.0172455,0.00509946,0.00417297,0.00844465,0.00586243,0,0.0112144,0.0217567,0.0206658,0.0132436,0.0137253,0.0127906,0.0129355,0.0142765,0.00989392,0.00945625,0.00380701,0.00186543,0,0,0
238,0.00522143,0.00348214,0.0125529,0.00769918,0.00837312,0.0158481,0.00886653,0.00390367,0.011722,0.00169373,0.0109598,0.0127447,0,0.00686263,0.00916691,0.00931461,0.0103183,0.00865503,0.009128,0.0094752,0.0152461,0.0102283,0.00931013,0.0106819,0,0,0,0.00897151,0.0104569,0.0101831,0.0074074,0.00862546,0.01785,0.016798,0.00413728,0.00343469,0.0084297,0.00663399,0,0.0110999,0.0211651,0.021709,0.0125343,0.0132173,0.0123002,0.0129142,0.0140508,0.010999,0.00938487,0.00520754,0.00209658,0,0,0
239,0.00550825,0.00421305,0.00926648,0.00678391,0.00788938,0.0159332,0.00739741,0.00276836,0.0118432,0.00178433,0.0110333,0.0127604,0,0.0069609,0.00953743,0.0115922,0.0103564,0.00789383,0.00783496,0.00971995,0.0134732,0.0102229,0.00857199,0.0104386,0,0,0,0.00889884,0.008044,0.0105956,0.0070557,0.00849899,0.0142331,0.0162166,0.00346374,0.00357604,0.00842606,0.00873235,0,0.010685,0.0204747,0.0226067,0.0122918,0.0133773,0.0118346,0.0126234,0.0146108,0.0108626,0.00934951,0.00679073,0.00246979,0,0,0
240,0.00557757,0.00355847,0.00664316,0.00687485,0.00761214,0.0156894,0.00634512,0.0037082,0.0119959,0.00223028,0.0109803,0.0130214,0,0.00643156,0.0094255,0.0136608,0.0114625,0.00803817,0.00655054,0.00936065,0.0110088,0.0103008,0.00822352,0.0101553,0,0,0,0.00863747,0.00592104,0.0103353,0.00739234,0.00870283,0.0101911,0.0151566,0.00301684,0.0052451,0.0082743,0.0107893,0,0.0105014,0.0197627,0.0231605,0.0125987,0.0139594,0.0114414,0.0122056,0.0157232,0.010175,0.0097683,0.00810712,0.00251642,0,0,0
241,0.00594734,0.0030415,0.00641328,0.00694683,0.00743437,0.0149636,0.00557821,0.00563591,0.0123445,0.0031082,0.0107325,0.0132812,0,0.00605937,0.00921233,0.0147938,0.0126339,0.00902573,0.00522393,0.00829324,0.00802694,0.0104488,0.007909,0.00986878,0,0,0,0.00851191,0.0049561,0.010197,0.00788142,0.00946879,0.0064164,0.013637,0.00241388,0.00801195,0.00822838,0.0126146,0,0.0102629,0.0189733,0.0231191,0.0126936,0.0143515,0.0113919,0.0120864,0.0161441,0.00963317,0.00998469,0.00877154,0.00250559,0,0,0
242,0.00637627,0.00290428,0.00823896,0.00685143,0.00738114,0.0138131,0.00514275,0.00720452,0.0123086,0.00415016,0.010205,0.01351,0,0.00585944,0.0092323,0.0145704,0.0123403,0.00955659,0.00380224,0.00670204,0.0058748,0.0105315,0.00763103,0.00962937,0,0,0,0.00822602,0.0051658,0.0103088,0.00791214,0.0108156,0.00399212,0.0129345,0.00162593,0.00970077,0.00833125,0.014048,0,0.00983341,0.0179884,0.022145,0.0118926,0.0138469,0.0115636,0.0122426,0.0153538,0.00922347,0.0100051,0.00859853,0.00231729,0,0,0
243,0.00669049,0.00295881,0.0100291,0.006698,0.00747219,0.0127304,0.00585966,0.00829757,0.0120394,0.00502612,0.00963267,0.0135381,0,0.00581305,0.00929139,0.0132945,0.0107097,0.0088425,0.00301776,0.00537645,0.00542268,0.0104189,0.00749267,0.0093503,0,0,0,0.00793333,0.00582893,0.0101799,0.00835903,0.0129268,0.00445626,0.0122469,0.00169774,0.0108911,0.00829676,0.0143769,0,0.00923583,0.0166025,0.0201339,0.0100995,0.0116593,0.0116649,0.0125847,0.013602,0.00861937,0.0100588,0.00728201,0.00206753,0,0,0
244,0.00660243,0.00310494,0.0109079,0.00649685,0.00760342,0.0122305,0.0077321,0.00912964,0.0118358,0.00564503,0.00894195,0.0132905,0,0.00576788,0.00890982,0.0117441,0.00870058,0.00711501,0.00348829,0.00467626,0.00579645,0.0102118,0.00749488,0.00917888,0,0,0,0.00767428,0.00637483,0.0100275,0.00882797,0.0155087,0.00663703,0.0109317,0.00238235,0.0120608,0.0077742,0.014314,0,0.00863145,0.0146858,0.017718,0.00780398,0.00826859,0.0119456,0.0131604,0.0116362,0.00722611,0.0100788,0.00523469,0.00185918,0,0,0
245,0.00647818,0.00342271,0.0111713,0.00623309,0.00779055,0.0121615,0.00995334,0.00983479,0.0115952,0.00596569,0.00819443,0.0129556,0,0.00571204,0.0078065,0.0106332,0.00681681,0.00537569,0.00389956,0.00420082,0.0060807,0.0100933,0.00759408,0.00904323,0,0,0,0.00737338,0.00670931,0.00997207,0.00908056,0.0182741,0.00878635,0.00973929,0.00345755,0.0136265,0.00730431,0.0145782,0,0.0080631,0.0126033,0.0155628,0.00609296,0.00522384,0.0121536,0.0135349,0.00963216,0.00610529,0.00999685,0.0034651,0.00173328,0,0,0
246,0.00641384,0.0039952,0.0115168,0.00594015,0.00791378,0.0121693,0.0121961,0.0104414,0.011322,0.00598345,0.00765214,0.0127771,0,0.00571205,0.00627598,0.0104472,0.00526711,0.00436744,0.00363358,0.00403669,0.00583711,0.0101069,0.00774331,0.00910557,0,0,0,0.0070874,0.00694168,0.010107,0.00872636,0.0205879,0.0104918,0.00918652,0.00416372,0.0142517,0.00731804,0.0148593,0,0.00746866,0.0108165,0.0138581,0.00643798,0.0039354,0.0120283,0.0135195,0.0078887,0.00568085,0.00982348,0.00336303,0.00167309,0,0,0
247,0.00627869,0.00453521,0.0123585,0.00561241,0.00829817,0.0119454,0.0142735,0.0108936,0.0115354,0.00532528,0.00773082,0.0138339,0,0.00564315,0.00522955,0.0112763,0.00424974,0.00397829,0.0032392,0.00445554,0.00562158,0.0095524,0.00790158,0.00901123,0,0,0,0.00656185,0.00711256,0.00998086,0.00899093,0.0219533,0.0120787,0.00922175,0.00462181,0.0142372,0.00713248,0.0148982,0,0.00694433,0.00941076,0.0127605,0.00808059,0.00526149,0.0115677,0.0130908,0.00666689,0.00592403,0.00958146,0.00508703,0.00191957,0,0,0
248,0.00610498,0.00496932,0.0133797,0.00534476,0.00837989,0.0118331,0.0159766,0.0112619,0.0119667,0.00503026,0.00852066,0.0147682,0,0.00551027,0.00591442,0.0126317,0.00396919,0.00454606,0.00316694,0.00513225,0.00607645,0.00951226,0.00793802,0.00900793,0,0,0,0.00615613,0.00714673,0.00992376,0.0085498,0.0223591,0.0133154,0.00948106,0.00485208,0.0137676,0.00710897,0.014948,0,0.00646563,0.00820454,0.0122773,0.00962085,0.00762916,0.0109926,0.0124773,0.00587119,0.0066444,0.00924442,0.00729314,0.00230505,0,0,0
249,0.00584857,0.00521515,0.0143404,0.0050871,0.00837071,0.0122687,0.0170162,0.0115901,0.0122498,0.00566883,0.00967678,0.0146779,0,0.00524338,0.00828889,0.013966,0.00461655,0.00557487,0.00319032,0.00563622,0.00700582,0.0107593,0.00785938,0.00886651,0,0,0,0.00569478,0.00703818,0.00968797,0.00819425,0.0223645,0.0140496,0.00946182,0.00469689,0.0133414,0.00775382,0.0154938,0,0.00600113,0.00710644,0.0121916,0.0107595,0.00977227,0.0104605,0.011851,0.00559493,0.00750258,0.0087978,0.00912856,0.00289398,0,0,0
250,0.00548167,0.00525725,0.015381,0.00490607,0.00818459,0.0132646,0.0170342,0.011675,0.0131685,0.00619206,0.0115468,0.0157278,0,0.0050015,0.0112323,0.0152745,0.00674244,0.00637816,0.00318326,0.00619447,0.00774648,0.0122125,0.00769493,0.00880084,0,0,0,0.00526419,0.00680479,0.00944009,0.00753907,0.0226204,0.0144048,0.00934585,0.00441878,0.0135637,0.00827059,0.0162561,0,0.0055671,0.00628552,0.0122346,0.0115496,0.0111213,0.0101107,0.0111522,0.00585416,0.00835801,0.00826047,0.0102831,0.00359756,0,0,0
251,0.0049978,0.00523661,0.0163542,0.00466709,0.00808615,0.0142843,0.0162198,0.0117228,0.0145326,0.00665358,0.0135499,0.0176705,0,0.00473543,0.0135129,0.0165295,0.00929861,0.00712057,0.00321612,0.00676263,0.00783896,0.0134493,0.00746764,0.00861652,0,0,0,0.00466998,0.00657751,0.00902638,0.00708552,0.0232702,0.0147702,0.00928191,0.0042785,0.0139037,0.00868002,0.0169755,0,0.00512777,0.00569718,0.012108,0.0123586,0.0120826,0.00987263,0.010454,0.00595774,0.00881767,0.00763331,0.010853,0.00424934,0,0,0
252,0.00442521,0.00514301,0.0170286,0.00451247,0.00782645,0.015204,0.0149567,0.0118048,0.0157501,0.00735722,0.015214,0.0195978,0,0.00468815,0.0145139,0.017505,0.0112836,0.0082024,0.00328543,0.00699652,0.00760572,0.0146191,0.00716002,0.00854904,0,0,0,0.00404755,0.00646481,0.00852658,0.00642578,0.0241297,0.0150783,0.0094535,0.00440824,0.0139153,0.00923333,0.0178296,0,0.00458193,0.00521509,0.0117821,0.0135078,0.0128067,0.00993527,0.00983903,0.00657294,0.00959894,0.00698052,0.0111188,0.0048035,0,0,0
253,0.00387455,0.00513228,0.0173385,0.0042813,0.00770441,0.0157625,0.0135194,0.0119995,0.0165133,0.00777214,0.0162251,0.0209805,0,0.00465684,0.0139997,0.0177608,0.0123255,0.009436,0.00340707,0.0067605,0.00743171,0.0153558,0.00684958,0.00836522,0,0,0,0.00335948,0.00660105,0.00795959,0.00576076,0.0251084,0.0155347,0.00971914,0.00467668,0.013566,0.00994887,0.0187137,0,0.00401178,0.00465753,0.0112799,0.0148256,0.013514,0.0101365,0.00933682,0.00718621,0.0101567,0.00632104,0.0110752,0.00525181,0,0,0
254,0.00340697,0.00493564,0.0173288,0.00420967,0.00743966,0.015848,0.0118166,0.0123531,0.0167336,0.0077851,0.0164727,0.0215823,0,0.00472905,0.0127505,0.0168274,0.0126459,0.0105473,0.00359099,0.00632163,0.00750896,0.0154661,0.0064793,0.00815883,0,0,0,0.00285759,0.00705413,0.00722148,0.00511075,0.0262475,0.0161167,0.0101102,0.0048851,0.0134468,0.0106259,0.0195254,0,0.00334779,0.00409114,0.0108424,0.0158597,0.0143768,0.0103911,0.00905855,0.0074459,0.0100883,0.00568105,0.0108369,0.00556704,0,0,0
255,0.00305366,0.00478852,0.0170909,0.00393967,0.0073088,0.0156332,0.00993278,0.0128997,0.0166578,0.0075162,0.0161245,0.0214446,0,0.00458035,0.0120028,0.0149735,0.0125808,0.0116637,0.00378532,0.0059509,0.00787617,0.0151221,0.00612583,0.0076953,0,0,0,0.00240564,0.00769251,0.00637011,0.00416595,0.027322,0.0169046,0.0106021,0.00502175,0.0134362,0.0110462,0.0199419,0,0.00277673,0.00375813,0.0106312,0.0165142,0.0153278,0.0105233,0.00864421,0.0074768,0.009599,0.00500486,0.0107894,0.00582667,0,0,0
256,0.00290008,0.00439141,0.0168021,0.00382409,0.00707695,0.0151886,0.00800644,0.0134792,0.0165878,0.00722317,0.0148915,0.0197579,0,0.00440625,0.0119689,0.0131152,0.0123605,0.0129243,0.00407537,0.00572406,0.0083681,0.0143299,0.00577542,0.00717454,0,0,0,0.00207179,0.00844349,0.00525243,0.0036194,0.0278716,0.0177755,0.011195,0.00504184,0.0134278,0.0111149,0.0199244,0,0.00221252,0.0038488,0.0108728,0.0169131,0.0161816,0.0104851,0.00821232,0.00777245,0.00911297,0.00430387,0.0105754,0.00606675,0,0,0
257,0.00292444,0.00377618,0.0162328,0.0036945,0.00690426,0.0143752,0.00616259,0.0138389,0.0164751,0.00714318,0.0116278,0.0137056,0,0.00404232,0.0119578,0.0124786,0.0119167,0.0136861,0.00471293,0.00572516,0.00881188,0.0123769,0.0054446,0.00652855,0,0,0,0.00188447,0.00922912,0.00412733,0.00329356,0.0279267,0.0185424,0.0119406,0.00494411,0.0133911,0.0108319,0.0194469,0,0.00179405,0.00424433,0.01156,0.0169993,0.0169243,0.0101017,0.007742,0.00825519,0.00857373,0.00369384,0.0102298,0.00630454,0,0,0
258,0.00317517,0.00290586,0.0148836,0.0035536,0.00677342,0.0137818,0.00494386,0.0134955,0.015865,0.00633063,0.00829753,0,0,0.00356106,0.0120093,0.0134939,0.0108787,0.0131165,0.00576687,0.00621949,0.00939553,0.00722777,0.00509362,0.00590799,0,0,0,0.00192112,0.0102754,0.00304664,0.00301089,0.0272535,0.0192711,0.0128058,0.00476231,0.0131225,0.0102412,0.0185787,0,0.00153138,0.00482633,0.0127156,0.0168043,0.0176673,0.00934648,0.00727391,0.0085265,0.007916,0.00305011,0.00990058,0.00654273,0,0,0
259,0.00363743,0.00218475,0.0132423,0.00332662,0.00664668,0.0154836,0.00429088,0.0123129,0.0107076,0.00489008,0.00814427,0.0118612,0,0.0029243,0.0106464,0.0155578,0.00945497,0.0122177,0.00719444,0.00647215,0.00926779,0.00585392,0.00478195,0.00539222,0,0,0,0.00203829,0.0115879,0.00214765,0.00297575,0.0263861,0.0196621,0.0137034,0.00460258,0.0124385,0.0095452,0.0174581,0,0.00148281,0.00545349,0.0136053,0.0166144,0.0188591,0.00867931,0.00707364,0.00853984,0.00719157,0.00240699,0.00932534,0.00684144,0,0,0
260,0.0041328,0.0017989,0.0111168,0.00307697,0.00660002,0,0.00440523,0.0126926,0,0.00638113,0,0,0,0.00246166,0.00679205,0.014851,0.00639847,0.010391,0.00751613,0.00665977,0.00993117,0.00606216,0.00439576,0.00499066,0,0,0,0.00249966,0.0129299,0.00157647,0.00269432,0.0255453,0.0197711,0.0143472,0.00443343,0.0117076,0.00880681,0.0162662,0,0.00151231,0.00641386,0.0140779,0.0163831,0.0200769,0.00830264,0.007081,0.00841514,0.00640388,0.00188759,0.00804912,0.00698042,0,0,0
261,0.00512556,0.00207185,0.0110277,0.00295048,0.00642002,0.0174331,0.00624454,0.0084042,0,0.00804386,0,0,0,0.00242414,0.00658766,0.0139689,0.00633772,0.0109961,0.00457259,0.00472078,0.00931952,0.00910711,0.00397411,0.00523709,0,0,0,0.00264217,0.0133779,0.00197754,0.00273587,0.024599,0.0197271,0.0157324,0.00453127,0.011117,0.00798818,0.014868,0,0.00195018,0.00770606,0.0147283,0.0161584,0.0215832,0.00811671,0.00717205,0.00837605,0.00537744,0.00134114,0.00898554,0.00775257,0,0,0
